"year","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","7.48","7.5","12091","7.43","7.53"
"1985","7.32","7.5","10943","7.27","7.37"
"1986","7.2","7.5","10535","7.15","7.25"
"1987","7.26","7.5","10397","7.21","7.31"
"1988","7.09","7.5","9928","7.04","7.14"
"1989","7.03","7.5","9603","6.98","7.08"
"1990","","","","",""
"1991","6.84","6.5","13525","6.8","6.88"
"1992","6.91","6.5","13237","6.87","6.95"
"1993","6.81","6.5","13027","6.77","6.85"
"1994","6.78","6.5","12784","6.74","6.82"
"1995","","","","",""
"1996","7.02","6.5","12996","6.98","7.06"
"1997","6.95","6.5","12749","6.91","6.99"
"1998","7.03","6.5","14146","6.99","7.07"
"1999","7.05","7.5","13584","7.01","7.09"
"2000","7.13","7.5","24001","7.1","7.16"
"2001","7.15","7.5","21818","7.12","7.18"
"2002","7.08","7.5","22906","7.05","7.11"
"2003","7.11","7.5","22080","7.08","7.14"
"2004","7.06","7.5","21470","7.03","7.09"
"2005","7.04","6.5","20587","7.01","7.07"
"2006","6.98","6.5","21867","6.95","7.01"
"2007","6.96","6.5","20418","6.93","6.99"
"2008","7.09","7.5","19259","7.06","7.12"
"2009","7.06","6.5","17956","7.03","7.09"
"2010","7.06","7.5","23896","7.03","7.09"
"2011","7.18","7.5","18110","7.15","7.21"
"2012","7.22","7.5","19200","7.19","7.25"
"2013","7.29","7.5","18619","7.26","7.32"
"2014","7.19","7.5","27000","7.16","7.22"
"2015","7.21","7.5","24944","7.18","7.24"
"2016","7.21","7.5","24069","7.18","7.24"
"2017","7.21","7.5","26344","7.18","7.24"
"2018","7.17","7.5","25484","7.14","7.2"
"2019","7.27","7.5","25740","7.24","7.3"
"2020","7.18","7.5","25655","7.15","7.21"
