"year","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","maennlich","7.53","7.5","5913","4","6","10","10","10","7.47","7.59","0","10","8","8"
"1984","weiblich","7.42","7.5","6178","4","6","10","10","10","7.36","7.48","0","10","8","8"
"1985","maennlich","7.29","7.5","5371","4","6","9","10","10","7.23","7.35","0","10","8","8"
"1985","weiblich","7.34","7.5","5572","4","6","9","10","10","7.27","7.41","0","10","8","8"
"1986","maennlich","7.22","7.5","5211","4","6","9","10","10","7.15","7.29","0","10","8","8"
"1986","weiblich","7.19","7.5","5324","4","5","9","10","10","7.12","7.26","0","10","7","8"
"1987","maennlich","7.23","7.5","5144","4","6","9","10","10","7.17","7.29","0","10","8","8"
"1987","weiblich","7.28","7.5","5253","4","6","9","10","10","7.21","7.35","0","10","7","8"
"1988","maennlich","7.05","7.5","4906","4","5","9","10","10","6.99","7.11","0","10","7","7"
"1988","weiblich","7.13","7.5","5022","4","5","9","10","10","7.06","7.2","0","10","7","7"
"1989","maennlich","7","7.5","4738","4","5","9","10","10","6.93","7.07","0","10","7","7"
"1989","weiblich","7.07","7.5","4865","4","5","9","10","10","7","7.14","0","10","7","7"
"1990","maennlich","","","","","","","","","","","","","",""
"1990","weiblich","","","","","","","","","","","","","",""
"1991","maennlich","6.82","6.5","6602","3","5","9","10","10","6.76","6.88","0","10","7","7"
"1991","weiblich","6.85","6.5","6923","3","5","9","10","10","6.79","6.91","0","10","7","7"
"1992","maennlich","6.85","6.5","6426","3","5","8","10","10","6.79","6.91","0","10","7","7"
"1992","weiblich","6.96","6.5","6811","4","5","9","10","10","6.9","7.02","0","10","7","7"
"1993","maennlich","6.77","6.5","6333","3","5","8","10","10","6.71","6.83","0","10","7","7"
"1993","weiblich","6.85","6.5","6694","3","5","9","10","10","6.79","6.91","0","10","7","7"
"1994","maennlich","6.75","6.5","6183","3","5","8","10","10","6.69","6.81","0","10","7","7"
"1994","weiblich","6.81","6.5","6601","3","5","9","10","10","6.75","6.87","0","10","7","7"
"1995","maennlich","","","","","","","","","","","","","",""
"1995","weiblich","","","","","","","","","","","","","",""
"1996","maennlich","6.96","6.5","6274","4","5","9","10","10","6.9","7.02","0","10","7","7"
"1996","weiblich","7.06","7.5","6722","4","5","9","10","10","7","7.12","0","10","7","7"
"1997","maennlich","6.91","6.5","6165","3","5","8","10","10","6.85","6.97","0","10","7","7"
"1997","weiblich","6.99","7.5","6584","4","5","9","10","10","6.93","7.05","0","10","7","7"
"1998","maennlich","6.97","6.5","6851","4","5","9","10","10","6.92","7.02","0","10","7","7"
"1998","weiblich","7.09","7.5","7295","4","5","9","10","10","7.04","7.14","0","10","7","7"
"1999","maennlich","7.01","6.5","6571","4","6","9","10","10","6.96","7.06","0","10","7","7"
"1999","weiblich","7.1","7.5","7013","4","6","9","10","10","7.05","7.15","0","10","7","7"
"2000","maennlich","","","","","","","","","","","","","",""
"2000","weiblich","","","","","","","","","","","","","",""
"2001","maennlich","","","","","","","","","","","","","",""
"2001","weiblich","","","","","","","","","","","","","",""
"2002","maennlich","","","","","","","","","","","","","",""
"2002","weiblich","","","","","","","","","","","","","",""
"2003","maennlich","","","","","","","","","","","","","",""
"2003","weiblich","","","","","","","","","","","","","",""
"2004","maennlich","","","","","","","","","","","","","",""
"2004","weiblich","","","","","","","","","","","","","",""
"2005","maennlich","6.99","6.5","9847","4","6","9","10","10","6.95","7.03","0","10","7","7"
"2005","weiblich","","","","","","","","","","","","","",""
"2006","maennlich","","","","","","","","","","","","","",""
"2006","weiblich","","","","","","","","","","","","","",""
"2007","maennlich","6.94","6.5","9730","4","6","8","10","10","6.9","6.98","0","10","7","7"
"2007","weiblich","","","","","","","","","","","","","",""
"2008","maennlich","7.06","6.5","9178","4","6","8","10","10","7.02","7.1","0","10","7","8"
"2008","weiblich","","","","","","","","","","","","","",""
"2009","maennlich","7.01","6.5","8570","4","6","8","10","10","6.97","7.05","0","10","7","8"
"2009","weiblich","7.11","7.5","9386","4","6","9","10","10","7.07","7.15","0","10","7","8"
"2010","maennlich","","","","","","","","","","","","","",""
"2010","weiblich","","","","","","","","","","","","","",""
"2011","maennlich","7.15","7.5","8549","4","6","9","10","10","7.11","7.19","0","10","8","8"
"2011","weiblich","7.21","7.5","9561","4","6","9","10","10","7.17","7.25","0","10","8","8"
"2012","maennlich","7.2","7.5","9042","4","6","9","10","10","7.16","7.24","0","10","8","8"
"2012","weiblich","","","","","","","","","","","","","",""
"2013","maennlich","7.25","7.5","8725","4","6","9","10","10","7.21","7.29","0","10","8","8"
"2013","weiblich","7.32","7.5","9894","4","6","9","10","10","7.28","7.36","0","10","8","8"
"2014","maennlich","","","","","","","","","","","","","",""
"2014","weiblich","","","","","","","","","","","","","",""
"2015","maennlich","","","","","","","","","","","","","",""
"2015","weiblich","","","","","","","","","","","","","",""
"2016","maennlich","","","","","","","","","","","","","",""
"2016","weiblich","","","","","","","","","","","","","",""
"2017","maennlich","","","","","","","","","","","","","",""
"2017","weiblich","","","","","","","","","","","","","",""
"2018","maennlich","","","","","","","","","","","","","",""
"2018","weiblich","","","","","","","","","","","","","",""
"2019","maennlich","","","","","","","","","","","","","",""
"2019","weiblich","","","","","","","","","","","","","",""
"2020","maennlich","","","","","","","","","","","","","",""
"2020","weiblich","","","","","","","","","","","","","",""
