syear,age_gr,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,17-29 J.,male,7.509104403134152,7.455722858371998,7.562485947896305,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,1719.0
1984,17-29 J.,female,7.301619201007139,7.245644676670971,7.357593725343306,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,1693.0
1984,30-45 J.,male,7.144141777526291,7.0901133729941535,7.198170182058428,5.0,8.0,9.0,0.0,10.0,8.0,8.0,8.0,1929.0
1984,30-45 J.,female,6.90168596622335,6.845705974195857,6.957665958250843,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,1962.0
1984,46-65 J.,male,7.510478961970733,7.4542356848474105,7.566722239094056,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,1765.0
1984,46-65 J.,female,7.413468018485909,7.355815210470969,7.471120826500848,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,1771.0
1984,66 und älter,male,8.484580146389549,8.399900352296367,8.56925994048273,8.0,9.0,10.0,5.0,10.0,9.0,8.0,9.0,500.0
1984,66 und älter,female,8.204919813212966,8.128629947190529,8.281209679235403,7.0,9.0,10.0,2.5,10.0,9.0,9.0,9.0,752.0
1985,17-29 J.,male,7.2419525671395375,7.19021253630633,7.293692597972745,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.024999999999999,1593.0
1985,17-29 J.,female,7.267339478876432,7.210669068817378,7.324009888935485,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,1513.0
1985,30-45 J.,male,6.874057103194283,6.818091066696714,6.930023139691852,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,1702.0
1985,30-45 J.,female,6.774595400289309,6.71767077754755,6.831520023031068,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,1763.0
1985,46-65 J.,male,7.2885217541760605,7.232691327855799,7.344352180496322,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,1639.0
1985,46-65 J.,female,7.328786937621782,7.2707810623540245,7.3867928128895395,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,1643.0
1985,66 und älter,male,8.251365300083188,8.160377914379028,8.342352685787349,7.0,9.0,10.0,2.5,10.0,9.0,9.0,10.0,437.0
