"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","7.28","8","4596","7.21","7.35"
"1984","35-65 Jahre alt","7.31","8","6311","7.25","7.37"
"1984","66 und Ã¤lter","","","","",""
"1985","16-34 Jahre alt","7.14","8","4150","7.07","7.21"
"1985","35-65 Jahre alt","7.14","8","5755","7.08","7.2"
"1985","66 und Ã¤lter","","","","",""
"1986","16-34 Jahre alt","6.98","7","4088","6.91","7.05"
"1986","35-65 Jahre alt","6.99","8","5476","6.92","7.06"
"1986","66 und Ã¤lter","","","","",""
"1987","16-34 Jahre alt","6.96","7","4023","6.89","7.03"
"1987","35-65 Jahre alt","7.1","8","5361","7.04","7.16"
"1987","66 und Ã¤lter","","","","",""
"1988","16-34 Jahre alt","6.75","7","3837","6.68","6.82"
"1988","35-65 Jahre alt","6.94","7","5098","6.87","7.01"
"1988","66 und Ã¤lter","","","","",""
"1989","16-34 Jahre alt","6.68","7","3757","6.61","6.75"
"1989","35-65 Jahre alt","6.85","7","4875","6.78","6.92"
"1989","66 und Ã¤lter","","","","",""
"1990","16-34 Jahre alt","","","","",""
"1990","35-65 Jahre alt","","","","",""
"1990","66 und Ã¤lter","","","","",""
"1991","16-34 Jahre alt","6.42","7","5156","6.35","6.49"
"1991","35-65 Jahre alt","6.58","7","6984","6.52","6.64"
"1991","66 und Ã¤lter","","","","",""
"1992","16-34 Jahre alt","6.46","7","4974","6.4","6.52"
"1992","35-65 Jahre alt","6.68","7","6882","6.62","6.74"
"1992","66 und Ã¤lter","","","","",""
"1993","16-34 Jahre alt","6.57","7","4899","6.5","6.64"
"1993","35-65 Jahre alt","6.54","7","6731","6.48","6.6"
"1993","66 und Ã¤lter","","","","",""
"1994","16-34 Jahre alt","6.47","7","4796","6.4","6.54"
"1994","35-65 Jahre alt","6.5","7","6561","6.44","6.56"
"1994","66 und Ã¤lter","","","","",""
"1995","16-34 Jahre alt","","","","",""
"1995","35-65 Jahre alt","","","","",""
"1995","66 und Ã¤lter","","","","",""
"1996","16-34 Jahre alt","6.68","7","4764","6.62","6.74"
"1996","35-65 Jahre alt","6.78","7","6746","6.72","6.84"
"1996","66 und Ã¤lter","","","","",""
"1997","16-34 Jahre alt","6.61","7","4617","6.54","6.68"
"1997","35-65 Jahre alt","6.68","7","6631","6.62","6.74"
"1997","66 und Ã¤lter","","","","",""
"1998","16-34 Jahre alt","6.78","7","4870","6.72","6.84"
"1998","35-65 Jahre alt","6.79","7","7502","6.74","6.84"
"1998","66 und Ã¤lter","","","","",""
"1999","16-34 Jahre alt","6.73","7","4592","6.66","6.8"
"1999","35-65 Jahre alt","6.76","7","7278","6.71","6.81"
"1999","66 und Ã¤lter","","","","",""
"2000","16-34 Jahre alt","6.85","7","7120","6.8","6.9"
"2000","35-65 Jahre alt","","","","",""
"2000","66 und Ã¤lter","8.16","8","3614","8.1","8.22"
"2001","16-34 Jahre alt","6.91","7","6277","6.86","6.96"
"2001","35-65 Jahre alt","","","","",""
"2001","66 und Ã¤lter","8.23","8","3419","8.17","8.29"
"2002","16-34 Jahre alt","6.73","7","6154","6.68","6.78"
"2002","35-65 Jahre alt","","","","",""
"2002","66 und Ã¤lter","8.09","8","3610","8.03","8.15"
"2003","16-34 Jahre alt","6.81","7","5865","6.75","6.87"
"2003","35-65 Jahre alt","","","","",""
"2003","66 und Ã¤lter","8.14","8","3667","8.08","8.2"
"2004","16-34 Jahre alt","6.81","7","5623","6.75","6.87"
"2004","35-65 Jahre alt","","","","",""
"2004","66 und Ã¤lter","8.05","8","3762","7.99","8.11"
"2005","16-34 Jahre alt","6.84","7","5319","6.78","6.9"
"2005","35-65 Jahre alt","","","","",""
"2005","66 und Ã¤lter","8.07","8","3786","8.01","8.13"
"2006","16-34 Jahre alt","6.68","7","5123","6.62","6.74"
"2006","35-65 Jahre alt","","","","",""
"2006","66 und Ã¤lter","7.97","8","4459","7.91","8.03"
"2007","16-34 Jahre alt","6.71","7","4712","6.65","6.77"
"2007","35-65 Jahre alt","","","","",""
"2007","66 und Ã¤lter","7.97","8","4364","7.91","8.03"
"2008","16-34 Jahre alt","6.93","7","4364","6.87","6.99"
"2008","35-65 Jahre alt","","","","",""
"2008","66 und Ã¤lter","8","8","4329","7.95","8.05"
"2009","16-34 Jahre alt","6.85","7","3995","6.79","6.91"
"2009","35-65 Jahre alt","6.75","7","9876","6.71","6.79"
"2009","66 und Ã¤lter","8.02","8","4192","7.96","8.08"
"2010","16-34 Jahre alt","6.93","7","6577","6.88","6.98"
"2010","35-65 Jahre alt","","","","",""
"2010","66 und Ã¤lter","7.96","8","4057","7.9","8.02"
"2011","16-34 Jahre alt","6.95","7","3807","6.88","7.02"
"2011","35-65 Jahre alt","6.82","7","9931","6.78","6.86"
"2011","66 und Ã¤lter","8.09","8","4482","8.04","8.14"
"2012","16-34 Jahre alt","7.08","7","3881","7.01","7.15"
"2012","35-65 Jahre alt","","","","",""
"2012","66 und Ã¤lter","8.05","8","4898","8","8.1"
"2013","16-34 Jahre alt","7.11","8","3612","7.04","7.18"
"2013","35-65 Jahre alt","","","","",""
"2013","66 und Ã¤lter","8.05","8","4943","8","8.1"
"2014","16-34 Jahre alt","7.04","7","6578","6.99","7.09"
"2014","35-65 Jahre alt","","","","",""
"2014","66 und Ã¤lter","8.06","8","4982","8.01","8.11"
"2015","16-34 Jahre alt","7.15","7","5752","7.09","7.21"
"2015","35-65 Jahre alt","","","","",""
"2015","66 und Ã¤lter","7.99","8","4917","7.94","8.04"
"2016","16-34 Jahre alt","7.12","7","5590","7.06","7.18"
"2016","35-65 Jahre alt","","","","",""
"2016","66 und Ã¤lter","8.01","8","4737","7.96","8.06"
"2017","16-34 Jahre alt","7.17","7","6153","7.12","7.22"
"2017","35-65 Jahre alt","","","","",""
"2017","66 und Ã¤lter","7.96","8","5001","7.91","8.01"
"2018","16-34 Jahre alt","7.09","7","5981","7.04","7.14"
"2018","35-65 Jahre alt","","","","",""
"2018","66 und Ã¤lter","7.95","8","5026","7.9","8"
"2019","16-34 Jahre alt","7.25","7","5445","7.19","7.31"
"2019","35-65 Jahre alt","","","","",""
"2019","66 und Ã¤lter","8.02","8","5200","7.97","8.07"
