year,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,West,7.476137243856414,7.454802606782125,7.497471880930703,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,12091.0
1985,West,7.318494002265857,7.296896678530218,7.340091326001496,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,10943.0
1986,West,7.204964348396932,7.182972026506366,7.226956670287498,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,10535.0
1987,West,7.257124739091635,7.2353946134648295,7.278854864718441,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,10397.0
1988,West,7.090393231128792,7.068114923522724,7.112671538734861,5.0,8.0,9.0,0.0,10.0,8.0,8.0,8.0,9928.0
1989,West,7.034004776075121,7.011365105458478,7.056644446691764,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0,9603.0
1990,West,,,,,,,,,,,,
1990,East,,,,,,,,,,,,
1991,West,6.947331349962418,6.923714016678612,6.970948683246225,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,9409.0
1991,East,6.402433347919278,6.3647810748754905,6.440085620963065,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4116.0
1992,West,7.048762791953162,7.026195145341265,7.071330438565059,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0,9286.0
1992,East,6.353286037456034,6.3162374785245765,6.390334596387491,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3951.0
1993,West,6.95032453000754,6.927207260476768,6.973441799538312,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,9210.0
1993,East,6.26388925579514,6.225421157837725,6.302357353752556,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,3817.0
1994,West,6.921885949291656,6.898287126332452,6.945484772250859,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,9029.0
1994,East,6.207476235713782,6.168917358579657,6.246035112847906,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,3755.0
1995,West,,,,,,,,,,,,
1995,East,,,,,,,,,,,,
1996,West,7.120706441075112,7.098402415838849,7.143010466311375,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,9327.0
1996,East,6.567191747167115,6.530360083189723,6.6040234111445075,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3669.0
1997,West,7.031313674201847,7.008339258212379,7.054288090191315,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,9138.0
1997,East,6.613868076609463,6.57751463469627,6.650221518522656,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3611.0
