syear,quintil_oecd,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,1. Quintil,West,7.624695536801211,7.599320999374525,7.650070074227896,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,8149.0
1984,2. Quintil,West,7.053198664971996,7.01413407356679,7.092263256377201,5.0,8.0,9.0,0.0,10.0,8.0,8.0,8.0,3942.0
1985,1. Quintil,West,7.443302448505025,7.417202710909188,7.469402186100862,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,7269.0
1985,2. Quintil,West,6.93844277076641,6.900118900671185,6.976766640861635,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,3674.0
1986,1. Quintil,West,7.338115897586775,7.3116218882158925,7.364609906957657,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,6998.0
1986,2. Quintil,West,6.782542981829844,6.743235433777561,6.821850529882128,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3537.0
1987,1. Quintil,West,7.381983791893457,7.35576998045922,7.408197603327695,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,6981.0
1987,2. Quintil,West,6.831442624593357,6.792875668816198,6.870009580370515,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3416.0
1988,1. Quintil,West,7.1962842359013655,7.169341366809644,7.223227104993087,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,6685.0
1988,2. Quintil,West,6.719705542465529,6.680323692168462,6.759087392762596,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3243.0
1989,1. Quintil,West,7.152565474486171,7.125319502325569,7.179811446646774,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,6471.0
1989,2. Quintil,West,6.603791323601575,6.563286524432365,6.644296122770785,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3132.0
1990,1. Quintil,West,,,,,,,,,,,,
1990,1. Quintil,East,,,,,,,,,,,,
1990,2. Quintil,West,,,,,,,,,,,,
1990,2. Quintil,East,,,,,,,,,,,,
1991,1. Quintil,West,7.06246609393628,7.034283768479987,7.090648419392573,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0,6549.0
1991,1. Quintil,East,6.514625983544878,6.470996609489519,6.558255357600237,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3060.0
1991,2. Quintil,West,6.520492489468329,6.477802135985888,6.56318284295077,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2860.0
1991,2. Quintil,East,5.904123441956367,5.831255523276284,5.9769913606364495,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,1056.0
1992,1. Quintil,West,7.168006208217499,7.1411355886377,7.194876827797299,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,6515.0
1992,1. Quintil,East,6.465565896894742,6.422868730131571,6.508263063657914,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2995.0
1992,2. Quintil,West,6.588008961177994,6.547327266230278,6.628690656125711,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2771.0
1992,2. Quintil,East,5.790152484646467,5.718597903410843,5.861707065882091,4.0,6.0,8.0,0.0,10.0,6.0,6.0,6.0,956.0
1993,1. Quintil,West,7.0540724132774395,7.026961772631517,7.081183053923362,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0,6578.0
1993,1. Quintil,East,6.363229330880691,6.318864263297455,6.407594398463927,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2888.0
1993,2. Quintil,West,6.529038807687695,6.485122499598262,6.572955115777129,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2632.0
1993,2. Quintil,East,5.75594507455736,5.6812290274207315,5.830661121693988,4.0,6.0,8.0,0.0,10.0,6.0,6.0,7.0,929.0
