"plh0184","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Manchmal","2007","(Fach-)Abitur","Laendlicher Raum","268","","",""
"Manchmal","2007","(Fach-)Abitur","Staedtischer Raum","751","0.448497875570779","0.425321903195306","0.471673847946251"
"Manchmal","2007","(noch) kein Abschluss","Laendlicher Raum","73","0.388796602617851","0.315301424091916","0.462291781143785"
"Manchmal","2007","(noch) kein Abschluss","Staedtischer Raum","151","","",""
"Manchmal","2007","AkademikerIn","Laendlicher Raum","570","0.421060014731695","0.394085875733824","0.448034153729565"
"Manchmal","2007","AkademikerIn","Staedtischer Raum","1344","","",""
"Manchmal","2007","Hauptschule","Laendlicher Raum","1042","","",""
"Manchmal","2007","Hauptschule","Staedtischer Raum","1785","","",""
"Manchmal","2007","Realschule","Laendlicher Raum","1011","","",""
"Manchmal","2007","Realschule","Staedtischer Raum","1326","","",""
"Oft","2007","(Fach-)Abitur","Laendlicher Raum","127","","",""
"Oft","2007","(Fach-)Abitur","Staedtischer Raum","412","0.229884470688949","0.210277209581907","0.24949173179599"
"Oft","2007","(noch) kein Abschluss","Laendlicher Raum","31","0.169676117579921","0.113086225891279","0.226266009268562"
"Oft","2007","(noch) kein Abschluss","Staedtischer Raum","83","0.231437413658375","0.189363700482781","0.273511126833969"
"Oft","2007","AkademikerIn","Laendlicher Raum","259","","",""
"Oft","2007","AkademikerIn","Staedtischer Raum","616","0.210682068885006","0.196317672310731","0.22504646545928"
"Oft","2007","Hauptschule","Laendlicher Raum","484","0.180250012653363","0.165611886921912","0.194888138384815"
"Oft","2007","Hauptschule","Staedtischer Raum","858","0.180731860602785","0.169692101843158","0.191771619362413"
"Oft","2007","Realschule","Laendlicher Raum","519","0.232831985180573","0.215337673839192","0.250326296521955"
"Oft","2007","Realschule","Staedtischer Raum","714","0.235610556626939","0.22077880380749","0.250442309446389"
"Sehr oft","2007","(Fach-)Abitur","Laendlicher Raum","39","0.0583219028264109","0.0393313662873831","0.0773124393654388"
"Sehr oft","2007","(Fach-)Abitur","Staedtischer Raum","109","","",""
"Sehr oft","2007","(noch) kein Abschluss","Laendlicher Raum","8","0.0627141855205472","0.0261611327014829","0.0992672383396114"
"Sehr oft","2007","(noch) kein Abschluss","Staedtischer Raum","29","","",""
"Sehr oft","2007","AkademikerIn","Laendlicher Raum","69","0.0603902770815772","0.0473761189402585","0.0734044352228958"
"Sehr oft","2007","AkademikerIn","Staedtischer Raum","162","","",""
"Sehr oft","2007","Hauptschule","Laendlicher Raum","113","","",""
"Sehr oft","2007","Hauptschule","Staedtischer Raum","257","","",""
"Sehr oft","2007","Realschule","Laendlicher Raum","161","","",""
"Sehr oft","2007","Realschule","Staedtischer Raum","185","","",""
"Sehr selten","2007","(Fach-)Abitur","Laendlicher Raum","38","0.0747452661767661","0.0534348141307343","0.0960557182227978"
"Sehr selten","2007","(Fach-)Abitur","Staedtischer Raum","162","","",""
"Sehr selten","2007","(noch) kein Abschluss","Laendlicher Raum","16","","",""
"Sehr selten","2007","(noch) kein Abschluss","Staedtischer Raum","46","0.110117909164753","0.078889515148396","0.14134630318111"
"Sehr selten","2007","AkademikerIn","Laendlicher Raum","98","0.0893576948927439","0.0737729855452142","0.104942404240274"
"Sehr selten","2007","AkademikerIn","Staedtischer Raum","293","","",""
"Sehr selten","2007","Hauptschule","Laendlicher Raum","333","0.12793074502724","0.115211244307971","0.140650245746509"
"Sehr selten","2007","Hauptschule","Staedtischer Raum","615","0.13339565700015","0.123641034515534","0.143150279484766"
"Sehr selten","2007","Realschule","Laendlicher Raum","151","","",""
"Sehr selten","2007","Realschule","Staedtischer Raum","291","","",""
"Selten","2007","(Fach-)Abitur","Laendlicher Raum","113","","",""
"Selten","2007","(Fach-)Abitur","Staedtischer Raum","335","0.180549808097081","0.162625435182514","0.198474181011648"
"Selten","2007","(noch) kein Abschluss","Laendlicher Raum","41","0.273261877740084","0.206075189552074","0.340448565928093"
"Selten","2007","(noch) kein Abschluss","Staedtischer Raum","77","0.171852379205604","0.134217884234139","0.209486874177069"
"Selten","2007","AkademikerIn","Laendlicher Raum","291","","",""
"Selten","2007","AkademikerIn","Staedtischer Raum","681","0.21001525641494","0.1956675530377","0.224362959792179"
"Selten","2007","Hauptschule","Laendlicher Raum","677","0.249494513664418","0.233016132379394","0.265972894949442"
"Selten","2007","Hauptschule","Staedtischer Raum","1152","","",""
"Selten","2007","Realschule","Laendlicher Raum","400","0.176862114015364","0.16106841023423","0.192655817796499"
"Selten","2007","Realschule","Staedtischer Raum","629","0.200312773991768","0.186324885288195","0.214300662695341"
"Manchmal","2008","(Fach-)Abitur","Laendlicher Raum","237","","",""
"Manchmal","2008","(Fach-)Abitur","Staedtischer Raum","690","0.440415167387088","0.416322481894661","0.464507852879514"
"Manchmal","2008","(noch) kein Abschluss","Laendlicher Raum","63","0.398235698940422","0.323541061533602","0.472930336347242"
"Manchmal","2008","(noch) kein Abschluss","Staedtischer Raum","150","","",""
"Manchmal","2008","AkademikerIn","Laendlicher Raum","528","0.423400282135405","0.395708707823086","0.451091856447724"
"Manchmal","2008","AkademikerIn","Staedtischer Raum","1294","","",""
"Manchmal","2008","Hauptschule","Laendlicher Raum","1035","","",""
"Manchmal","2008","Hauptschule","Staedtischer Raum","1704","","",""
"Manchmal","2008","Realschule","Laendlicher Raum","995","0.46782066631002","0.446555851276836","0.489085481343204"
"Manchmal","2008","Realschule","Staedtischer Raum","1327","","",""
"Oft","2008","(Fach-)Abitur","Laendlicher Raum","112","","",""
"Oft","2008","(Fach-)Abitur","Staedtischer Raum","345","0.213973644680712","0.194070586769563","0.233876702591862"
"Oft","2008","(noch) kein Abschluss","Laendlicher Raum","43","0.216880987088479","0.153998350395468","0.279763623781491"
"Oft","2008","(noch) kein Abschluss","Staedtischer Raum","74","0.217324886949419","0.175748410123107","0.25890136377573"
"Oft","2008","AkademikerIn","Laendlicher Raum","233","","",""
"Oft","2008","AkademikerIn","Staedtischer Raum","488","0.183954407265849","0.169996685206447","0.197912129325251"
"Oft","2008","Hauptschule","Laendlicher Raum","377","0.150832696376208","0.136716037335781","0.164949355416635"
"Oft","2008","Hauptschule","Staedtischer Raum","758","0.172170808784441","0.160919445091082","0.183422172477799"
"Oft","2008","Realschule","Laendlicher Raum","418","0.206332684993505","0.189086375807354","0.223578994179657"
"Oft","2008","Realschule","Staedtischer Raum","602","0.21053352130883","0.1959205015611","0.225146541056559"
"Sehr oft","2008","(Fach-)Abitur","Laendlicher Raum","17","","",""
"Sehr oft","2008","(Fach-)Abitur","Staedtischer Raum","89","0.0586634508336988","0.0472589212955881","0.0700679803718096"
"Sehr oft","2008","(noch) kein Abschluss","Laendlicher Raum","11","","",""
"Sehr oft","2008","(noch) kein Abschluss","Staedtischer Raum","9","0.0180418311410245","0.00462379393758624","0.0314598683444628"
