,Unnamed: 0,year,bula_h,plh0184,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2007,Schleswig-Holstein,Very seldom,0.15849,112,20335,0.13968,0.17653
1,1,2007,Schleswig-Holstein,Seldom,0.242,146,20335,0.21096,0.26457
2,2,2007,Schleswig-Holstein,Sometimes,0.4232,241,20335,0.38218,0.46033
3,3,2007,Schleswig-Holstein,Often,0.17631,95,20335,0.14647,0.20257
4,4,2007,Hamburg,Seldom,0.23461,66,20335,0.18937,0.27736
5,5,2007,Hamburg,Sometimes,0.57737,137,20335,0.49887,0.6578
6,6,2007,Hamburg,Often,0.18802,53,20335,0.15097,0.23182
7,7,2007,Lower Saxony,Very seldom,0.11409,176,20335,0.10288,0.1264
8,8,2007,Lower Saxony,Seldom,0.21874,422,20335,0.20541,0.23321
9,9,2007,Lower Saxony,Sometimes,0.39327,724,20335,0.36635,0.41844
10,10,2007,Lower Saxony,Often,0.22504,405,20335,0.20768,0.24324
11,11,2007,Lower Saxony,Very often,0.04887,93,20335,0.04259,0.057
12,12,2007,Bremen,Seldom,0.36556,37,20335,0.27798,0.46176
13,13,2007,Bremen,Sometimes,0.63444,63,20335,0.51013,0.7424
14,14,2007,North Rhine-Westphalia,Very seldom,0.11862,526,20335,0.11088,0.12569
15,15,2007,North Rhine-Westphalia,Seldom,0.23083,991,20335,0.21919,0.23987
16,16,2007,North Rhine-Westphalia,Sometimes,0.39932,1662,20335,0.38549,0.41487
17,17,2007,North Rhine-Westphalia,Often,0.20658,810,20335,0.19401,0.21974
18,18,2007,North Rhine-Westphalia,Very often,0.04465,207,20335,0.0402,0.04994
19,19,2007,Hesse,Very seldom,0.10049,140,20335,0.0876,0.11258
20,20,2007,Hesse,Seldom,0.17573,267,20335,0.16155,0.19365
21,21,2007,Hesse,Sometimes,0.4316,596,20335,0.39775,0.46138
22,22,2007,Hesse,Often,0.21002,292,20335,0.19189,0.23421
23,23,2007,Hesse,Very often,0.08216,96,20335,0.06773,0.09394
24,24,2007,"Rhineland-Palatinate, Saarland",Very seldom,0.14841,163,20335,0.13163,0.16528
25,25,2007,"Rhineland-Palatinate, Saarland",Seldom,0.18842,234,20335,0.17358,0.20549
26,26,2007,"Rhineland-Palatinate, Saarland",Sometimes,0.38192,446,20335,0.35467,0.41522
27,27,2007,"Rhineland-Palatinate, Saarland",Often,0.20978,243,20335,0.18741,0.23427
28,28,2007,"Rhineland-Palatinate, Saarland",Very often,0.07148,84,20335,0.06045,0.08594
29,29,2007,Baden-Wuerttemberg,Very seldom,0.07218,166,20335,0.06449,0.08153
30,30,2007,Baden-Wuerttemberg,Seldom,0.22251,550,20335,0.20567,0.23497
31,31,2007,Baden-Wuerttemberg,Sometimes,0.43175,1072,20335,0.40991,0.45209
32,32,2007,Baden-Wuerttemberg,Often,0.21051,532,20335,0.19416,0.22485
33,33,2007,Baden-Wuerttemberg,Very often,0.06305,156,20335,0.0549,0.07233
34,34,2007,Bavaria,Very seldom,0.10692,313,20335,0.09897,0.11637
35,35,2007,Bavaria,Seldom,0.23226,675,20335,0.21794,0.24591
36,36,2007,Bavaria,Sometimes,0.41428,1242,20335,0.39734,0.43136
37,37,2007,Bavaria,Often,0.1886,553,20335,0.17369,0.2006
38,38,2007,Bavaria,Very often,0.05794,161,20335,0.05045,0.06567
39,39,2007,Berlin,Very seldom,0.07759,54,20335,0.0635,0.09005
40,40,2007,Berlin,Seldom,0.19328,147,20335,0.17164,0.21833
41,41,2007,Berlin,Sometimes,0.40841,307,20335,0.37583,0.44355
42,42,2007,Berlin,Often,0.21816,164,20335,0.19063,0.24573
43,43,2007,Berlin,Very often,0.10256,79,20335,0.08443,0.12575
44,44,2007,Brandenburg,Very seldom,0.06464,58,20335,0.0555,0.08032
45,45,2007,Brandenburg,Seldom,0.22535,198,20335,0.19608,0.25683
46,46,2007,Brandenburg,Sometimes,0.41972,360,20335,0.38606,0.45618
47,47,2007,Brandenburg,Often,0.23154,195,20335,0.20613,0.26389
48,48,2007,Brandenburg,Very often,0.05875,48,20335,0.04774,0.0749
49,49,2007,Mecklenburg-Western Pomerania,Very seldom,0.11177,56,20335,0.09703,0.12963
50,50,2007,Mecklenburg-Western Pomerania,Seldom,0.23546,122,20335,0.20885,0.26702
51,51,2007,Mecklenburg-Western Pomerania,Sometimes,0.43384,210,20335,0.38459,0.48117
52,52,2007,Mecklenburg-Western Pomerania,Often,0.21893,103,20335,0.19072,0.25368
53,53,2007,Saxony,Very seldom,0.07091,110,20335,0.05938,0.08459
54,54,2007,Saxony,Seldom,0.19041,303,20335,0.17447,0.20794
55,55,2007,Saxony,Sometimes,0.432,672,20335,0.40653,0.46183
56,56,2007,Saxony,Often,0.25015,345,20335,0.23168,0.2733
57,57,2007,Saxony,Very often,0.05653,78,20335,0.04398,0.07031
58,58,2007,Saxony-Anhalt,Very seldom,0.1157,89,20335,0.10186,0.13204
59,59,2007,Saxony-Anhalt,Seldom,0.19141,159,20335,0.16454,0.22574
60,60,2007,Saxony-Anhalt,Sometimes,0.41919,382,20335,0.37678,0.45548
61,61,2007,Saxony-Anhalt,Often,0.19899,183,20335,0.17791,0.22454
62,62,2007,Saxony-Anhalt,Very often,0.0747,57,20335,0.06019,0.09057
63,63,2007,Thuringa,Very seldom,0.09515,76,20335,0.08091,0.10698
64,64,2007,Thuringa,Seldom,0.21294,184,20335,0.19046,0.24125
65,65,2007,Thuringa,Sometimes,0.43439,398,20335,0.39479,0.47923
66,66,2007,Thuringa,Often,0.20767,199,20335,0.18723,0.22947
67,67,2007,Thuringa,Very often,0.04985,52,20335,0.03934,0.06159
68,68,2008,Schleswig-Holstein,Very seldom,0.13659,89,19138,0.11374,0.15899
69,69,2008,Schleswig-Holstein,Seldom,0.30458,158,19138,0.27343,0.34106
