"plh0184","year","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Manchmal","2007","1 Einkommensschwächstes Quintil","1502","0.406424277721637","0.390689302491663","0.422159252951612"
"Manchmal","2007","2","1813","0.395261361156491","0.380986281599649","0.409536440713333"
"Manchmal","2007","3","1627","0.41565202143078","0.400142838350288","0.431161204511272"
"Manchmal","2007","4","1810","0.425253538176197","0.410360404835482","0.440146671516913"
"Manchmal","2007","5 Einkommensstärkstes Quintil","1760","0.434614207080686","0.419427919361238","0.449800494800134"
"Oft","2007","1 Einkommensschwächstes Quintil","850","0.222749054231029","0.209419158833727","0.236078949628332"
"Oft","2007","2","919","0.196247655472436","0.184651451061829","0.207843859883043"
"Oft","2007","3","794","0.210862029200677","0.198025019707222","0.223699038694132"
"Oft","2007","4","884","0.204851265387835","0.192693116194039","0.217009414581631"
"Oft","2007","5 Einkommensstärkstes Quintil","754","0.203269569567533","0.19094081789763","0.215598321237436"
"Sehr oft","2007","1 Einkommensschwächstes Quintil","267","0.0710438850999334","0.0628138985020061","0.0792738716978608"
"Sehr oft","2007","2","283","0.0678196215413866","0.0604782000830331","0.0751610429997401"
"Sehr oft","2007","3","211","0.0446758561445905","0.0381745589412107","0.0511771533479702"
"Sehr oft","2007","4","220","0.0560666899371828","0.0491364691431558","0.0629969107312098"
"Sehr oft","2007","5 Einkommensstärkstes Quintil","184","0.0457910705261282","0.0393872470004484","0.0521948940518079"
"Sehr selten","2007","1 Einkommensschwächstes Quintil","367","0.102953259852858","0.093217591641847","0.112688928063869"
"Sehr selten","2007","2","519","0.119023382498581","0.109568615464159","0.128478149533002"
"Sehr selten","2007","3","380","0.107404228012832","0.0976604741917825","0.117147981833882"
"Sehr selten","2007","4","403","0.0956927380351456","0.0868309479877159","0.104554528082575"
"Sehr selten","2007","5 Einkommensstärkstes Quintil","406","0.0895098737743444","0.0807640582750987","0.09825568927359"
"Selten","2007","1 Einkommensschwächstes Quintil","757","0.196829523094542","0.184091936025865","0.209567110163219"
"Selten","2007","2","972","0.221647979331106","0.209520447753195","0.233775510909017"
"Selten","2007","3","867","0.22140586521112","0.208339995420226","0.234471735002015"
"Selten","2007","4","916","0.218135768463639","0.205694832013001","0.230576704914278"
"Selten","2007","5 Einkommensstärkstes Quintil","989","0.226815279051308","0.21398591870193","0.239644639400686"
"Manchmal","2008","1 Einkommensschwächstes Quintil","1334","0.394410716241209","0.37778644971371","0.411034982768707"
"Manchmal","2008","2","1709","0.419987453333513","0.404773815527433","0.435201091139592"
"Manchmal","2008","3","1620","0.426305916771007","0.410439526262797","0.442172307279216"
"Manchmal","2008","4","1825","0.462864645477145","0.447589122317602","0.478140168636688"
"Manchmal","2008","5 Einkommensstärkstes Quintil","1735","0.421695265885153","0.40653865096307","0.436851880807236"
"Oft","2008","1 Einkommensschwächstes Quintil","723","0.22163656507835","0.207508230613232","0.235764899543468"
"Oft","2008","2","747","0.186789867518111","0.174776237082379","0.198803497953843"
"Oft","2008","3","682","0.18796684255065","0.175432407101934","0.200501277999367"
"Oft","2008","4","724","0.168654567460698","0.157183151447856","0.18012598347354"
"Oft","2008","5 Einkommensstärkstes Quintil","657","0.173334796387974","0.161716774606297","0.184952818169651"
"Sehr oft","2008","1 Einkommensschwächstes Quintil","204","0.0608354941404034","0.0527047853891181","0.0689662028916887"
"Sehr oft","2008","2","161","0.0355313532769843","0.0298251642837595","0.0412375422702091"
"Sehr oft","2008","3","159","0.0432871099557858","0.0367580992336032","0.0498161206779684"
"Sehr oft","2008","4","163","0.0373611072176201","0.031551205444235","0.0431710089910051"
"Sehr oft","2008","5 Einkommensstärkstes Quintil","163","0.0461093511279152","0.0396725768267006","0.0525461254291298"
"Sehr selten","2008","1 Einkommensschwächstes Quintil","303","0.098230121377446","0.0881061886220063","0.108354054132886"
"Sehr selten","2008","2","429","0.106707111136655","0.0971903352966031","0.116223886976706"
"Sehr selten","2008","3","363","0.102446454339919","0.0927177294400074","0.112175179239831"
"Sehr selten","2008","4","405","0.0968547925135799","0.0877939920376194","0.10591559298954"
"Sehr selten","2008","5 Einkommensstärkstes Quintil","441","0.106486834902423","0.0970196051326564","0.11595406467219"
"Selten","2008","1 Einkommensschwächstes Quintil","756","0.224887103162592","0.21068528964153","0.239088916683654"
"Selten","2008","2","997","0.250984214734737","0.237619339476903","0.264349089992571"
"Selten","2008","3","908","0.239993676382638","0.226291619197679","0.253695733567598"
"Selten","2008","4","976","0.234264887330957","0.221289506915408","0.247240267746506"
"Selten","2008","5 Einkommensstärkstes Quintil","1082","0.252373751696535","0.239041950081193","0.265705553311877"
"Manchmal","2009","1 Einkommensschwächstes Quintil","1175","0.394735420678943","0.377129669234037","0.412341172123849"
"Manchmal","2009","2","1517","0.416546176100064","0.400561691381488","0.432530660818641"
"Manchmal","2009","3","1388","0.412929226404107","0.396298562981831","0.429559889826383"
"Manchmal","2009","4","1690","0.433122852567153","0.417634994480466","0.448610710653839"
"Manchmal","2009","5 Einkommensstärkstes Quintil","1652","0.41698199869239","0.401772379109137","0.432191618275643"
"Oft","2009","1 Einkommensschwächstes Quintil","626","0.21103349666124","0.196336321595999","0.225730671726481"
"Oft","2009","2","669","0.182274996948543","0.169757110494558","0.194792883402527"
"Oft","2009","3","623","0.187601680357929","0.174415184488316","0.200788176227541"
"Oft","2009","4","717","0.189646136226192","0.177392903292328","0.201899369160056"
"Oft","2009","5 Einkommensstärkstes Quintil","688","0.17399224078205","0.162297900671529","0.185686580892572"
"Sehr oft","2009","1 Einkommensschwächstes Quintil","152","0.0503437712118909","0.04246814727241","0.0582193951513718"
"Sehr oft","2009","2","128","0.0383713100981094","0.032142991225035","0.0445996289711838"
"Sehr oft","2009","3","152","0.0436274572363139","0.0367279188832884","0.0505269955893393"
"Sehr oft","2009","4","150","0.0366414937622355","0.0307690091186753","0.0425139784057956"
"Sehr oft","2009","5 Einkommensstärkstes Quintil","151","0.0367581931277366","0.0309537113014448","0.0425626749540285"
"Sehr selten","2009","1 Einkommensschwächstes Quintil","292","0.102904678613195","0.0919609391950373","0.113848418031354"
"Sehr selten","2009","2","429","0.119735016682878","0.109208586312019","0.130261447053736"
"Sehr selten","2009","3","336","0.100701317632523","0.0905365819980125","0.110866053267034"
"Sehr selten","2009","4","386","0.0956282333789451","0.0864362781433156","0.104820188614574"
"Sehr selten","2009","5 Einkommensstärkstes Quintil","446","0.108956699497061","0.0993451127369137","0.118568286257208"
"Selten","2009","1 Einkommensschwächstes Quintil","716","0.240982632834731","0.2255781324861","0.256387133183362"
