year,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Very seldom,0.10404,2075,20454,0.09985,0.10822
2007,Seldom,0.21587,4501,20454,0.21023,0.22151
2007,Sometimes,0.41382,8512,20454,0.40707,0.42057
2007,Often,0.20776,4201,20454,0.20220,0.21332
2007,Very often,0.05851,1165,20454,0.05530,0.06173
2008,Very seldom,0.10189,1941,19266,0.09762,0.10616
2008,Seldom,0.23994,4719,19266,0.23391,0.24597
2008,Sometimes,0.42548,8223,19266,0.41850,0.43246
2008,Often,0.18833,3533,19266,0.18281,0.19385
2008,Very often,0.04436,850,19266,0.04146,0.04727
2009,Very seldom,0.10547,1889,17951,0.10098,0.10996
2009,Seldom,0.24893,4584,17951,0.24260,0.25526
2009,Sometimes,0.41545,7422,17951,0.40824,0.42266
2009,Often,0.18916,3323,17951,0.18343,0.19489
2009,Very often,0.04099,733,17951,0.03809,0.04389
2010,Very seldom,0.10966,1793,16590,0.10491,0.11442
2010,Seldom,0.26239,4348,16590,0.25569,0.26908
2010,Sometimes,0.43005,7171,16590,0.42251,0.43758
2010,Often,0.16872,2782,16590,0.16302,0.17442
2010,Very often,0.02919,496,16590,0.02662,0.03175
2011,Very seldom,0.12441,2512,20650,0.11991,0.12892
2011,Seldom,0.25200,5309,20650,0.24608,0.25793
2011,Sometimes,0.41280,8447,20650,0.40608,0.41951
2011,Often,0.17083,3536,20650,0.16570,0.17596
2011,Very often,0.03996,846,20650,0.03729,0.04263
2012,Very seldom,0.11425,2426,20437,0.10989,0.11861
2012,Seldom,0.27827,5599,20437,0.27213,0.28442
2012,Sometimes,0.40929,8356,20437,0.40255,0.41603
2012,Often,0.16129,3315,20437,0.15625,0.16633
2012,Very often,0.03690,741,20437,0.03431,0.03948
2013,Very seldom,0.10787,2560,25610,0.10407,0.11167
2013,Seldom,0.27712,6754,25610,0.27164,0.28260
2013,Sometimes,0.40638,10413,25610,0.40036,0.41240
2013,Often,0.17026,4699,25610,0.16565,0.17486
2013,Very often,0.03837,1184,25610,0.03602,0.04073
2014,Very seldom,0.11801,3024,27019,0.11416,0.12186
2014,Seldom,0.26999,6908,27019,0.26470,0.27528
2014,Sometimes,0.39362,10730,27019,0.38780,0.39945
2014,Often,0.17656,5037,27019,0.17202,0.18111
2014,Very often,0.04181,1320,27019,0.03943,0.04420
2015,Very seldom,0.11735,2665,24986,0.11336,0.12134
2015,Seldom,0.27604,6729,24986,0.27050,0.28158
2015,Sometimes,0.39577,9996,24986,0.38971,0.40184
2015,Often,0.16969,4486,24986,0.16504,0.17435
2015,Very often,0.04115,1110,24986,0.03869,0.04361
2016,Very seldom,0.11922,2789,24113,0.11513,0.12331
2016,Seldom,0.26728,6372,24113,0.26169,0.27287
2016,Sometimes,0.39829,9648,24113,0.39211,0.40447
2016,Often,0.17233,4180,24113,0.16756,0.17709
2016,Very often,0.04288,1124,24113,0.04033,0.04544
2017,Very seldom,0.11693,2982,26382,0.11305,0.12081
2017,Seldom,0.27851,7231,26382,0.27311,0.28392
2017,Sometimes,0.39536,10623,26382,0.38946,0.40126
2017,Often,0.16685,4418,26382,0.16235,0.17135
2017,Very often,0.04234,1128,26382,0.03991,0.04477
2018,Very seldom,0.11906,2954,25537,0.11508,0.12303
2018,Seldom,0.28138,7052,25537,0.27587,0.28690
2018,Sometimes,0.39376,10048,25537,0.38777,0.39975
2018,Often,0.16344,4337,25537,0.15891,0.16798
2018,Very often,0.04236,1146,25537,0.03989,0.04483
2019,Very seldom,0.12502,3158,25692,0.12097,0.12906
2019,Seldom,0.29044,7289,25692,0.28489,0.29600
2019,Sometimes,0.38575,9945,25692,0.37980,0.39170
2019,Often,0.16123,4208,25692,0.15673,0.16573
2019,Very often,0.03756,1092,25692,0.03523,0.03988
2020,Very seldom,0.11123,3208,25618,0.10738,0.11508
2020,Seldom,0.27451,7008,25618,0.26905,0.27998
2020,Sometimes,0.40904,10140,25618,0.40302,0.41507
2020,Often,0.16429,4231,25618,0.15975,0.16882
2020,Very often,0.04092,1031,25618,0.03850,0.04335
2021,Very seldom,0.13307,2376,17186,0.12799,0.13815
2021,Seldom,0.30850,5422,17186,0.30160,0.31541
2021,Sometimes,0.36545,6175,17186,0.35825,0.37265
2021,Often,0.15176,2533,17186,0.14640,0.15713
2021,Very often,0.04121,680,17186,0.03824,0.04418
2022,Very seldom,0.12190,3209,26106,0.11793,0.12587
2022,Seldom,0.27366,7259,26106,0.26826,0.27907
2022,Sometimes,0.38919,10104,26106,0.38328,0.39510
2022,Often,0.16863,4332,26106,0.16409,0.17318
2022,Very often,0.04661,1202,26106,0.04405,0.04917
