year,sampreg,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,West,Very seldom,0.10812,1660,15456,0.10323,0.11302
2007,West,Seldom,0.21854,3467,15456,0.21202,0.22505
2007,West,Sometimes,0.41186,6342,15456,0.40410,0.41962
2007,West,Often,0.20428,3108,15456,0.19792,0.21063
2007,West,Very often,0.05720,879,15456,0.05354,0.06086
2007,East,Very seldom,0.08659,415,4998,0.07879,0.09438
2007,East,Seldom,0.20446,1034,4998,0.19328,0.21565
2007,East,Sometimes,0.42220,2170,4998,0.40850,0.43589
2007,East,Often,0.22262,1093,4998,0.21108,0.23415
2007,East,Very often,0.06414,286,4998,0.05734,0.07093
2008,West,Very seldom,0.10510,1526,14503,0.10011,0.11010
2008,West,Seldom,0.24441,3641,14503,0.23741,0.25140
2008,West,Sometimes,0.41880,6071,14503,0.41077,0.42683
2008,West,Often,0.18699,2625,14503,0.18065,0.19334
2008,West,Very often,0.04469,640,14503,0.04133,0.04805
2008,East,Very seldom,0.08786,415,4763,0.07982,0.09590
2008,East,Seldom,0.22044,1078,4763,0.20867,0.23222
2008,East,Sometimes,0.45460,2152,4763,0.44045,0.46874
2008,East,Often,0.19416,908,4763,0.18293,0.20540
2008,East,Very often,0.04294,210,4763,0.03718,0.04869
2009,West,Very seldom,0.10720,1434,13425,0.10197,0.11243
2009,West,Seldom,0.24874,3468,13425,0.24143,0.25605
2009,West,Sometimes,0.41269,5482,13425,0.40436,0.42102
2009,West,Often,0.18789,2458,13425,0.18128,0.19449
2009,West,Very often,0.04348,583,13425,0.04003,0.04693
2009,East,Very seldom,0.09799,455,4526,0.08932,0.10665
2009,East,Seldom,0.24975,1116,4526,0.23714,0.26236
2009,East,Sometimes,0.42737,1940,4526,0.41295,0.44178
2009,East,Often,0.19468,865,4526,0.18314,0.20622
2009,East,Very often,0.03022,150,4526,0.02523,0.03521
2010,West,Very seldom,0.10980,1373,12483,0.10431,0.11528
2010,West,Seldom,0.26323,3293,12483,0.25550,0.27095
2010,West,Sometimes,0.42829,5302,12483,0.41961,0.43697
2010,West,Often,0.17013,2129,12483,0.16354,0.17672
2010,West,Very often,0.02856,386,12483,0.02564,0.03148
2010,East,Very seldom,0.10909,420,4107,0.09955,0.11862
2010,East,Seldom,0.25870,1055,4107,0.24531,0.27210
2010,East,Sometimes,0.43774,1869,4107,0.42256,0.45291
2010,East,Often,0.16255,653,4107,0.15127,0.17384
2010,East,Very often,0.03192,110,4107,0.02654,0.03730
2011,West,Very seldom,0.12466,1904,15765,0.11950,0.12981
2011,West,Seldom,0.25147,4051,15765,0.24470,0.25824
2011,West,Sometimes,0.41370,6448,15765,0.40601,0.42139
2011,West,Often,0.17042,2708,15765,0.16455,0.17629
2011,West,Very often,0.03975,654,15765,0.03670,0.04280
2011,East,Very seldom,0.12334,608,4885,0.11411,0.13256
2011,East,Seldom,0.25437,1258,4885,0.24216,0.26659
2011,East,Sometimes,0.40876,1999,4885,0.39497,0.42255
2011,East,Often,0.17264,828,4885,0.16204,0.18324
2011,East,Very often,0.04088,192,4885,0.03533,0.04644
2012,West,Very seldom,0.11414,1858,15602,0.10915,0.11913
2012,West,Seldom,0.28097,4285,15602,0.27391,0.28802
2012,West,Sometimes,0.40866,6360,15602,0.40095,0.41637
2012,West,Often,0.15817,2518,15602,0.15245,0.16390
2012,West,Very often,0.03806,581,15602,0.03506,0.04106
2012,East,Very seldom,0.11474,568,4835,0.10576,0.12373
2012,East,Seldom,0.26601,1314,4835,0.25355,0.27846
2012,East,Sometimes,0.41215,1996,4835,0.39827,0.42603
2012,East,Often,0.17549,797,4835,0.16477,0.18621
2012,East,Very often,0.03161,160,4835,0.02668,0.03654
2013,West,Very seldom,0.10837,1969,19889,0.10405,0.11269
2013,West,Seldom,0.27919,5228,19889,0.27295,0.28542
2013,West,Sometimes,0.40530,8059,19889,0.39848,0.41212
2013,West,Often,0.17012,3720,19889,0.16490,0.17535
2013,West,Very often,0.03702,913,19889,0.03439,0.03964
2013,East,Very seldom,0.10576,591,5721,0.09779,0.11373
2013,East,Seldom,0.26839,1526,5721,0.25690,0.27987
2013,East,Sometimes,0.41094,2354,5721,0.39819,0.42369
2013,East,Often,0.17082,979,5721,0.16107,0.18057
2013,East,Very often,0.04410,271,5721,0.03878,0.04942
2014,West,Very seldom,0.11901,2401,21443,0.11467,0.12334
2014,West,Seldom,0.26980,5447,21443,0.26386,0.27574
2014,West,Sometimes,0.39552,8509,21443,0.38897,0.40206
2014,West,Often,0.17435,4016,21443,0.16927,0.17942
2014,West,Very often,0.04133,1070,21443,0.03867,0.04400
2014,East,Very seldom,0.11342,623,5576,0.10509,0.12174
2014,East,Seldom,0.27086,1461,5576,0.25920,0.28253
2014,East,Sometimes,0.38492,2221,5576,0.37215,0.39769
2014,East,Often,0.18678,1021,5576,0.17655,0.19701
2014,East,Very often,0.04402,250,5576,0.03864,0.04941
2015,West,Very seldom,0.12311,2158,19743,0.11853,0.12770
2015,West,Seldom,0.27776,5299,19743,0.27152,0.28401
2015,West,Sometimes,0.39350,7858,19743,0.38669,0.40032
2015,West,Often,0.16543,3527,19743,0.16025,0.17061
2015,West,Very often,0.04019,901,19743,0.03745,0.04293
2015,East,Very seldom,0.09090,507,5243,0.08312,0.09869
2015,East,Seldom,0.26814,1430,5243,0.25614,0.28013
2015,East,Sometimes,0.40619,2138,5243,0.39289,0.41948
2015,East,Often,0.18923,959,5243,0.17862,0.19983
2015,East,Very often,0.04555,209,5243,0.03990,0.05119
2016,West,Very seldom,0.12016,2234,19092,0.11555,0.12477
2016,West,Seldom,0.26855,5031,19092,0.26226,0.27483
2016,West,Sometimes,0.39587,7595,19092,0.38894,0.40281
2016,West,Often,0.17383,3345,19092,0.16845,0.17920
2016,West,Very often,0.04159,887,19092,0.03876,0.04442
2016,East,Very seldom,0.11484,555,5021,0.10602,0.12366
2016,East,Seldom,0.26138,1341,5021,0.24923,0.27354
2016,East,Sometimes,0.40953,2053,5021,0.39592,0.42313
2016,East,Often,0.16535,835,5021,0.15507,0.17562
2016,East,Very often,0.04890,237,5021,0.04293,0.05486
2017,West,Very seldom,0.11909,2396,20808,0.11468,0.12349
2017,West,Seldom,0.27615,5626,20808,0.27007,0.28222
2017,West,Sometimes,0.39634,8409,20808,0.38970,0.40299
2017,West,Often,0.16587,3480,20808,0.16082,0.17093
2017,West,Very often,0.04255,897,20808,0.03981,0.04530
2017,East,Very seldom,0.10663,586,5574,0.09852,0.11473
2017,East,Seldom,0.28983,1605,5574,0.27792,0.30174
2017,East,Sometimes,0.39069,2214,5574,0.37788,0.40350
2017,East,Often,0.17154,938,5574,0.16164,0.18143
2017,East,Very often,0.04131,231,5574,0.03609,0.04654
2018,West,Very seldom,0.12085,2333,20064,0.11634,0.12536
2018,West,Seldom,0.27679,5417,20064,0.27060,0.28298
2018,West,Sometimes,0.39366,7926,20064,0.38690,0.40042
2018,West,Often,0.16632,3473,20064,0.16117,0.17147
2018,West,Very often,0.04238,915,20064,0.03959,0.04516
2018,East,Very seldom,0.11043,621,5473,0.10212,0.11873
2018,East,Seldom,0.30349,1635,5473,0.29131,0.31567
2018,East,Sometimes,0.39423,2122,5473,0.38128,0.40718
2018,East,Often,0.14958,864,5473,0.14013,0.15903
2018,East,Very often,0.04228,231,5473,0.03695,0.04761
2019,West,Very seldom,0.12559,2487,20078,0.12101,0.13018
2019,West,Seldom,0.29231,5676,20078,0.28602,0.29861
2019,West,Sometimes,0.38299,7743,20078,0.37627,0.38972
2019,West,Often,0.16153,3301,20078,0.15644,0.16662
2019,West,Very often,0.03757,871,20078,0.03494,0.04020
2019,East,Very seldom,0.12224,664,5538,0.11361,0.13087
2019,East,Seldom,0.28121,1590,5538,0.26937,0.29305
2019,East,Sometimes,0.40020,2180,5538,0.38729,0.41310
2019,East,Often,0.15909,888,5538,0.14946,0.16873
2019,East,Very often,0.03726,216,5538,0.03227,0.04225
2020,West,Very seldom,0.11497,2600,20308,0.11059,0.11936
2020,West,Seldom,0.27272,5533,20308,0.26659,0.27884
2020,West,Sometimes,0.40816,8004,20308,0.40140,0.41492
2020,West,Often,0.16317,3340,20308,0.15809,0.16825
2020,West,Very often,0.04098,831,20308,0.03826,0.04371
2020,East,Very seldom,0.09344,608,5310,0.08561,0.10127
2020,East,Seldom,0.28306,1475,5310,0.27094,0.29517
2020,East,Sometimes,0.41327,2136,5310,0.40003,0.42652
2020,East,Often,0.16960,891,5310,0.15951,0.17970
2020,East,Very often,0.04063,200,5310,0.03532,0.04594
2021,West,Very seldom,0.13652,1883,13570,0.13075,0.14230
2021,West,Seldom,0.30568,4242,13570,0.29793,0.31343
2021,West,Sometimes,0.36385,4918,13570,0.35576,0.37195
2021,West,Often,0.15362,1987,13570,0.14755,0.15969
2021,West,Very often,0.04033,540,13570,0.03702,0.04364
2021,East,Very seldom,0.11632,493,3616,0.10587,0.12677
2021,East,Seldom,0.32222,1180,3616,0.30699,0.33745
2021,East,Sometimes,0.37320,1257,3616,0.35743,0.38896
2021,East,Often,0.14276,546,3616,0.13135,0.15416
2021,East,Very often,0.04550,140,3616,0.03871,0.05230
2022,West,Very seldom,0.12377,2569,20521,0.11927,0.12828
2022,West,Seldom,0.27780,5721,20521,0.27167,0.28393
2022,West,Sometimes,0.39035,8014,20521,0.38367,0.39702
2022,West,Often,0.16436,3325,20521,0.15929,0.16943
2022,West,Very often,0.04372,892,20521,0.04092,0.04651
2022,East,Very seldom,0.11252,640,5585,0.10423,0.12081
2022,East,Seldom,0.25291,1538,5585,0.24151,0.26431
