"plh0184","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr selten","2007","(noch) kein Abschluss","Schleswig-Holstein","5","0.200557974479297","0.0205114487787943","0.380604500179799"
"Sehr selten","2007","(noch) kein Abschluss","Hamburg","1","","",""
"Sehr selten","2007","(noch) kein Abschluss","Niedersachsen","6","0.163529579841558","0.059973999863988","0.267085159819129"
"Sehr selten","2007","(noch) kein Abschluss","Bremen","","","",""
"Sehr selten","2007","(noch) kein Abschluss","Nordrhein-Westfalen","20","","",""
"Sehr selten","2007","(noch) kein Abschluss","Hessen","6","0.125409552168005","0.0252502894059835","0.225568814930026"
"Sehr selten","2007","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","7","0.174666896442891","0.0364793117095341","0.312854481176249"
"Sehr selten","2007","(noch) kein Abschluss","Baden-Wuerttemberg","4","0.0367721109102464","0.000248659573345897","0.073295562247147"
"Sehr selten","2007","(noch) kein Abschluss","Bayern","6","0.083746192549835","0.0130635924282165","0.154428792671453"
"Sehr selten","2007","(noch) kein Abschluss","Saarland","","","",""
"Sehr selten","2007","(noch) kein Abschluss","Berlin","1","","",""
"Sehr selten","2007","(noch) kein Abschluss","Brandenburg","","","",""
"Sehr selten","2007","(noch) kein Abschluss","Mecklenburg-Vorpommern","3","","",""
"Sehr selten","2007","(noch) kein Abschluss","Sachsen","1","","",""
"Sehr selten","2007","(noch) kein Abschluss","Sachsen-Anhalt","2","","",""
"Sehr selten","2007","(noch) kein Abschluss","Thueringen","","","",""
"Sehr selten","2007","Hauptschule","Schleswig-Holstein","53","0.200742643561197","0.149853779915613","0.251631507206782"
"Sehr selten","2007","Hauptschule","Hamburg","11","","",""
"Sehr selten","2007","Hauptschule","Niedersachsen","80","0.133852779418076","0.108574863970637","0.159130694865516"
"Sehr selten","2007","Hauptschule","Bremen","6","0.152250899989266","0.0422820291804981","0.262219770798033"
"Sehr selten","2007","Hauptschule","Nordrhein-Westfalen","243","","",""
"Sehr selten","2007","Hauptschule","Hessen","64","0.130901605005327","0.100343098558105","0.161460111452548"
"Sehr selten","2007","Hauptschule","Rheinland-Pfalz,Saarland","92","0.173631064898009","0.142452417727694","0.204809712068325"
"Sehr selten","2007","Hauptschule","Baden-Wuerttemberg","69","0.0782231719976531","0.0612459353704659","0.0952004086248403"
"Sehr selten","2007","Hauptschule","Bayern","144","","",""
"Sehr selten","2007","Hauptschule","Saarland","","","",""
"Sehr selten","2007","Hauptschule","Berlin","9","0.0648142202585452","0.0219958307938884","0.107632609723202"
"Sehr selten","2007","Hauptschule","Brandenburg","25","","",""
"Sehr selten","2007","Hauptschule","Mecklenburg-Vorpommern","16","","",""
"Sehr selten","2007","Hauptschule","Sachsen","46","0.137992810211532","0.102266328361751","0.173719292061313"
