syear,quintil_oecd,sex,plh0184,proportion,n,lower_confidence,upper_confidence
2007,3. Quintil,female,3.0,0.0631172386819204,20850,0.059816435258765066,0.06641804210507574
2007,4. Quintil,female,3.0,0.06081939962843454,20850,0.057575266538908466,0.0640635327179606
2007,5. Quintil,female,3.0,0.059108242886476973,20850,0.05590716015740759,0.062309325615546356
2007,5. Quintil,male,3.0,0.05817932922655715,20850,0.05500193204793329,0.06135672640518101
2007,4. Quintil,male,3.0,0.05676151364036374,20850,0.05362071002544062,0.059902317255286865
2007,3. Quintil,male,3.0,0.05045467879143444,20850,0.04748361748313971,0.053425740099729176
2007,2. Quintil,female,3.0,0.03735210716730224,20850,0.03477819141687896,0.03992602291772551
2007,5. Quintil,male,2.0,0.03304977021609465,20850,0.03062321977028907,0.03547632066190023
2007,4. Quintil,male,2.0,0.032023076170920116,20850,0.02963324584462552,0.034412906497214714
2007,3. Quintil,female,2.0,0.031583064437273885,20850,0.02920917021871638,0.033956958655831385
2007,5. Quintil,female,2.0,0.030898601740490857,20850,0.028549742102847192,0.03324746137813452
2007,2. Quintil,male,3.0,0.03036080962158991,20850,0.028031834785575787,0.03268978445760404
2007,4. Quintil,female,2.0,0.029480786154297448,20850,0.027184771578114723,0.03177680073048017
2007,4. Quintil,female,4.0,0.028796323457514424,20850,0.026526318936346466,0.031066327978682383
2007,3. Quintil,female,4.0,0.028747433264887063,20850,0.026479299474531814,0.03101556705524231
2007,3. Quintil,male,2.0,0.028747433264887063,20850,0.026479299474531814,0.03101556705524231
2007,4. Quintil,male,4.0,0.028649652879632347,20850,0.026385265770899825,0.03091403998836487
2007,3. Quintil,male,4.0,0.027671849027085166,20850,0.025445318974826964,0.029898379079343368
2007,5. Quintil,male,4.0,0.026694045174537988,20850,0.024506107596090565,0.02888198275298541
2007,5. Quintil,female,4.0,0.02566735112936345,20850,0.023520770552480145,0.027813931706246752
