year,sampreg,sex,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,West,male,Very seldom,0.08045,782,7341,0.07423,0.08667
2007,West,male,Seldom,0.18962,1756,7341,0.18066,0.19859
2007,West,male,Sometimes,0.32645,2940,7341,0.31572,0.33718
2007,West,male,Often,0.17634,1507,7341,0.16762,0.18506
2007,West,male,Very often,0.04247,356,7341,0.03786,0.04708
2007,West,female,Very seldom,0.09723,878,8115,0.09078,0.10367
2007,West,female,Seldom,0.17065,1711,8115,0.16247,0.17884
2007,West,female,Sometimes,0.35122,3402,8115,0.34083,0.36161
2007,West,female,Often,0.16039,1601,8115,0.15240,0.16837
2007,West,female,Very often,0.05152,523,8115,0.04671,0.05633
2007,East,male,Very seldom,0.07223,206,2411,0.06189,0.08256
2007,East,male,Seldom,0.16890,484,2411,0.15394,0.18385
2007,East,male,Sometimes,0.37675,1064,2411,0.35741,0.39610
2007,East,male,Often,0.19532,520,2411,0.17950,0.21115
2007,East,male,Very often,0.05111,137,2411,0.04231,0.05990
2007,East,female,Very seldom,0.07895,209,2587,0.06856,0.08934
2007,East,female,Seldom,0.18809,550,2587,0.17302,0.20315
2007,East,female,Sometimes,0.36040,1106,2587,0.34189,0.37890
2007,East,female,Often,0.19336,573,2587,0.17813,0.20858
2007,East,female,Very often,0.06087,149,2587,0.05166,0.07009
2008,West,male,Very seldom,0.08622,758,6882,0.07959,0.09285
2008,West,male,Seldom,0.20767,1810,6882,0.19808,0.21725
2008,West,male,Sometimes,0.33929,2827,6882,0.32810,0.35048
2008,West,male,Often,0.14991,1214,6882,0.14148,0.15835
2008,West,male,Very often,0.03603,273,6882,0.03163,0.04044
2008,West,female,Very seldom,0.08786,768,7621,0.08151,0.09422
2008,West,female,Seldom,0.19747,1831,7621,0.18853,0.20641
2008,West,female,Sometimes,0.35418,3244,7621,0.34344,0.36492
2008,West,female,Often,0.15965,1411,7621,0.15142,0.16787
2008,West,female,Very often,0.03796,367,7621,0.03367,0.04225
