year,regtyp,sampreg,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,West,Very seldom,0.11024,1318,11786,0.10458,0.11589
2007,Urban regions,West,Seldom,0.21920,2630,11786,0.21173,0.22667
2007,Urban regions,West,Sometimes,0.40826,4795,11786,0.39938,0.41713
2007,Urban regions,West,Often,0.20450,2366,11786,0.19722,0.21178
2007,Urban regions,West,Very often,0.05780,677,11786,0.05359,0.06202
2007,Urban regions,East,Very seldom,0.08311,129,1670,0.06986,0.09635
2007,Urban regions,East,Seldom,0.19260,336,1670,0.17369,0.21152
2007,Urban regions,East,Sometimes,0.41590,715,1670,0.39226,0.43955
2007,Urban regions,East,Often,0.23622,396,1670,0.21585,0.25660
2007,Urban regions,East,Very often,0.07216,94,1670,0.05975,0.08458
2007,Rural regions,West,Very seldom,0.10148,342,3670,0.09171,0.11125
2007,Rural regions,West,Seldom,0.21645,837,3670,0.20313,0.22978
2007,Rural regions,West,Sometimes,0.42319,1547,3670,0.40721,0.43918
2007,Rural regions,West,Often,0.20358,742,3670,0.19055,0.21661
2007,Rural regions,West,Very often,0.05529,202,3670,0.04789,0.06268
2007,Rural regions,East,Very seldom,0.08839,286,3328,0.07874,0.09803
2007,Rural regions,East,Seldom,0.21060,698,3328,0.19674,0.22445
2007,Rural regions,East,Sometimes,0.42545,1455,3328,0.40865,0.44225
2007,Rural regions,East,Often,0.21558,697,3328,0.20160,0.22955
2007,Rural regions,East,Very often,0.05998,192,3328,0.05192,0.06805
2008,Urban regions,West,Very seldom,0.10832,1210,11055,0.10252,0.11411
2008,Urban regions,West,Seldom,0.24542,2784,11055,0.23740,0.25344
2008,Urban regions,West,Sometimes,0.41192,4559,11055,0.40275,0.42110
2008,Urban regions,West,Often,0.18931,2012,11055,0.18201,0.19661
2008,Urban regions,West,Very often,0.04503,490,11055,0.04117,0.04890
2008,Urban regions,East,Very seldom,0.07230,111,1616,0.05967,0.08494
2008,Urban regions,East,Seldom,0.20606,355,1616,0.18633,0.22578
2008,Urban regions,East,Sometimes,0.48002,765,1616,0.45565,0.50438
2008,Urban regions,East,Often,0.19862,328,1616,0.17916,0.21808
2008,Urban regions,East,Very often,0.04300,57,1616,0.03310,0.05289
2008,Rural regions,West,Very seldom,0.09506,316,3448,0.08527,0.10485
2008,Rural regions,West,Seldom,0.24125,857,3448,0.22697,0.25553
2008,Rural regions,West,Sometimes,0.44030,1512,3448,0.42373,0.45687
2008,Rural regions,West,Often,0.17976,613,3448,0.16694,0.19258
2008,Rural regions,West,Very often,0.04362,150,3448,0.03680,0.05044
2008,Rural regions,East,Very seldom,0.09619,304,3147,0.08588,0.10649
2008,Rural regions,East,Seldom,0.22813,723,3147,0.21347,0.24280
2008,Rural regions,East,Sometimes,0.44100,1387,3147,0.42365,0.45835
2008,Rural regions,East,Often,0.19178,580,3147,0.17802,0.20554
2008,Rural regions,East,Very often,0.04290,153,3147,0.03582,0.04998
2009,Urban regions,West,Very seldom,0.11010,1127,10150,0.10401,0.11619
2009,Urban regions,West,Seldom,0.25069,2638,10150,0.24226,0.25912
