year,sex,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,male,Very seldom,0.09576,988,9752,0.08992,0.10160
2007,male,Seldom,0.22540,2240,9752,0.21710,0.23369
2007,male,Sometimes,0.40725,4004,9752,0.39749,0.41700
2007,male,Often,0.21816,2027,9752,0.20996,0.22635
2007,male,Very often,0.05345,493,9752,0.04898,0.05791
2007,female,Very seldom,0.11188,1087,10702,0.10590,0.11785
2007,female,Seldom,0.20685,2261,10702,0.19917,0.21452
2007,female,Sometimes,0.42005,4508,10702,0.41070,0.42941
2007,female,Often,0.19791,2174,10702,0.19036,0.20546
2007,female,Very often,0.06331,672,10702,0.05870,0.06793
2008,male,Very seldom,0.10152,963,9184,0.09534,0.10769
2008,male,Seldom,0.24623,2339,9184,0.23742,0.25504
2008,male,Sometimes,0.42375,3856,9184,0.41364,0.43385
2008,male,Often,0.18609,1664,9184,0.17813,0.19405
2008,male,Very often,0.04242,362,9184,0.03829,0.04654
2008,female,Very seldom,0.10224,978,10082,0.09632,0.10815
2008,female,Seldom,0.23399,2380,10082,0.22573,0.24225
2008,female,Sometimes,0.42712,4367,10082,0.41746,0.43677
2008,female,Often,0.19045,1869,10082,0.18279,0.19812
2008,female,Very often,0.04621,488,10082,0.04211,0.05030
2009,male,Very seldom,0.10164,949,8568,0.09524,0.10804
2009,male,Seldom,0.25715,2257,8568,0.24789,0.26640
2009,male,Sometimes,0.41627,3481,8568,0.40583,0.42671
2009,male,Often,0.18515,1555,8568,0.17692,0.19337
2009,male,Very often,0.03979,326,8568,0.03566,0.04393
2009,female,Very seldom,0.10911,940,9383,0.10281,0.11542
2009,female,Seldom,0.24111,2327,9383,0.23246,0.24977
2009,female,Sometimes,0.41466,3941,9383,0.40469,0.42463
2009,female,Often,0.19298,1768,9383,0.18500,0.20097
2009,female,Very often,0.04213,407,9383,0.03806,0.04619
2010,male,Very seldom,0.10726,883,7902,0.10043,0.11408
2010,male,Seldom,0.26962,2153,7902,0.25984,0.27941
2010,male,Sometimes,0.42295,3357,7902,0.41206,0.43384
2010,male,Often,0.17285,1296,7902,0.16451,0.18119
2010,male,Very often,0.02732,213,7902,0.02373,0.03092
2010,female,Very seldom,0.11201,910,8688,0.10538,0.11864
2010,female,Seldom,0.25535,2195,8688,0.24618,0.26452
2010,female,Sometimes,0.43694,3814,8688,0.42651,0.44738
2010,female,Often,0.16470,1486,8688,0.15690,0.17250
2010,female,Very often,0.03100,283,8688,0.02735,0.03464
2011,male,Very seldom,0.12494,1252,9749,0.11838,0.13151
2011,male,Seldom,0.25910,2611,9749,0.25040,0.26780
2011,male,Sometimes,0.41049,3957,9749,0.40073,0.42026
2011,male,Often,0.16983,1591,9749,0.16238,0.17729
2011,male,Very often,0.03563,338,9749,0.03195,0.03931
2011,female,Very seldom,0.12391,1260,10901,0.11772,0.13009
2011,female,Seldom,0.24520,2698,10901,0.23712,0.25327
2011,female,Sometimes,0.41500,4490,10901,0.40575,0.42425
2011,female,Often,0.17179,1945,10901,0.16471,0.17887
2011,female,Very often,0.04411,508,10901,0.04025,0.04796
2012,male,Very seldom,0.11359,1198,9633,0.10725,0.11993
2012,male,Seldom,0.28890,2778,9633,0.27985,0.29795
2012,male,Sometimes,0.40458,3855,9633,0.39478,0.41438
2012,male,Often,0.16007,1509,9633,0.15275,0.16740
2012,male,Very often,0.03286,293,9633,0.02930,0.03642
2012,female,Very seldom,0.11489,1228,10804,0.10887,0.12090
2012,female,Seldom,0.26803,2821,10804,0.25968,0.27639
2012,female,Sometimes,0.41383,4501,10804,0.40454,0.42311
2012,female,Often,0.16246,1806,10804,0.15550,0.16942
2012,female,Very often,0.04079,448,10804,0.03706,0.04452
2013,male,Very seldom,0.11168,1296,11575,0.10594,0.11742
2013,male,Seldom,0.27991,3257,11575,0.27173,0.28809
2013,male,Sometimes,0.40758,4650,11575,0.39863,0.41654
2013,male,Often,0.16658,1951,11575,0.15979,0.17337
2013,male,Very often,0.03424,421,11575,0.03093,0.03756
2013,female,Very seldom,0.10431,1264,14035,0.09925,0.10937
2013,female,Seldom,0.27451,3497,14035,0.26713,0.28189
2013,female,Sometimes,0.40526,5763,14035,0.39713,0.41338
2013,female,Often,0.17369,2748,14035,0.16742,0.17996
2013,female,Very often,0.04223,763,14035,0.03890,0.04556
2014,male,Very seldom,0.12276,1516,12405,0.11699,0.12854
2014,male,Seldom,0.28032,3433,12405,0.27242,0.28822
2014,male,Sometimes,0.38768,4884,12405,0.37910,0.39625
2014,male,Often,0.17305,2089,12405,0.16640,0.17971
2014,male,Very often,0.03619,483,12405,0.03290,0.03947
2014,female,Very seldom,0.11347,1508,14614,0.10832,0.11861
2014,female,Seldom,0.26012,3475,14614,0.25301,0.26724
2014,female,Sometimes,0.39931,5846,14614,0.39136,0.40725
2014,female,Often,0.17992,2948,14614,0.17369,0.18615
2014,female,Very often,0.04719,837,14614,0.04375,0.05062
2015,male,Very seldom,0.12113,1338,11435,0.11515,0.12712
2015,male,Seldom,0.27839,3275,11435,0.27017,0.28660
2015,male,Sometimes,0.39221,4522,11435,0.38326,0.40116
2015,male,Often,0.16925,1877,11435,0.16237,0.17612
2015,male,Very often,0.03902,423,11435,0.03547,0.04257
2015,female,Very seldom,0.11374,1327,13551,0.10840,0.11909
2015,female,Seldom,0.27380,3454,13551,0.26629,0.28131
2015,female,Sometimes,0.39916,5474,13551,0.39092,0.40741
2015,female,Often,0.17011,2609,13551,0.16379,0.17644
2015,female,Very often,0.04318,687,13551,0.03976,0.04660
2016,male,Very seldom,0.12088,1403,11034,0.11480,0.12697
2016,male,Seldom,0.27103,3105,11034,0.26274,0.27933
2016,male,Sometimes,0.40349,4368,11034,0.39434,0.41265
2016,male,Often,0.16689,1744,11034,0.15993,0.17385
2016,male,Very often,0.03770,414,11034,0.03415,0.04125
2016,female,Very seldom,0.11763,1386,13079,0.11211,0.12315
2016,female,Seldom,0.26369,3267,13079,0.25614,0.27124
2016,female,Sometimes,0.39330,5280,13079,0.38493,0.40168
2016,female,Often,0.17753,2436,13079,0.17098,0.18408
2016,female,Very often,0.04785,710,13079,0.04419,0.05151
2017,male,Very seldom,0.11724,1486,12190,0.11153,0.12296
2017,male,Seldom,0.29664,3642,12190,0.28853,0.30475
2017,male,Sometimes,0.38581,4748,12190,0.37717,0.39445
2017,male,Often,0.16405,1895,12190,0.15747,0.17062
2017,male,Very often,0.03626,419,12190,0.03294,0.03958
2017,female,Very seldom,0.11663,1496,14192,0.11135,0.12191
2017,female,Seldom,0.26107,3589,14192,0.25384,0.26830
2017,female,Sometimes,0.40456,5875,14192,0.39649,0.41264
2017,female,Often,0.16955,2523,14192,0.16338,0.17572
2017,female,Very often,0.04819,709,14192,0.04467,0.05172
2018,male,Very seldom,0.12414,1479,11750,0.11818,0.13010
2018,male,Seldom,0.30040,3565,11750,0.29211,0.30869
2018,male,Sometimes,0.38064,4474,11750,0.37186,0.38942
2018,male,Often,0.15863,1822,11750,0.15202,0.16523
2018,male,Very often,0.03619,410,11750,0.03281,0.03957
2018,female,Very seldom,0.11419,1475,13787,0.10888,0.11950
2018,female,Seldom,0.26317,3487,13787,0.25582,0.27052
