year,plh0184,regtyp,sex,proportion,n,lower_confidence,upper_confidence
2007,Very seldom,Urban regions,female,0.36096385542168674,25385,0.35505556197389737,0.3668721488694761
2007,Very seldom,Urban regions,male,0.32819277108433736,25385,0.3224164100556489,0.3339691321130258
2007,Very seldom,Rural regions,female,0.16289156626506024,25385,0.15834893332484065,0.16743419920527983
2007,Very seldom,Rural regions,male,0.14795180722891565,25385,0.14358403779723752,0.1523195766605938
2007,Seldom,Urban regions,female,0.3319262386136414,25385,0.3261332791791728,0.33771919804811
2007,Seldom,Urban regions,male,0.3257053988002666,25385,0.3199403258466704,0.3314704717538628
2007,Seldom,Rural regions,male,0.17196178626971784,25385,0.1673197486975746,0.17660382384186107
2007,Seldom,Rural regions,female,0.17040657631637413,25385,0.16578124003422356,0.17503191259852469
2007,Sometimes,Urban regions,female,0.34633458646616544,25385,0.3404813890422019,0.352187783890129
2007,Sometimes,Urban regions,male,0.2992246240601504,25385,0.2935914188924398,0.304857829227861
2007,Sometimes,Rural regions,female,0.18327067669172933,25385,0.17851126740770787,0.1880300859757508
2007,Sometimes,Rural regions,male,0.17117011278195488,25385,0.16653655954204435,0.1758036660218654
2007,Often,Urban regions,female,0.3356343727683885,25385,0.3298253339245892,0.3414434116121878
2007,Often,Urban regions,male,0.31992382766008093,25385,0.3141857085295742,0.32566194679058763
2007,Often,Rural regions,female,0.18186146155677219,25385,0.17711629729004452,0.18660662582349985
2007,Often,Rural regions,male,0.16258033801475838,25385,0.1580412032665325,0.16711947276298425
2007,Very often,Urban regions,female,0.3905579399141631,25385,0.38455621017808406,0.39655966965024214
2007,Very often,Urban regions,male,0.271244635193133,25385,0.26577524448410733,0.2767140259021587
2007,Very often,Rural regions,female,0.18626609442060085,25385,0.18147675520816556,0.19105543363303615
2007,Very often,Rural regions,male,0.151931330472103,25385,0.1475155582050029,0.1563471027392031
2008,Very seldom,Urban regions,female,0.34106130860381245,23673,0.3350222651597355,0.3471003520478894
2008,Very seldom,Urban regions,male,0.33900051519835134,23673,0.33297033678192695,0.34503069361477573
2008,Very seldom,Rural regions,female,0.1628026790314271,23673,0.1580996884295475,0.16750566963330668
2008,Very seldom,Rural regions,male,0.15713549716640907,23673,0.15249947550757598,0.16177151882524216
2008,Seldom,Urban regions,female,0.3333333333333333,23673,0.3273281929365341,0.33933847373013254
2008,Seldom,Urban regions,male,0.3305785123966942,23673,0.32458589491198064,0.3365711298814078
2008,Seldom,Rural regions,female,0.17101080737444374,23673,0.16621440471199594,0.17580721003689154
2008,Seldom,Rural regions,male,0.16507734689552872,23673,0.16034805320452283,0.1698066405865346
