year,bula_h,pgisced97,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Schleswig-Holstein,Upper Secondary Level,Very seldom,0.15068,59,327,0.11185,0.18952
2007,Schleswig-Holstein,Upper Secondary Level,Seldom,0.24215,84,327,0.19565,0.28866
2007,Schleswig-Holstein,Upper Secondary Level,Sometimes,0.41653,130,327,0.36301,0.47004
2007,Schleswig-Holstein,Upper Secondary Level,Often,0.17411,54,327,0.13295,0.21528
2007,Schleswig-Holstein,Second Stage of Tertiary Education,Sometimes,0.41513,44,44,0.26785,0.56241
2007,Hamburg,Upper Secondary Level,Sometimes,0.43884,59,59,0.31112,0.56655
2007,Hamburg,Second Stage of Tertiary Education,Sometimes,0.55071,33,33,0.37836,0.72306
2007,Lower Saxony,Lower Secondary Level,Seldom,0.24726,56,189,0.18559,0.30893
2007,Lower Saxony,Lower Secondary Level,Sometimes,0.32690,83,189,0.25985,0.39395
2007,Lower Saxony,Lower Secondary Level,Often,0.23797,50,189,0.17710,0.29885
2007,Lower Saxony,Upper Secondary Level,Very seldom,0.12638,102,964,0.10539,0.14736
2007,Lower Saxony,Upper Secondary Level,Seldom,0.22409,230,964,0.19775,0.25042
2007,Lower Saxony,Upper Secondary Level,Sometimes,0.39575,374,964,0.36486,0.42664
2007,Lower Saxony,Upper Secondary Level,Often,0.21024,212,964,0.18451,0.23598
2007,Lower Saxony,Upper Secondary Level,Very often,0.04354,46,964,0.03065,0.05643
2007,Lower Saxony,Post-secondary Non-tertiary Level,Sometimes,0.33820,45,80,0.23388,0.44253
2007,Lower Saxony,Post-secondary Non-tertiary Level,Often,0.34270,35,80,0.23804,0.44736
2007,Lower Saxony,First Stage of Tertiary Education,Sometimes,0.47735,54,54,0.34288,0.61183
2007,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.22022,75,276,0.17124,0.26919
2007,Lower Saxony,Second Stage of Tertiary Education,Sometimes,0.43723,135,276,0.37860,0.49586
2007,Lower Saxony,Second Stage of Tertiary Education,Often,0.22632,66,276,0.17686,0.27577
