"year","alter_gr","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","16-34 Jahre alt","Laendlicher Raum","666.77","663.5","561","629.39","704.15"
"1985","16-34 Jahre alt","Staedtischer Raum","751.38","766.5","2118","733.55","769.21"
"1985","35-65 Jahre alt","Laendlicher Raum","1010.91","917.5","773","950.89","1070.93"
"1985","35-65 Jahre alt","Staedtischer Raum","1082.24","1019.5","2987","1061.24","1103.24"
"1985","66 und älter","Laendlicher Raum","","","","",""
"1985","66 und älter","Staedtischer Raum","466.14","234","38","275.92","656.36"
"1986","16-34 Jahre alt","Laendlicher Raum","664.49","656","582","632.71","696.27"
"1986","16-34 Jahre alt","Staedtischer Raum","787.63","786","2085","769.12","806.14"
"1986","35-65 Jahre alt","Laendlicher Raum","1023.08","994","728","983.45","1062.71"
"1986","35-65 Jahre alt","Staedtischer Raum","1131.76","1022.5","2846","1106.45","1157.07"
"1986","66 und älter","Laendlicher Raum","","","","",""
"1986","66 und älter","Staedtischer Raum","","","","",""
"1987","16-34 Jahre alt","Laendlicher Raum","704.92","704.5","589","669.53","740.31"
"1987","16-34 Jahre alt","Staedtischer Raum","807.83","817.5","2089","788.8","826.86"
"1987","35-65 Jahre alt","Laendlicher Raum","1010.44","968.5","750","968.04","1052.84"
"1987","35-65 Jahre alt","Staedtischer Raum","1142.56","1036","2800","1119.25","1165.87"
"1987","66 und älter","Laendlicher Raum","","","","",""
"1987","66 und älter","Staedtischer Raum","","","","",""
"1988","16-34 Jahre alt","Laendlicher Raum","740.48","733","542","703.18","777.78"
"1988","16-34 Jahre alt","Staedtischer Raum","834.49","824.5","2015","814.74","854.24"
"1988","35-65 Jahre alt","Laendlicher Raum","1031.71","1021","690","987.61","1075.81"
"1988","35-65 Jahre alt","Staedtischer Raum","1187.81","1073.5","2681","1162.52","1213.1"
"1988","66 und älter","Laendlicher Raum","","","","",""
"1988","66 und älter","Staedtischer Raum","","","","",""
"1989","16-34 Jahre alt","Laendlicher Raum","814.74","795","520","775.36","854.12"
"1989","16-34 Jahre alt","Staedtischer Raum","855.82","859.5","2055","835.73","875.91"
"1989","35-65 Jahre alt","Laendlicher Raum","1095.43","1022","660","1048.44","1142.42"
"1989","35-65 Jahre alt","Staedtischer Raum","1237.04","1123.5","2586","1209.72","1264.36"
