"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 J.","741.22","720.5","2925","725.84","756.6"
"1984","35-65 J.","1045.84","970.5","4140","1027.44","1064.24"
"1984","66 und älter","541.9","301","50","349.67","734.13"
"1985","16-34 J.","731.47","737.5","2679","715.33","747.61"
"1985","35-65 J.","1065.22","980","3760","1044.48","1085.96"
"1985","66 und älter","517.03","245.5","48","355.71","678.35"
"1986","16-34 J.","756.71","766","2667","740.6","772.82"
"1986","35-65 J.","1106.56","1022.5","3574","1084.84","1128.28"
"1986","66 und älter","611.24","294","31","327.83","894.65"
"1987","16-34 J.","782.52","766.5","2678","765.72","799.32"
"1987","35-65 J.","1111.06","1022.5","3550","1090.58","1131.54"
"1987","66 und älter","719.16","207","36","425.79","1012.53"
"1988","16-34 J.","811.92","817.5","2557","794.45","829.39"
"1988","35-65 J.","1152.41","1073.5","3371","1130.32","1174.5"
"1988","66 und älter","691.09","324.5","35","444.26","937.92"
"1989","16-34 J.","846.68","843.5","2575","828.79","864.57"
"1989","35-65 J.","1205.28","1123.5","3246","1181.47","1229.09"
"1989","66 und älter","1035.99","733.5","36","638.21","1433.77"
"1990","16-34 J.","786.47","747.5","3918","771.66","801.28"
"1990","35-65 J.","1075.74","969.5","5208","1056.93","1094.55"
"1990","66 und älter","782.36","536","49","520.91","1043.81"
"1991","16-34 J.","857.17","817","3690","841.51","872.83"
"1991","35-65 J.","1148.82","1022.5","4967","1129.04","1168.6"
"1991","66 und älter","591.29","416","39","413.16","769.42"
"1992","16-34 J.","933.8","919.5","3410","917.59","950.01"
"1992","35-65 J.","1252.61","1124.5","4681","1232.59","1272.63"
"1992","66 und älter","","","","",""
"1993","16-34 J.","1005.37","996","3342","986.88","1023.86"
"1993","35-65 J.","1368.79","1226","4517","1344.57","1393.01"
"1993","66 und älter","","","","",""
"1994","16-34 J.","1042.17","1022.5","3184","1023.49","1060.85"
"1994","35-65 J.","1397.05","1271.5","4347","1373.09","1421.01"
"1994","66 und älter","","","","",""
"1995","16-34 J.","1052.97","1022.5","3282","1030.4","1075.54"
"1995","35-65 J.","1423.92","1277.5","4539","1396.82","1451.02"
"1995","66 und älter","704.67","292","32","437.96","971.38"
"1996","16-34 J.","1104.32","1073","3121","1081.87","1126.77"
"1996","35-65 J.","1449.84","1275.5","4471","1425.87","1473.81"
"1996","66 und älter","742.94","434.5","38","524.18","961.7"
"1997","16-34 J.","1084.98","1057.5","3007","1064.41","1105.55"
"1997","35-65 J.","1469.64","1328.5","4353","1444.35","1494.93"
"1997","66 und älter","836.57","716","37","617.6","1055.54"
"1998","16-34 J.","1077.56","1047","3142","1056.54","1098.58"
"1998","35-65 J.","1462.89","1328","4946","1439.9","1485.88"
"1998","66 und älter","665.25","389.5","41","463.48","867.02"
"1999","16-34 J.","1057.04","1022.5","3101","1035.85","1078.23"
"1999","35-65 J.","1483.38","1327.5","4912","1459.18","1507.58"
"1999","66 und älter","729.46","434.5","45","515.07","943.85"
"2000","16-34 J.","1085.42","1073.5","4668","1066.47","1104.37"
"2000","35-65 J.","1492.97","1354.5","9024","1473.17","1512.77"
"2000","66 und älter","1064.01","426.5","91","800.77","1327.25"
"2001","16-34 J.","1086.41","1071.5","4103","1066.13","1106.69"
"2001","35-65 J.","1518.47","1379.5","8380","1497.85","1539.09"
"2001","66 und älter","1045.28","475","91","790.59","1299.97"
"2002","16-34 J.","1089.75","1087.5","3916","1066.14","1113.36"
"2002","35-65 J.","1576.22","1399.5","9399","1541.27","1611.17"
"2002","66 und älter","1077.62","375","140","784.68","1370.56"
"2003","16-34 J.","1090.83","1078.5","3650","1065.6","1116.06"
"2003","35-65 J.","1601.58","1449","8924","1570.35","1632.81"
"2003","66 und älter","986.87","505.5","177","751.32","1222.42"
"2004","16-34 J.","1090.2","1049","3433","1066.78","1113.62"
"2004","35-65 J.","1618.15","1459.5","8732","1587.18","1649.12"
"2004","66 und älter","1055.38","499","201","777.66","1333.1"
"2005","16-34 J.","1100.77","1049.5","3182","1076.02","1125.52"
"2005","35-65 J.","1625.81","1499.5","8372","1596.03","1655.59"
"2005","66 und älter","1062.78","475","163","761.62","1363.94"
"2006","16-34 J.","1078.96","1000.5","3166","1053.85","1104.07"
"2006","35-65 J.","1648.01","1499.5","8986","1614.61","1681.41"
"2006","66 und älter","1199.9","397.5","210","391.62","2008.18"
"2007","16-34 J.","1099.02","1047.5","3011","1073.08","1124.96"
"2007","35-65 J.","1666.3","1499","8554","1636.41","1696.19"
"2007","66 und älter","946.1","399.5","215","728.64","1163.56"
"2008","16-34 J.","1106.47","1099.5","2849","1080.2","1132.74"
"2008","35-65 J.","1677.85","1495.5","8113","1647.95","1707.75"
"2008","66 und älter","1052.01","399.5","200","735.25","1368.77"
"2009","16-34 J.","1119.68","1098","2606","1091.91","1147.45"
"2009","35-65 J.","1714.72","1548","7565","1683.06","1746.38"
"2009","66 und älter","1098.89","398","232","865.52","1332.26"
"2010","16-34 J.","1205.38","1099","3754","1177.59","1233.17"
"2010","35-65 J.","1747.09","1599.5","10122","1717.43","1776.75"
"2010","66 und älter","1048.03","410","211","799.73","1296.33"
"2011","16-34 J.","1247.17","1199.5","4171","1221.25","1273.09"
"2011","35-65 J.","1782.69","1599.5","12606","1756.71","1808.67"
"2011","66 und älter","951.4","399","227","737.42","1165.38"
"2012","16-34 J.","1249.77","1199","3970","1222.63","1276.91"
