"year","age_gr","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","17-34","(Fach-)Abitur","697.33","658.5","267","205","307","903","1176","2812","637.21","757.45","0","5113","590","741"
"1984","17-34","(noch) kein Abschluss","605.13","604.5","175","153","351","818","1023","1329","558.33","651.93","31","2301","665","767"
"1984","17-34","AkademikerIn","1141.96","1092","199","537","767","1432","1790","2812","1067.15","1216.77","0","3835","1023","1176"
"1984","17-34","Hauptschule","715.13","715","1576","219","435","920","1150","1790","697.19","733.07","0","2812","711","741"
"1984","17-34","Realschule","704.34","700.5","695","216","346","920","1176","2045","671.02","737.66","12","5113","665","716"
"1984","35-65","(Fach-)Abitur","1276.7","1273","190","588","920","1687","2045","2556","1202.68","1350.72","51","2801","1014","1125"
"1984","35-65","(noch) kein Abschluss","807.02","815.5","479","409","664","971","1074","1534","778.85","835.19","0","4090","767","869"
"1984","35-65","AkademikerIn","1689.8","1674.5","413","818","1234","2048","2582","4090","1615.51","1764.09","0","5157","1569","1738"
"1984","35-65","Hauptschule","912.45","919.5","2545","291","613","1125","1432","2454","892.03","932.87","0","10737","902","920"
"1984","35-65","Realschule","1105.55","1019.5","474","330","665","1406","1866","3068","1042.3","1168.8","0","6135","1023","1106"
"1984","66 +","(Fach-)Abitur","","","","","","","","","","","","","",""
"1984","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1984","66 +","AkademikerIn","","","","","","","","","","","","","",""
"1984","66 +","Hauptschule","","","","","","","","","","","","","",""
"1984","66 +","Realschule","","","","","","","","","","","","","",""
"1985","17-34","(Fach-)Abitur","633.1","608.5","269","179","256","895","1094","2045","583.1","683.1","0","2556","562","767"
"1985","17-34","(noch) kein Abschluss","534.2","575","121","61","192","767","920","1790","473.28","595.12","31","2045","665","767"
"1985","17-34","AkademikerIn","1119.53","1087.5","188","521","716","1380","1738","4090","1036.27","1202.79","102","4090","946","1125"
"1985","17-34","Hauptschule","718.95","740.5","1388","230","486","920","1125","1628","699.3","738.6","0","6647","716","767"
"1985","17-34","Realschule","702.81","713.5","673","220","332","920","1166","2045","669.58","736.04","0","5113","665","741"
"1985","35-65","(Fach-)Abitur","1276.48","1212","159","511","890","1636","2044","2888","1183.66","1369.3","92","4602","1023","1176"
"1985","35-65","(noch) kein Abschluss","824.78","815","394","460","695","971","1125","1577","796.69","852.87","84","2555","818","869"
"1985","35-65","AkademikerIn","1701.48","1731","398","758","1227","2147","2566","3606","1627.66","1775.3","63","5113","1636","1790"
"1985","35-65","Hauptschule","910.45","919.5","2309","256","578","1127","1483","2352","890.96","929.94","0","6647","902","920"
"1985","35-65","Realschule","1191.59","1092.5","462","409","711","1534","1968","3579","1097.35","1285.83","0","17895","1023","1176"
"1985","66 +","(Fach-)Abitur","","","","","","","","","","","","","",""
"1985","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1985","66 +","AkademikerIn","","","","","","","","","","","","","",""
"1985","66 +","Hauptschule","","","","","","","","","","","","","",""
"1985","66 +","Realschule","","","","","","","","","","","","","",""
"1986","17-34","(Fach-)Abitur","672.03","652","287","215","281","941","1227","1692","626.76","717.3","15","2352","614","767"
"1986","17-34","(noch) kein Abschluss","608.17","610","118","61","383","869","1023","1529","542.85","673.49","0","2045","614","767"
