"year","bildungsniveau","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1985","(Fach-)Abitur","Ländlicher Raum","875.68","690.5","63","183","245","1227","1943","2556","723.69","1027.67","102","2556","654","1023"
"1985","(Fach-)Abitur","Städtischer Raum","831.01","814","373","202","329","1094","1534","2556","776.78","885.24","0","4602","767","869"
"1985","(noch) kein Abschluss","Ländlicher Raum","650.13","704","55","102","245","869","1023","1790","541.13","759.13","102","2555","716","889"
"1985","(noch) kein Abschluss","Städtischer Raum","722.54","754","460","169","562","920","1074","1577","695.94","749.14","31","2045","767","818"
"1985","AkademikerIn","Ländlicher Raum","1493.79","1527.5","90","614","1063","1892","2301","2812","1362.21","1625.37","77","2812","1380","1636"
"1985","AkademikerIn","Städtischer Raum","1518.77","1426.5","501","614","971","1994","2533","3868","1450.82","1586.72","63","5113","1380","1534"
"1985","Hauptschule","Ländlicher Raum","799.66","765","862","218","460","1023","1329","2103","766.7","832.62","0","6647","767","818"
"1985","Hauptschule","Städtischer Raum","851.62","867","2863","250","542","1074","1380","2096","835.56","867.68","0","6647","835","869"
"1985","Realschule","Ländlicher Raum","883.8","754","263","199","332","1099","1483","2458","736.05","1031.55","92","17895","689","818"
"1985","Realschule","Städtischer Raum","912.58","841.5","879","247","511","1176","1603","2556","873.82","951.34","0","5113","799","869"
"1986","(Fach-)Abitur","Ländlicher Raum","788.49","677.5","68","205","251","1074","1585","2147","661.81","915.17","15","2147","614","920"
"1986","(Fach-)Abitur","Städtischer Raum","881.55","831","373","231","353","1227","1585","2812","828.58","934.52","59","4193","801","910"
"1986","(noch) kein Abschluss","Ländlicher Raum","667.67","754","57","117","460","920","1023","1529","582.47","752.87","38","1534","741","920"
"1986","(noch) kein Abschluss","Städtischer Raum","764.23","756.5","423","281","546","971","1137","1611","733.32","795.14","0","2556","767","869"
"1986","AkademikerIn","Ländlicher Raum","1613","1611","96","886","1202","1994","2301","3068","1484.64","1741.36","72","3579","1534","1779"
"1986","AkademikerIn","Städtischer Raum","1629.86","1533.5","489","685","1074","2083","2556","3672","1558.55","1701.17","0","5624","1432","1585"
"1986","Hauptschule","Ländlicher Raum","797.31","790.5","821","207","486","1048","1377","1960","767.44","827.18","0","2601","767","869"
"1986","Hauptschule","Städtischer Raum","889.69","892.5","2744","281","562","1105","1406","2301","869.75","909.63","0","16361","869","895"
"1986","Realschule","Ländlicher Raum","831.29","806","261","218","358","1125","1534","2301","767.71","894.87","51","3068","705","869"
"1986","Realschule","Städtischer Raum","942.43","868.5","854","251","537","1176","1636","3131","899.2","985.66","0","7669","818","910"
"1987","(Fach-)Abitur","Ländlicher Raum","804.01","687.5","60","202","286","1125","1687","2454","657.54","950.48","36","2454","614","953"
"1987","(Fach-)Abitur","Städtischer Raum","892.62","861","381","215","407","1143","1671","2556","838.57","946.67","36","4346","796","920"
"1987","(noch) kein Abschluss","Ländlicher Raum","687.65","789.5","60","117","205","971","1176","1329","518.21","857.09","51","5113","665","920"
"1987","(noch) kein Abschluss","Städtischer Raum","779.22","787","409","256","562","1023","1227","1585","746.28","812.16","21","2556","767","869"
"1987","AkademikerIn","Ländlicher Raum","1666.52","1672","95","716","1278","2045","2454","3579","1508.99","1824.05","70","5113","1534","1851"
"1987","AkademikerIn","Städtischer Raum","1637.98","1578","486","665","1048","2147","2569","4090","1563.77","1712.19","43","6033","1432","1636"
"1987","Hauptschule","Ländlicher Raum","805","817","843","219","460","1059","1329","2334","775.08","834.92","0","2863","767","851"
"1987","Hauptschule","Städtischer Raum","912.02","919","2689","286","614","1145","1432","2556","895.17","928.87","46","4090","895","920"
"1987","Realschule","Ländlicher Raum","865.52","779.5","273","262","394","1176","1585","2352","802.49","928.55","61","2816","716","818"
"1987","Realschule","Städtischer Raum","951.52","894.5","867","256","511","1227","1675","2965","908.73","994.31","0","7449","818","915"
"1988","(Fach-)Abitur","Ländlicher Raum","859.72","636.5","52","234","299","1278","1790","2669","677.25","1042.19","0","2669","501","1023"
"1988","(Fach-)Abitur","Städtischer Raum","922.35","866.5","362","240","435","1176","1687","2761","860.32","984.38","0","5624","818","961"
"1988","(noch) kein Abschluss","Ländlicher Raum","871.62","903.5","53","537","792","1023","1074","1278","778.05","965.19","199","1890","818","971"
"1988","(noch) kein Abschluss","Städtischer Raum","810.93","866.5","360","269","614","1023","1227","1534","774.82","847.04","0","3068","818","902"
"1988","AkademikerIn","Ländlicher Raum","1627.59","1615.5","90","716","1145","2045","2556","3319","1472.68","1782.5","0","3579","1508","1800"
