"year","alter_gr","bula_h","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","Baden-Wuerttemberg","733.58","741","580","703.29","763.87"
"1984","16-34 Jahre alt","Bayern","697.36","690.64","519","664.67","730.05"
"1984","16-34 Jahre alt","Berlin","","","","",""
"1984","16-34 Jahre alt","Brandenburg","","","","",""
"1984","16-34 Jahre alt","Bremen","","","","",""
"1984","16-34 Jahre alt","Hamburg","768.87","737.39","73","673.65","864.09"
"1984","16-34 Jahre alt","Hessen","756.14","742.51","330","709.97","802.31"
"1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","","",""
"1984","16-34 Jahre alt","Niedersachsen","","","","",""
"1984","16-34 Jahre alt","Nordrhein-Westfalen","775.23","767","754","744.21","806.25"
"1984","16-34 Jahre alt","Rheinland-Pfalz","","","","",""
"1984","16-34 Jahre alt","Saarland","","","","",""
"1984","16-34 Jahre alt","Sachsen","","","","",""
"1984","16-34 Jahre alt","Sachsen-Anhalt","","","","",""
"1984","16-34 Jahre alt","Schleswig-Holstein","768.96","701.43","87","673.85","864.07"
"1984","16-34 Jahre alt","Thueringen","","","","",""
"1984","35-65 Jahre alt","Baden-Wuerttemberg","1006.08","950.17","860","959.5","1052.66"
"1984","35-65 Jahre alt","Bayern","1005.2","920","747","965.12","1045.28"
"1984","35-65 Jahre alt","Berlin","","","","",""
"1984","35-65 Jahre alt","Brandenburg","","","","",""
"1984","35-65 Jahre alt","Bremen","828.49","818","35","676.58","980.4"
"1984","35-65 Jahre alt","Hamburg","","","","",""
"1984","35-65 Jahre alt","Hessen","1014.77","921.77","420","965.58","1063.96"
"1984","35-65 Jahre alt","Mecklenburg-Vorpommern","","","","",""
"1984","35-65 Jahre alt","Niedersachsen","1050.91","971","406","990.32","1111.5"
"1984","35-65 Jahre alt","Nordrhein-Westfalen","","","","",""
"1984","35-65 Jahre alt","Rheinland-Pfalz","","","","",""
"1984","35-65 Jahre alt","Saarland","","","","",""
"1984","35-65 Jahre alt","Sachsen","","","","",""
"1984","35-65 Jahre alt","Sachsen-Anhalt","","","","",""
"1984","35-65 Jahre alt","Schleswig-Holstein","","","","",""
"1984","35-65 Jahre alt","Thueringen","","","","",""
"1984","66 und Ã¤lter","Baden-Wuerttemberg","","","","",""
"1984","66 und Ã¤lter","Bayern","","","","",""
"1984","66 und Ã¤lter","Berlin","","","","",""
"1984","66 und Ã¤lter","Brandenburg","","","","",""
"1984","66 und Ã¤lter","Bremen","","","","",""
"1984","66 und Ã¤lter","Hamburg","","","","",""
"1984","66 und Ã¤lter","Hessen","","","","",""
"1984","66 und Ã¤lter","Mecklenburg-Vorpommern","","","","",""
"1984","66 und Ã¤lter","Niedersachsen","","","","",""
"1984","66 und Ã¤lter","Nordrhein-Westfalen","","","","",""
"1984","66 und Ã¤lter","Rheinland-Pfalz","","","","",""
"1984","66 und Ã¤lter","Saarland","","","","",""
"1984","66 und Ã¤lter","Sachsen","","","","",""
"1984","66 und Ã¤lter","Sachsen-Anhalt","","","","",""
"1984","66 und Ã¤lter","Schleswig-Holstein","525.64","224.94","4","-1034.89","2086.17"
"1984","66 und Ã¤lter","Thueringen","","","","",""
"1985","16-34 Jahre alt","Baden-Wuerttemberg","728.3","767","537","695.82","760.78"
"1985","16-34 Jahre alt","Bayern","705.8","704.22","495","664.94","746.66"
"1985","16-34 Jahre alt","Berlin","832.83","818","87","736.15","929.51"
"1985","16-34 Jahre alt","Brandenburg","","","","",""
"1985","16-34 Jahre alt","Bremen","","","","",""
"1985","16-34 Jahre alt","Hamburg","796.02","767","60","677.82","914.22"
"1985","16-34 Jahre alt","Hessen","","","","",""
"1985","16-34 Jahre alt","Mecklenburg-Vorpommern","","","","",""
"1985","16-34 Jahre alt","Niedersachsen","","","","",""
"1985","16-34 Jahre alt","Nordrhein-Westfalen","753.64","767","711","721.62","785.66"
"1985","16-34 Jahre alt","Rheinland-Pfalz","","","","",""
"1985","16-34 Jahre alt","Saarland","","","","",""
"1985","16-34 Jahre alt","Sachsen","","","","",""
"1985","16-34 Jahre alt","Sachsen-Anhalt","","","","",""
"1985","16-34 Jahre alt","Schleswig-Holstein","676.64","683.07","79","584.31","768.97"
"1985","16-34 Jahre alt","Thueringen","","","","",""
"1985","35-65 Jahre alt","Baden-Wuerttemberg","995.09","971","775","957.93","1032.25"
"1985","35-65 Jahre alt","Bayern","1033.97","971","682","992.41","1075.53"
"1985","35-65 Jahre alt","Berlin","","","","",""
"1985","35-65 Jahre alt","Brandenburg","","","","",""
"1985","35-65 Jahre alt","Bremen","","","","",""
"1985","35-65 Jahre alt","Hamburg","","","","",""
"1985","35-65 Jahre alt","Hessen","1043.93","949.16","387","987.46","1100.4"
"1985","35-65 Jahre alt","Mecklenburg-Vorpommern","","","","",""
"1985","35-65 Jahre alt","Niedersachsen","1124.53","971","366","1008.18","1240.88"
"1985","35-65 Jahre alt","Nordrhein-Westfalen","1117.71","1023","969","1078.2","1157.22"
"1985","35-65 Jahre alt","Rheinland-Pfalz","","","","",""
"1985","35-65 Jahre alt","Saarland","","","","",""
"1985","35-65 Jahre alt","Sachsen","","","","",""
"1985","35-65 Jahre alt","Sachsen-Anhalt","","","","",""
"1985","35-65 Jahre alt","Schleswig-Holstein","","","","",""
"1985","35-65 Jahre alt","Thueringen","","","","",""
"1985","66 und Ã¤lter","Baden-Wuerttemberg","","","","",""
