year,bula_h,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Schleswig-Holstein,No,0.92724,145,145,0.88481,0.96966
1991,Hamburg,No,0.88934,89,89,0.82380,0.95489
1991,Lower Saxony,No,0.90701,428,428,0.87946,0.93455
1991,Bremen,No,0.89248,51,51,0.80661,0.97834
1991,North Rhine-Westphalia,"Yes, Regularly",0.09483,87,1232,0.07846,0.11120
1991,North Rhine-Westphalia,"Yes, Occasionally",0.03907,32,1232,0.02825,0.04989
1991,North Rhine-Westphalia,No,0.86610,1113,1232,0.84708,0.88512
1991,Hesse,No,0.89428,428,428,0.86511,0.92344
1991,"Rhineland-Palatinate, Saarland",No,0.88769,296,296,0.85166,0.92372
1991,Baden-Wuerttemberg,No,0.91921,785,785,0.90013,0.93828
1991,Bavaria,"Yes, Regularly",0.05656,35,793,0.04047,0.07265
1991,Bavaria,"Yes, Occasionally",0.06400,37,793,0.04696,0.08105
1991,Bavaria,No,0.87944,721,793,0.85676,0.90211
1991,Berlin,No,0.85443,287,287,0.81355,0.89530
1991,Brandenburg,No,0.96426,314,314,0.94370,0.98483
1991,Mecklenburg-Western Pomerania,No,0.97352,214,214,0.95196,0.99508
1991,Saxony,No,0.95661,581,581,0.94002,0.97319
1991,Saxony-Anhalt,No,0.95857,362,362,0.93802,0.97913
1991,Thuringa,No,0.97279,326,326,0.95510,0.99048
1994,Schleswig-Holstein,No,0.90350,139,139,0.85424,0.95277
1994,Hamburg,No,0.97858,85,85,0.94762,1.00954
1994,Lower Saxony,No,0.87658,450,450,0.84616,0.90701
1994,Bremen,No,0.94534,47,47,0.87965,1.01103
1994,North Rhine-Westphalia,"Yes, Regularly",0.11766,96,1198,0.09941,0.13592
1994,North Rhine-Westphalia,"Yes, Occasionally",0.04226,37,1198,0.03086,0.05366
1994,North Rhine-Westphalia,No,0.84008,1065,1198,0.81931,0.86084
1994,Hesse,No,0.86888,404,404,0.83593,0.90184
1994,"Rhineland-Palatinate, Saarland",No,0.88581,291,291,0.84921,0.92242
1994,Baden-Wuerttemberg,"Yes, Regularly",0.06523,32,786,0.04796,0.08250
1994,Baden-Wuerttemberg,No,0.89207,754,786,0.87037,0.91378
1994,Bavaria,"Yes, Regularly",0.05349,34,816,0.03804,0.06893
1994,Bavaria,"Yes, Occasionally",0.05705,34,816,0.04113,0.07297
1994,Bavaria,No,0.88947,748,816,0.86794,0.91099
1994,Berlin,No,0.86213,277,277,0.82146,0.90281
1994,Brandenburg,No,0.97042,292,292,0.95096,0.98989
1994,Mecklenburg-Western Pomerania,No,0.98111,193,193,0.96185,1.00036
1994,Saxony,No,0.97054,537,537,0.95623,0.98486
1994,Saxony-Anhalt,No,0.97547,331,331,0.95878,0.99216
1994,Thuringa,No,0.96320,319,319,0.94251,0.98390
1999,Schleswig-Holstein,No,0.94315,164,164,0.90760,0.97870
1999,Hamburg,No,0.84754,76,76,0.76619,0.92890
1999,Lower Saxony,No,0.91248,558,558,0.88901,0.93595
1999,Bremen,No,0.91900,48,48,0.84100,0.99700
1999,North Rhine-Westphalia,"Yes, Regularly",0.11639,108,1403,0.09960,0.13317
1999,North Rhine-Westphalia,"Yes, Occasionally",0.05391,50,1403,0.04209,0.06573
1999,North Rhine-Westphalia,No,0.82971,1245,1403,0.81003,0.84938
1999,Hesse,No,0.87552,419,419,0.84388,0.90717
1999,"Rhineland-Palatinate, Saarland",No,0.89227,363,363,0.86033,0.92421
1999,Baden-Wuerttemberg,"Yes, Regularly",0.05954,33,864,0.04375,0.07533
1999,Baden-Wuerttemberg,No,0.90213,831,864,0.88231,0.92196
1999,Bavaria,"Yes, Regularly",0.06287,40,935,0.04731,0.07844
