year,quintil_oecd_hh,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,1st Quintile,No,0.95827,1995,1995,0.94950,0.96705
1991,2nd Quintile,No,0.93141,1081,1081,0.91634,0.94649
1991,3rd Quintile,No,0.94482,1121,1121,0.93144,0.95819
1991,4th Quintile,"Yes, Regularly",0.06370,48,1169,0.04969,0.07771
1991,4th Quintile,"Yes, Occasionally",0.04509,34,1169,0.03319,0.05699
1991,4th Quintile,No,0.89121,1087,1169,0.87335,0.90907
1991,5th Quintile,"Yes, Regularly",0.14353,135,1058,0.12239,0.16467
1991,5th Quintile,"Yes, Occasionally",0.07728,67,1058,0.06118,0.09338
1991,5th Quintile,No,0.77919,856,1058,0.75419,0.80420
1994,1st Quintile,No,0.93617,1265,1265,0.92270,0.94965
1994,2nd Quintile,No,0.93284,1336,1336,0.91942,0.94627
1994,3rd Quintile,"Yes, Regularly",0.05594,39,1316,0.04352,0.06836
1994,3rd Quintile,No,0.91963,1277,1316,0.90493,0.93432
1994,4th Quintile,"Yes, Regularly",0.04254,36,1211,0.03117,0.05392
1994,4th Quintile,"Yes, Occasionally",0.05124,38,1211,0.03881,0.06366
1994,4th Quintile,No,0.90622,1137,1211,0.88979,0.92264
1994,5th Quintile,"Yes, Regularly",0.15715,134,1115,0.13577,0.17852
1994,5th Quintile,"Yes, Occasionally",0.07692,69,1115,0.06127,0.09257
1994,5th Quintile,No,0.76594,912,1115,0.74107,0.79080
1999,1st Quintile,No,0.94937,1448,1448,0.93807,0.96066
1999,2nd Quintile,"Yes, Regularly",0.04588,33,1491,0.03525,0.05650
1999,2nd Quintile,No,0.93119,1458,1491,0.91834,0.94405
1999,3rd Quintile,No,0.93776,1433,1433,0.92525,0.95027
1999,4th Quintile,"Yes, Regularly",0.06563,59,1376,0.05254,0.07872
1999,4th Quintile,"Yes, Occasionally",0.03832,43,1376,0.02817,0.04847
1999,4th Quintile,No,0.89605,1274,1376,0.87992,0.91218
1999,5th Quintile,"Yes, Regularly",0.16996,166,1231,0.14897,0.19095
1999,5th Quintile,"Yes, Occasionally",0.07563,75,1231,0.06085,0.09040
1999,5th Quintile,No,0.75441,990,1231,0.73036,0.77847
2000,1st Quintile,"Yes, Regularly",0.03000,55,2495,0.02331,0.03670
2000,1st Quintile,No,0.95434,2440,2495,0.94615,0.96253
2000,2nd Quintile,"Yes, Regularly",0.03265,57,2685,0.02592,0.03937
2000,2nd Quintile,"Yes, Occasionally",0.02146,38,2685,0.01598,0.02694
2000,2nd Quintile,No,0.94589,2590,2685,0.93733,0.95445
2000,3rd Quintile,"Yes, Regularly",0.03403,67,2628,0.02709,0.04096
2000,3rd Quintile,"Yes, Occasionally",0.02669,50,2628,0.02053,0.03285
2000,3rd Quintile,No,0.93928,2511,2628,0.93015,0.94842
2000,4th Quintile,"Yes, Regularly",0.04920,109,2583,0.04085,0.05754
