year,rentown,sampreg,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Owner,West,"Yes, Regularly",0.08678,137,1727,0.07350,0.10006
1991,Owner,West,"Yes, Occasionally",0.05540,76,1727,0.04461,0.06619
1991,Owner,West,No,0.85782,1514,1727,0.84134,0.87429
1991,Owner,East,No,0.97597,576,576,0.96345,0.98849
1991,Tenant,West,"Yes, Regularly",0.05387,89,2847,0.04558,0.06217
1991,Tenant,West,"Yes, Occasionally",0.03991,68,2847,0.03272,0.04710
1991,Tenant,West,No,0.90622,2690,2847,0.89550,0.91693
1991,Tenant,East,No,0.95725,1359,1359,0.94649,0.96801
1994,Owner,West,"Yes, Regularly",0.10253,144,1721,0.08819,0.11686
1994,Owner,West,"Yes, Occasionally",0.06550,90,1721,0.05381,0.07720
1994,Owner,West,No,0.83197,1487,1721,0.81430,0.84964
1994,Owner,East,No,0.98312,550,550,0.97234,0.99390
1994,Tenant,West,"Yes, Regularly",0.05552,92,2790,0.04702,0.06402
1994,Tenant,West,"Yes, Occasionally",0.04043,64,2790,0.03312,0.04774
1994,Tenant,West,No,0.90405,2634,2790,0.89312,0.91498
1994,Tenant,East,No,0.96904,1260,1260,0.95947,0.97861
1999,Owner,West,"Yes, Regularly",0.10984,175,2160,0.09665,0.12303
1999,Owner,West,"Yes, Occasionally",0.05905,101,2160,0.04910,0.06899
1999,Owner,West,No,0.83112,1884,2160,0.81531,0.84692
1999,Owner,East,No,0.96414,663,663,0.94998,0.97831
1999,Tenant,West,"Yes, Regularly",0.05369,106,3011,0.04564,0.06174
1999,Tenant,West,"Yes, Occasionally",0.03417,68,3011,0.02768,0.04066
1999,Tenant,West,No,0.91214,2837,3011,0.90203,0.92226
1999,Tenant,East,No,0.97048,1219,1219,0.96097,0.97998
2000,Owner,West,"Yes, Regularly",0.10365,395,4616,0.09486,0.11245
2000,Owner,West,"Yes, Occasionally",0.04956,196,4616,0.04330,0.05582
2000,Owner,West,No,0.84679,4025,4616,0.83639,0.85718
2000,Owner,East,No,0.97303,1133,1133,0.96359,0.98247
2000,Tenant,West,"Yes, Regularly",0.04501,187,5150,0.03934,0.05067
2000,Tenant,West,"Yes, Occasionally",0.02637,108,5150,0.02199,0.03074
2000,Tenant,West,No,0.92863,4855,5150,0.92159,0.93566
2000,Tenant,East,No,0.96638,1863,1863,0.95820,0.97457
2001,Owner,West,"Yes, Regularly",0.11823,407,4149,0.10840,0.12805
2001,Owner,West,"Yes, Occasionally",0.05404,194,4149,0.04716,0.06092
2001,Owner,West,No,0.82774,3548,4149,0.81624,0.83923
2001,Owner,East,No,0.97113,1078,1078,0.96113,0.98113
2001,Tenant,West,"Yes, Regularly",0.04915,179,4659,0.04294,0.05536
2001,Tenant,West,"Yes, Occasionally",0.03456,123,4659,0.02931,0.03980
2001,Tenant,West,No,0.91629,4357,4659,0.90834,0.92424
2001,Tenant,East,"Yes, Regularly",0.02951,34,1708,0.02148,0.03754
2001,Tenant,East,No,0.95261,1674,1708,0.94253,0.96269
2002,Owner,West,"Yes, Regularly",0.08982,532,4718,0.08166,0.09798
2002,Owner,West,"Yes, Occasionally",0.04618,232,4718,0.04020,0.05217
2002,Owner,West,No,0.86400,3954,4718,0.85421,0.87378
2002,Owner,East,No,0.96631,1064,1064,0.95546,0.97716
2002,Tenant,West,"Yes, Regularly",0.04973,230,4615,0.04345,0.05600
2002,Tenant,West,"Yes, Occasionally",0.03204,121,4615,0.02696,0.03712
2002,Tenant,West,No,0.91823,4264,4615,0.91033,0.92614
2002,Tenant,East,No,0.96173,1681,1681,0.95256,0.97091
2003,Owner,West,"Yes, Regularly",0.10243,550,4531,0.09360,0.11126
2003,Owner,West,"Yes, Occasionally",0.05172,232,4531,0.04528,0.05817
2003,Owner,West,No,0.84585,3749,4531,0.83533,0.85636
2003,Owner,East,No,0.96357,1057,1057,0.95227,0.97487
2003,Tenant,West,"Yes, Regularly",0.05318,215,4425,0.04656,0.05979
2003,Tenant,West,"Yes, Occasionally",0.02852,113,4425,0.02362,0.03343
2003,Tenant,West,No,0.91830,4097,4425,0.91023,0.92637
2003,Tenant,East,No,0.95352,1632,1632,0.94331,0.96374
2004,Owner,West,"Yes, Regularly",0.07786,425,4443,0.06998,0.08574
2004,Owner,West,"Yes, Occasionally",0.05648,246,4443,0.04970,0.06327
2004,Owner,West,No,0.86565,3772,4443,0.85562,0.87568
2004,Owner,East,No,0.98061,1076,1076,0.97236,0.98885
2004,Tenant,West,"Yes, Regularly",0.04290,164,4309,0.03685,0.04895
2004,Tenant,West,"Yes, Occasionally",0.03170,112,4309,0.02647,0.03694
2004,Tenant,West,No,0.92540,4033,4309,0.91755,0.93324
2004,Tenant,East,No,0.96805,1610,1610,0.95945,0.97664
2005,Owner,West,"Yes, Regularly",0.09440,495,4268,0.08562,0.10317
2005,Owner,West,"Yes, Occasionally",0.05644,240,4268,0.04952,0.06337
2005,Owner,West,No,0.84916,3533,4268,0.83842,0.85990
2005,Owner,East,No,0.97462,1060,1060,0.96515,0.98410
2005,Tenant,West,"Yes, Regularly",0.05686,213,4216,0.04987,0.06386
2005,Tenant,West,"Yes, Occasionally",0.03424,118,4216,0.02875,0.03973
2005,Tenant,West,No,0.90890,3885,4216,0.90021,0.91759
2005,Tenant,East,No,0.96033,1531,1531,0.95055,0.97011
2006,Owner,West,"Yes, Regularly",0.08909,500,4775,0.08101,0.09718
2006,Owner,West,"Yes, Occasionally",0.06052,295,4775,0.05375,0.06728
2006,Owner,West,No,0.85039,3980,4775,0.84027,0.86051
2006,Owner,East,No,0.97046,1162,1162,0.96072,0.98020
2006,Tenant,West,"Yes, Regularly",0.05548,229,4532,0.04881,0.06215
2006,Tenant,West,"Yes, Occasionally",0.03160,109,4532,0.02650,0.03669
2006,Tenant,West,No,0.91292,4194,4532,0.90471,0.92113
2006,Tenant,East,"Yes, Regularly",0.02434,32,1696,0.01701,0.03168
2006,Tenant,East,No,0.96114,1664,1696,0.95194,0.97034
2007,Owner,West,"Yes, Regularly",0.10264,515,4455,0.09373,0.11155
2007,Owner,West,"Yes, Occasionally",0.05403,259,4455,0.04739,0.06067
