year,sampreg,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,West,"Yes, Regularly",0.06719,226,4575,0.05993,0.07445
1991,West,"Yes, Occasionally",0.04618,144,4575,0.04010,0.05226
1991,West,No,0.88663,4205,4575,0.87744,0.89582
1991,East,No,0.96219,1935,1935,0.95369,0.97069
1994,West,"Yes, Regularly",0.07592,237,4513,0.06820,0.08365
1994,West,"Yes, Occasionally",0.05097,154,4513,0.04455,0.05738
1994,West,No,0.87311,4122,4513,0.86340,0.88282
1994,East,No,0.97284,1810,1810,0.96535,0.98033
1999,West,"Yes, Regularly",0.07816,281,5171,0.07084,0.08548
1999,West,"Yes, Occasionally",0.04501,169,5171,0.03936,0.05066
1999,West,No,0.87683,4721,5171,0.86787,0.88579
1999,East,No,0.96848,1882,1882,0.96059,0.97638
2000,West,"Yes, Regularly",0.07073,582,9766,0.06565,0.07582
2000,West,"Yes, Occasionally",0.03654,304,9766,0.03282,0.04026
2000,West,No,0.89272,8880,9766,0.88659,0.89886
2000,East,"Yes, Regularly",0.01938,42,3038,0.01448,0.02429
2000,East,No,0.96854,2996,3038,0.96233,0.97475
2001,West,"Yes, Regularly",0.07966,586,8808,0.07401,0.08532
2001,West,"Yes, Occasionally",0.04316,317,8808,0.03892,0.04740
2001,West,No,0.87718,7905,8808,0.87032,0.88403
2001,East,"Yes, Regularly",0.02423,45,2835,0.01857,0.02990
2001,East,"Yes, Occasionally",0.01699,38,2835,0.01224,0.02175
2001,East,No,0.95877,2752,2835,0.95145,0.96609
2002,West,"Yes, Regularly",0.06774,762,9333,0.06264,0.07284
2002,West,"Yes, Occasionally",0.03839,353,9333,0.03450,0.04229
2002,West,No,0.89387,8218,9333,0.88762,0.90012
2002,East,"Yes, Regularly",0.02135,51,2834,0.01602,0.02667
2002,East,"Yes, Occasionally",0.01545,38,2834,0.01091,0.01999
2002,East,No,0.96321,2745,2834,0.95627,0.97014
2003,West,"Yes, Regularly",0.07511,765,8956,0.06965,0.08057
2003,West,"Yes, Occasionally",0.03886,345,8956,0.03485,0.04286
2003,West,No,0.88604,7846,8956,0.87946,0.89262
2003,East,"Yes, Regularly",0.02088,60,2797,0.01558,0.02618
2003,East,"Yes, Occasionally",0.02233,48,2797,0.01685,0.02780
2003,East,No,0.95679,2689,2797,0.94925,0.96433
2004,West,"Yes, Regularly",0.05844,589,8752,0.05352,0.06335
2004,West,"Yes, Occasionally",0.04272,358,8752,0.03848,0.04695
2004,West,No,0.89885,7805,8752,0.89253,0.90516
2004,East,"Yes, Regularly",0.01612,40,2726,0.01139,0.02084
2004,East,No,0.97207,2686,2726,0.96588,0.97825
2005,West,"Yes, Regularly",0.07338,708,8484,0.06784,0.07893
2005,West,"Yes, Occasionally",0.04401,358,8484,0.03965,0.04838
2005,West,No,0.88260,7418,8484,0.87575,0.88945
2005,East,"Yes, Regularly",0.01821,51,2680,0.01314,0.02327
2005,East,"Yes, Occasionally",0.01681,37,2680,0.01194,0.02168
2005,East,No,0.96498,2592,2680,0.95802,0.97194
2006,West,"Yes, Regularly",0.07010,729,9308,0.06491,0.07529
2006,West,"Yes, Occasionally",0.04418,404,9308,0.04000,0.04835
2006,West,No,0.88572,8175,9308,0.87926,0.89218
2006,East,"Yes, Regularly",0.02101,57,2922,0.01581,0.02621
2006,East,"Yes, Occasionally",0.01479,38,2922,0.01041,0.01916
2006,East,No,0.96420,2827,2922,0.95747,0.97094
2007,West,"Yes, Regularly",0.08010,740,8655,0.07438,0.08581
2007,West,"Yes, Occasionally",0.04219,368,8655,0.03795,0.04643
2007,West,No,0.87771,7547,8655,0.87081,0.88462
2007,East,"Yes, Regularly",0.01933,62,2756,0.01419,0.02447
2007,East,"Yes, Occasionally",0.01621,39,2756,0.01149,0.02092
2007,East,No,0.96446,2655,2756,0.95755,0.97137
