,Unnamed: 0,year,quintil_oecd_hh,rentown,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,1st Quintile,Owner,No,1.0,195,6574,0.91189,1.10129
1,1,1996,1st Quintile,Tenant,Yes,0.09862,122,6574,0.08509,0.11306
2,2,1996,1st Quintile,Tenant,No,0.90138,1036,6574,0.8508,0.94503
3,3,1996,2nd Quintile,Owner,Yes,0.10019,56,6574,0.07986,0.1247
4,4,1996,2nd Quintile,Owner,No,0.89981,388,6574,0.83556,0.97002
5,5,1996,2nd Quintile,Tenant,Yes,0.09983,121,6574,0.08571,0.11454
6,6,1996,2nd Quintile,Tenant,No,0.90017,886,6574,0.8381,0.95487
7,7,1996,3rd Quintile,Owner,Yes,0.11866,70,6574,0.10023,0.13603
8,8,1996,3rd Quintile,Owner,No,0.88134,458,6574,0.828,0.93264
9,9,1996,3rd Quintile,Tenant,Yes,0.11986,114,6574,0.10376,0.13808
10,10,1996,3rd Quintile,Tenant,No,0.88014,745,6574,0.82888,0.93557
11,11,1996,4th Quintile,Owner,Yes,0.08738,55,6574,0.07257,0.10211
12,12,1996,4th Quintile,Owner,No,0.91262,534,6574,0.86729,0.9577
13,13,1996,4th Quintile,Tenant,Yes,0.08614,66,6574,0.06884,0.10231
14,14,1996,4th Quintile,Tenant,No,0.91386,649,6574,0.85485,0.96771
15,15,1996,5th Quintile,Owner,Yes,0.06412,43,6574,0.05133,0.07692
16,16,1996,5th Quintile,Owner,No,0.93588,569,6574,0.88971,0.98192
17,17,1996,5th Quintile,Tenant,No,1.0,467,6574,0.94037,1.06173
18,18,2001,1st Quintile,Owner,Yes,0.0946,46,11678,0.07814,0.11178
19,19,2001,1st Quintile,Owner,No,0.9054,354,11678,0.8487,0.95909
20,20,2001,1st Quintile,Tenant,Yes,0.07967,160,11678,0.07279,0.08915
21,21,2001,1st Quintile,Tenant,No,0.92033,1653,11678,0.89272,0.94675
22,22,2001,2nd Quintile,Owner,Yes,0.09237,91,11678,0.08162,0.10494
23,23,2001,2nd Quintile,Owner,No,0.90763,808,11678,0.87308,0.94683
24,24,2001,2nd Quintile,Tenant,Yes,0.07953,141,11678,0.07084,0.08838
25,25,2001,2nd Quintile,Tenant,No,0.92047,1422,11678,0.89425,0.95169
26,26,2001,3rd Quintile,Owner,Yes,0.07432,92,11678,0.06672,0.08393
27,27,2001,3rd Quintile,Owner,No,0.92568,1089,11678,0.8953,0.962
28,28,2001,3rd Quintile,Tenant,Yes,0.07087,101,11678,0.06206,0.08077
29,29,2001,3rd Quintile,Tenant,No,0.92913,1178,11678,0.8944,0.96264
30,30,2001,4th Quintile,Owner,Yes,0.0599,90,11678,0.05426,0.0673
31,31,2001,4th Quintile,Owner,No,0.9401,1233,11678,0.91003,0.97498
32,32,2001,4th Quintile,Tenant,Yes,0.0608,76,11678,0.05197,0.06865
33,33,2001,4th Quintile,Tenant,No,0.9392,969,11678,0.9008,0.97971
34,34,2001,5th Quintile,Owner,Yes,0.05093,73,11678,0.04518,0.05805
35,35,2001,5th Quintile,Owner,No,0.94907,1391,11678,0.9192,0.97796
36,36,2001,5th Quintile,Tenant,Yes,0.04367,31,11678,0.03427,0.05417
37,37,2001,5th Quintile,Tenant,No,0.95633,680,11678,0.91412,0.99769
38,38,2006,1st Quintile,Owner,No,1.0,315,12228,0.93242,1.07865
39,39,2006,1st Quintile,Tenant,Yes,0.05627,106,12228,0.04967,0.06473
40,40,2006,1st Quintile,Tenant,No,0.94373,1631,12228,0.91627,0.97921
41,41,2006,2nd Quintile,Owner,Yes,0.07748,61,12228,0.06234,0.09425
42,42,2006,2nd Quintile,Owner,No,0.92252,744,12228,0.87159,0.96504
43,43,2006,2nd Quintile,Tenant,Yes,0.04635,78,12228,0.03796,0.05397
44,44,2006,2nd Quintile,Tenant,No,0.95365,1351,12228,0.91822,0.98709
45,45,2006,3rd Quintile,Owner,Yes,0.06812,79,12228,0.05665,0.08086
46,46,2006,3rd Quintile,Owner,No,0.93188,1135,12228,0.89275,0.96868
47,47,2006,3rd Quintile,Tenant,Yes,0.0545,67,12228,0.04694,0.06244
48,48,2006,3rd Quintile,Tenant,No,0.9455,1126,12228,0.90935,0.98244
49,49,2006,4th Quintile,Owner,Yes,0.05454,92,12228,0.04394,0.0652
50,50,2006,4th Quintile,Owner,No,0.94546,1392,12228,0.90781,0.97799
51,51,2006,4th Quintile,Tenant,Yes,0.03796,41,12228,0.03072,0.04724
