year,bula_h,rentown,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,Owner,No,0.91088,69,69,0.84316,0.97860
1996,Schleswig-Holstein,Tenant,No,0.87840,63,63,0.79704,0.95975
1996,Hamburg,Tenant,No,0.90038,62,62,0.82522,0.97554
1996,Lower Saxony,Owner,No,0.90818,209,209,0.86894,0.94742
1996,Lower Saxony,Tenant,Yes,0.11317,39,296,0.07702,0.14932
1996,Lower Saxony,Tenant,No,0.88683,257,296,0.85068,0.92298
1996,Bremen,Tenant,No,0.85761,33,33,0.73654,0.97869
1996,North Rhine-Westphalia,Owner,Yes,0.08969,43,430,0.06265,0.11673
1996,North Rhine-Westphalia,Owner,No,0.91031,387,430,0.88327,0.93735
1996,North Rhine-Westphalia,Tenant,Yes,0.10001,92,859,0.07994,0.12009
1996,North Rhine-Westphalia,Tenant,No,0.89999,767,859,0.87991,0.92006
1996,Hesse,Owner,No,0.91365,141,141,0.86713,0.96018
1996,Hesse,Tenant,No,0.93323,290,290,0.90445,0.96201
1996,"Rhineland-Palatinate, Saarland",Owner,No,0.91748,152,152,0.87359,0.96136
1996,"Rhineland-Palatinate, Saarland",Tenant,No,0.88754,156,156,0.83781,0.93728
1996,Baden-Wuerttemberg,Owner,Yes,0.08569,32,342,0.05598,0.11540
1996,Baden-Wuerttemberg,Owner,No,0.91431,310,342,0.88460,0.94402
1996,Baden-Wuerttemberg,Tenant,Yes,0.08118,42,498,0.05717,0.10519
1996,Baden-Wuerttemberg,Tenant,No,0.91882,456,498,0.89481,0.94283
1996,Bavaria,Owner,No,0.93070,329,329,0.90321,0.95818
1996,Bavaria,Tenant,Yes,0.07188,44,504,0.04931,0.09445
1996,Bavaria,Tenant,No,0.92812,460,504,0.90555,0.95069
1996,Berlin,Tenant,No,0.94383,260,260,0.91579,0.97187
1996,Brandenburg,Owner,No,0.91421,98,98,0.85847,0.96994
1996,Brandenburg,Tenant,No,0.91454,171,171,0.87251,0.95656
1996,Mecklenburg-Western Pomerania,Owner,No,0.83823,47,47,0.73182,0.94465
1996,Mecklenburg-Western Pomerania,Tenant,No,0.89225,125,125,0.83767,0.94682
1996,Saxony,Owner,No,0.90067,142,142,0.85130,0.95004
1996,Saxony,Tenant,Yes,0.10733,49,390,0.07657,0.13809
1996,Saxony,Tenant,No,0.89267,341,390,0.86191,0.92343
1996,Saxony-Anhalt,Owner,No,0.90023,97,97,0.84028,0.96018
1996,Saxony-Anhalt,Tenant,Yes,0.13590,37,218,0.09030,0.18149
1996,Saxony-Anhalt,Tenant,No,0.86410,181,218,0.81851,0.90970
1996,Thuringa,Owner,No,0.85639,116,116,0.79229,0.92048
1996,Thuringa,Tenant,No,0.91197,164,164,0.86848,0.95547
2001,Schleswig-Holstein,Owner,No,0.94765,197,197,0.91647,0.97884
2001,Schleswig-Holstein,Tenant,No,0.94273,143,143,0.90452,0.98095
2001,Hamburg,Owner,No,0.96679,36,36,0.90743,1.02615
2001,Hamburg,Tenant,No,0.93361,136,136,0.89161,0.97561
2001,Lower Saxony,Owner,Yes,0.09703,52,522,0.07161,0.12245
2001,Lower Saxony,Owner,No,0.90297,470,522,0.87755,0.92839
2001,Lower Saxony,Tenant,Yes,0.11564,46,439,0.08569,0.14559
2001,Lower Saxony,Tenant,No,0.88436,393,439,0.85441,0.91431
2001,Bremen,Owner,No,0.92743,36,36,0.84149,1.01338
2001,Bremen,Tenant,No,0.85400,53,53,0.75802,0.94998
2001,North Rhine-Westphalia,Owner,Yes,0.06140,67,1047,0.04685,0.07595
2001,North Rhine-Westphalia,Owner,No,0.93860,980,1047,0.92405,0.95315
2001,North Rhine-Westphalia,Tenant,Yes,0.07691,113,1438,0.06313,0.09068
2001,North Rhine-Westphalia,Tenant,No,0.92309,1325,1438,0.90932,0.93687
2001,Hesse,Owner,No,0.95348,338,338,0.93099,0.97596
2001,Hesse,Tenant,No,0.96984,398,398,0.95301,0.98666
2001,"Rhineland-Palatinate, Saarland",Owner,Yes,0.07686,35,411,0.05108,0.10265
2001,"Rhineland-Palatinate, Saarland",Owner,No,0.92314,376,411,0.89735,0.94892
2001,"Rhineland-Palatinate, Saarland",Tenant,No,0.93301,280,280,0.90368,0.96235
2001,Baden-Wuerttemberg,Owner,Yes,0.06534,42,634,0.04609,0.08459
2001,Baden-Wuerttemberg,Owner,No,0.93466,592,634,0.91541,0.95391
2001,Baden-Wuerttemberg,Tenant,Yes,0.04357,34,728,0.02873,0.05841
2001,Baden-Wuerttemberg,Tenant,No,0.95643,694,728,0.94159,0.97127
2001,Bavaria,Owner,Yes,0.05082,45,864,0.03617,0.06548
2001,Bavaria,Owner,No,0.94918,819,864,0.93452,0.96383
2001,Bavaria,Tenant,Yes,0.04338,40,752,0.02881,0.05795
2001,Bavaria,Tenant,No,0.95662,712,752,0.94205,0.97119
2001,Berlin,Owner,No,0.95264,57,57,0.89700,1.00827
2001,Berlin,Tenant,No,0.94404,392,392,0.92125,0.96682
