,Unnamed: 0,year,bula_h,regtyp,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
61,61,2001,Brandenburg,Rural regions,Yes,0.10268,51,11542,0.08638,0.1163
62,62,2001,Brandenburg,Rural regions,No,0.89732,412,11542,0.85638,0.94251
63,63,2001,Mecklenburg-Western Pomerania,Urban regions,No,1.0,38,11542,0.86337,1.14182
64,64,2001,Mecklenburg-Western Pomerania,Rural regions,No,1.0,218,11542,0.93597,1.07642
65,65,2001,Saxony,Urban regions,Yes,0.09033,41,11542,0.07793,0.10583
66,66,2001,Saxony,Urban regions,No,0.90967,379,11542,0.85394,0.97022
67,67,2001,Saxony,Rural regions,Yes,0.10498,52,11542,0.09043,0.12487
68,68,2001,Saxony,Rural regions,No,0.89502,377,11542,0.84775,0.93353
69,69,2001,Saxony-Anhalt,Urban regions,No,1.0,90,11542,0.91918,1.09725
70,70,2001,Saxony-Anhalt,Rural regions,Yes,0.09685,44,11542,0.08105,0.11314
71,71,2001,Saxony-Anhalt,Rural regions,No,0.90315,357,11542,0.85382,0.95716
72,72,2001,Thuringa,Urban regions,No,1.0,132,11542,0.91781,1.09035
73,73,2001,Thuringa,Rural regions,Yes,0.09887,38,11542,0.08636,0.11359
74,74,2001,Thuringa,Rural regions,No,0.90113,312,11542,0.83245,0.95976
75,75,2006,Schleswig-Holstein,Urban regions,No,1.0,152,12024,0.89077,1.0988
76,76,2006,Schleswig-Holstein,Rural regions,No,1.0,223,12024,0.9194,1.08022
77,77,2006,Hamburg,Urban regions,No,1.0,189,12024,0.90147,1.11147
78,78,2006,Lower Saxony,Urban regions,No,1.0,501,12024,0.94843,1.06793
79,79,2006,Lower Saxony,Rural regions,Yes,0.07459,41,12024,0.05745,0.09246
80,80,2006,Lower Saxony,Rural regions,No,0.92541,507,12024,0.86628,0.99058
81,81,2006,Bremen,Urban regions,No,1.0,84,12024,0.82671,1.14094
82,82,2006,North Rhine-Westphalia,Urban regions,Yes,0.04118,116,12024,0.03615,0.04628
83,83,2006,North Rhine-Westphalia,Urban regions,No,0.95882,2358,12024,0.92876,0.98769
84,84,2006,North Rhine-Westphalia,Rural regions,No,1.0,61,12024,0.83005,1.19714
85,85,2006,Hesse,Urban regions,No,1.0,663,12024,0.94011,1.0641
86,86,2006,Hesse,Rural regions,No,1.0,145,12024,0.88946,1.13744
87,87,2006,"Rhineland-Palatinate, Saarland",Urban regions,No,1.0,522,12024,0.93994,1.06101
88,88,2006,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,163,12024,0.90918,1.08515
89,89,2006,Baden-Wuerttemberg,Urban regions,Yes,0.04773,64,12024,0.03812,0.05694
90,90,2006,Baden-Wuerttemberg,Urban regions,No,0.95227,1284,12024,0.90737,0.99901
91,91,2006,Baden-Wuerttemberg,Rural regions,No,1.0,115,12024,0.87713,1.15625
92,92,2006,Bavaria,Urban regions,No,1.0,815,12024,0.95159,1.06043
