,Unnamed: 0,year,bula_h,sampreg,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Schleswig-Holstein,West,No,1.0,132,6546,0.90746,1.09039
1,1,1996,Hamburg,West,No,1.0,73,6546,0.84912,1.13655
2,2,1996,Lower Saxony,West,Yes,0.1034,65,6546,0.08994,0.11919
3,3,1996,Lower Saxony,West,No,0.8966,466,6546,0.84634,0.9479
4,4,1996,Bremen,West,No,1.0,47,6546,0.84471,1.13977
5,5,1996,North Rhine-Westphalia,West,Yes,0.09597,135,6546,0.08335,0.109
6,6,1996,North Rhine-Westphalia,West,No,0.90403,1154,6546,0.86585,0.93815
7,7,1996,Hesse,West,Yes,0.0746,36,6546,0.05973,0.0926
8,8,1996,Hesse,West,No,0.9254,431,6546,0.86239,1.00608
9,9,1996,"Rhineland-Palatinate, Saarland",West,Yes,0.09752,39,6546,0.07871,0.11879
10,10,1996,"Rhineland-Palatinate, Saarland",West,No,0.90248,308,6546,0.83018,0.96997
11,11,1996,Baden-Wuerttemberg,West,Yes,0.08352,74,6546,0.06833,0.09895
12,12,1996,Baden-Wuerttemberg,West,No,0.91648,766,6546,0.85824,0.96921
13,13,1996,Bavaria,West,Yes,0.07069,72,6546,0.0582,0.08516
14,14,1996,Bavaria,West,No,0.92931,789,6546,0.87756,0.97619
15,15,1996,Berlin,West,No,1.0,159,6546,0.90657,1.09853
16,16,1996,Berlin,East,No,1.0,124,6546,0.90834,1.09318
17,17,1996,Brandenburg,East,Yes,0.08557,31,6546,0.07143,0.10127
18,18,1996,Brandenburg,East,No,0.91443,269,6546,0.85922,0.96733
19,19,1996,Mecklenburg-Western Pomerania,East,No,1.0,172,6546,0.91982,1.0692
20,20,1996,Saxony,East,Yes,0.10524,65,6546,0.09051,0.12357
21,21,1996,Saxony,East,No,0.89476,483,6546,0.84831,0.94064
22,22,1996,Saxony-Anhalt,East,Yes,0.12504,52,6546,0.10412,0.15017
23,23,1996,Saxony-Anhalt,East,No,0.87496,278,6546,0.81501,0.93863
24,24,1996,Thuringa,East,Yes,0.10739,46,6546,0.09139,0.12381
25,25,1996,Thuringa,East,No,0.89261,280,6546,0.83022,0.95754
26,26,2001,Schleswig-Holstein,West,No,1.0,340,11577,0.94025,1.04524
27,27,2001,Hamburg,West,No,1.0,172,11577,0.93354,1.06782
28,28,2001,Lower Saxony,West,Yes,0.10615,98,11577,0.09364,0.11987
29,29,2001,Lower Saxony,West,No,0.89385,863,11577,0.86247,0.93171
30,30,2001,Bremen,West,No,1.0,89,11577,0.8913,1.10958
31,31,2001,North Rhine-Westphalia,West,Yes,0.07084,180,11577,0.06491,0.07816
32,32,2001,North Rhine-Westphalia,West,No,0.92916,2305,11577,0.90861,0.95254
33,33,2001,Hesse,West,Yes,0.03733,43,11577,0.03228,0.04415
34,34,2001,Hesse,West,No,0.96267,736,11577,0.91928,1.0017
35,35,2001,"Rhineland-Palatinate, Saarland",West,Yes,0.07234,64,11577,0.06368,0.0806
36,36,2001,"Rhineland-Palatinate, Saarland",West,No,0.92766,656,11577,0.89215,0.96035
37,37,2001,Baden-Wuerttemberg,West,Yes,0.05363,76,11577,0.04466,0.06117
38,38,2001,Baden-Wuerttemberg,West,No,0.94637,1286,11577,0.9095,0.98379
39,39,2001,Bavaria,West,Yes,0.04712,85,11577,0.04063,0.05375
40,40,2001,Bavaria,West,No,0.95288,1531,11577,0.92557,0.98144
41,41,2001,Berlin,West,No,1.0,256,11577,0.94173,1.06397
42,42,2001,Berlin,East,No,1.0,193,11577,0.939,1.06713
43,43,2001,Brandenburg,East,Yes,0.09542,51,11577,0.08166,0.11001
