year,bula_h,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,No,0.89552,132,132,0.84313,0.94790
1996,Hamburg,No,0.90534,73,73,0.83772,0.97296
1996,Lower Saxony,Yes,0.10341,65,531,0.07749,0.12934
1996,Lower Saxony,No,0.89659,466,531,0.87066,0.92251
1996,Bremen,No,0.88727,47,47,0.79588,0.97867
1996,North Rhine-Westphalia,Yes,0.09596,135,1289,0.07987,0.11204
1996,North Rhine-Westphalia,No,0.90404,1154,1289,0.88796,0.92013
1996,Hesse,Yes,0.07482,36,467,0.05093,0.09871
1996,Hesse,No,0.92518,431,467,0.90129,0.94907
1996,"Rhineland-Palatinate, Saarland",Yes,0.09751,39,347,0.06625,0.12877
1996,"Rhineland-Palatinate, Saarland",No,0.90249,308,347,0.87123,0.93375
1996,Baden-Wuerttemberg,Yes,0.08356,74,840,0.06483,0.10228
1996,Baden-Wuerttemberg,No,0.91644,766,840,0.89772,0.93517
1996,Bavaria,Yes,0.07070,72,861,0.05357,0.08783
1996,Bavaria,No,0.92930,789,861,0.91217,0.94643
1996,Berlin,No,0.93744,283,283,0.90918,0.96571
1996,Brandenburg,Yes,0.08558,31,300,0.05387,0.11728
1996,Brandenburg,No,0.91442,269,300,0.88272,0.94613
1996,Mecklenburg-Western Pomerania,No,0.87729,172,172,0.82811,0.92647
1996,Saxony,Yes,0.10523,65,548,0.07952,0.13095
1996,Saxony,No,0.89477,483,548,0.86905,0.92048
1996,Saxony-Anhalt,Yes,0.12504,52,330,0.08930,0.16078
1996,Saxony-Anhalt,No,0.87496,278,330,0.83922,0.91070
1996,Thuringa,Yes,0.10740,46,326,0.07374,0.14107
1996,Thuringa,No,0.89260,280,326,0.85893,0.92626
2001,Schleswig-Holstein,No,0.94548,340,340,0.92131,0.96965
2001,Hamburg,No,0.93862,172,172,0.90264,0.97460
2001,Lower Saxony,Yes,0.10613,98,961,0.08665,0.12562
2001,Lower Saxony,No,0.89387,863,961,0.87438,0.91335
2001,Bremen,No,0.87812,89,89,0.80977,0.94647
2001,North Rhine-Westphalia,Yes,0.07084,180,2485,0.06075,0.08093
2001,North Rhine-Westphalia,No,0.92916,2305,2485,0.91907,0.93925
2001,Hesse,Yes,0.03746,43,779,0.02412,0.05081
2001,Hesse,No,0.96254,736,779,0.94919,0.97588
2001,"Rhineland-Palatinate, Saarland",Yes,0.07232,64,720,0.05338,0.09125
2001,"Rhineland-Palatinate, Saarland",No,0.92768,656,720,0.90875,0.94662
2001,Baden-Wuerttemberg,Yes,0.05362,76,1362,0.04165,0.06559
2001,Baden-Wuerttemberg,No,0.94638,1286,1362,0.93441,0.95835
2001,Bavaria,Yes,0.04711,85,1616,0.03678,0.05745
2001,Bavaria,No,0.95289,1531,1616,0.94255,0.96322
2001,Berlin,Yes,0.05506,32,481,0.03465,0.07546
2001,Berlin,No,0.94494,449,481,0.92454,0.96535
2001,Brandenburg,Yes,0.09542,51,500,0.06964,0.12120
2001,Brandenburg,No,0.90458,449,500,0.87880,0.93036
2001,Mecklenburg-Western Pomerania,No,0.91007,256,256,0.87496,0.94518
2001,Saxony,Yes,0.09793,93,849,0.07793,0.11794
2001,Saxony,No,0.90207,756,849,0.88206,0.92207
2001,Saxony-Anhalt,Yes,0.10082,58,505,0.07453,0.12711
2001,Saxony-Anhalt,No,0.89918,447,505,0.87289,0.92547
2001,Thuringa,Yes,0.09114,50,494,0.06573,0.11655
2001,Thuringa,No,0.90886,444,494,0.88345,0.93427
2006,Schleswig-Holstein,No,0.96864,375,375,0.95097,0.98630
2006,Hamburg,No,0.96974,189,189,0.94525,0.99423
2006,Lower Saxony,Yes,0.06861,66,1074,0.05349,0.08374
2006,Lower Saxony,No,0.93139,1008,1074,0.91626,0.94651
2006,Bremen,No,0.89655,84,84,0.83103,0.96207
2006,North Rhine-Westphalia,Yes,0.04093,119,2538,0.03322,0.04864
2006,North Rhine-Westphalia,No,0.95907,2419,2538,0.95136,0.96678
2006,Hesse,Yes,0.03808,38,846,0.02518,0.05098
2006,Hesse,No,0.96192,808,846,0.94902,0.97482
2006,"Rhineland-Palatinate, Saarland",Yes,0.05763,42,727,0.04068,0.07458
2006,"Rhineland-Palatinate, Saarland",No,0.94237,685,727,0.92542,0.95932
2006,Baden-Wuerttemberg,Yes,0.05241,74,1473,0.04103,0.06380
2006,Baden-Wuerttemberg,No,0.94759,1399,1473,0.93620,0.95897
2006,Bavaria,Yes,0.03384,64,1730,0.02531,0.04236
2006,Bavaria,No,0.96616,1666,1730,0.95764,0.97469
2006,Berlin,No,0.94602,459,459,0.92533,0.96672
2006,Brandenburg,Yes,0.07545,39,532,0.05298,0.09791
2006,Brandenburg,No,0.92455,493,532,0.90209,0.94702
2006,Mecklenburg-Western Pomerania,No,0.92227,281,281,0.89090,0.95363
2006,Saxony,Yes,0.06659,70,877,0.05008,0.08310
2006,Saxony,No,0.93341,807,877,0.91690,0.94992
2006,Saxony-Anhalt,Yes,0.10397,46,492,0.07697,0.13097
2006,Saxony-Anhalt,No,0.89603,446,492,0.86903,0.92303
2006,Thuringa,Yes,0.06189,41,515,0.04106,0.08272
2006,Thuringa,No,0.93811,474,515,0.91728,0.95894
2011,Schleswig-Holstein,No,0.98133,398,398,0.96801,0.99464
2011,Hamburg,No,0.98623,194,194,0.96979,1.00267
2011,Lower Saxony,Yes,0.06166,54,1087,0.04735,0.07596
2011,Lower Saxony,No,0.93834,1033,1087,0.92404,0.95265
2011,Bremen,No,0.97731,79,79,0.94427,1.01036
