year,rentown,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Owner,Yes,0.08759,250,2395,0.07626,0.09891
1996,Owner,No,0.91241,2145,2395,0.90109,0.92374
1996,Tenant,Yes,0.09299,450,4236,0.08424,0.10174
1996,Tenant,No,0.90701,3786,4236,0.89826,0.91576
2001,Owner,Yes,0.06815,392,5267,0.06134,0.07495
2001,Owner,No,0.93185,4875,5267,0.92505,0.93866
2001,Tenant,Yes,0.07030,509,6413,0.06405,0.07656
2001,Tenant,No,0.92970,5904,6413,0.92344,0.93595
2006,Owner,Yes,0.05802,349,6003,0.05211,0.06394
2006,Owner,No,0.94198,5654,6003,0.93606,0.94789
2006,Tenant,Yes,0.04642,323,6260,0.04120,0.05163
2006,Tenant,No,0.95358,5937,6260,0.94837,0.95880
2011,Owner,Yes,0.03902,228,5944,0.03410,0.04394
2011,Owner,No,0.96098,5716,5944,0.95606,0.96590
2011,Tenant,Yes,0.03672,261,6140,0.03202,0.04143
2011,Tenant,No,0.96328,5879,6140,0.95857,0.96798
2016,Owner,Yes,0.02503,213,6302,0.02117,0.02889
2016,Owner,No,0.97497,6089,6302,0.97111,0.97883
2016,Tenant,Yes,0.02955,233,7999,0.02584,0.03326
2016,Tenant,No,0.97045,7766,7999,0.96674,0.97416
2021,Owner,Yes,0.02343,144,5080,0.01927,0.02759
2021,Owner,No,0.97657,4936,5080,0.97241,0.98073
2021,Tenant,Yes,0.01765,115,5971,0.01431,0.02099
2021,Tenant,No,0.98235,5856,5971,0.97901,0.98569
