,Unnamed: 0,year,quintil_oecd_hh,regtyp,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,1st Quintile,Urban regions,Yes,0.09654,89,6607,0.07916,0.11101
1,1,1996,1st Quintile,Urban regions,No,0.90346,795,6607,0.84595,0.96664
2,2,1996,1st Quintile,Rural regions,Yes,0.08901,59,6607,0.07086,0.11047
3,3,1996,1st Quintile,Rural regions,No,0.91099,436,6607,0.84674,0.97078
4,4,1996,2nd Quintile,Urban regions,Yes,0.08592,101,6607,0.07505,0.10087
5,5,1996,2nd Quintile,Urban regions,No,0.91408,806,6607,0.85834,0.97577
6,6,1996,2nd Quintile,Rural regions,Yes,0.12657,76,6607,0.10025,0.15059
7,7,1996,2nd Quintile,Rural regions,No,0.87343,468,6607,0.80447,0.93224
8,8,1996,3rd Quintile,Urban regions,Yes,0.10944,107,6607,0.09391,0.12378
9,9,1996,3rd Quintile,Urban regions,No,0.89056,738,6607,0.84977,0.94053
10,10,1996,3rd Quintile,Rural regions,Yes,0.13814,77,6607,0.11461,0.16514
11,11,1996,3rd Quintile,Rural regions,No,0.86186,465,6607,0.80498,0.92008
12,12,1996,4th Quintile,Urban regions,Yes,0.08445,86,6607,0.07253,0.09519
13,13,1996,4th Quintile,Urban regions,No,0.91555,837,6607,0.86423,0.9584
14,14,1996,4th Quintile,Rural regions,Yes,0.09362,35,6607,0.06701,0.12468
15,15,1996,4th Quintile,Rural regions,No,0.90638,346,6607,0.84119,0.98883
16,16,1996,5th Quintile,Urban regions,Yes,0.05522,50,6607,0.04532,0.06663
17,17,1996,5th Quintile,Urban regions,No,0.94478,784,6607,0.90319,0.99235
18,18,1996,5th Quintile,Rural regions,No,1.0,252,6607,0.92759,1.08906
19,19,2001,1st Quintile,Urban regions,Yes,0.0737,112,11678,0.06543,0.08393
20,20,2001,1st Quintile,Urban regions,No,0.9263,1302,11678,0.89802,0.95687
21,21,2001,1st Quintile,Rural regions,Yes,0.09939,94,11678,0.08655,0.11077
22,22,2001,1st Quintile,Rural regions,No,0.90061,705,11678,0.8647,0.94512
23,23,2001,2nd Quintile,Urban regions,Yes,0.0754,124,11678,0.0667,0.08524
24,24,2001,2nd Quintile,Urban regions,No,0.9246,1386,11678,0.89265,0.95423
25,25,2001,2nd Quintile,Rural regions,Yes,0.09827,108,11678,0.08675,0.11008
26,26,2001,2nd Quintile,Rural regions,No,0.90173,844,11678,0.86146,0.94576
27,27,2001,3rd Quintile,Urban regions,Yes,0.07166,120,11678,0.06427,0.08062
28,28,2001,3rd Quintile,Urban regions,No,0.92834,1446,11678,0.90186,0.95734
29,29,2001,3rd Quintile,Rural regions,Yes,0.07387,73,11678,0.06351,0.08568
30,30,2001,3rd Quintile,Rural regions,No,0.92613,821,11678,0.88986,0.97115
31,31,2001,4th Quintile,Urban regions,Yes,0.06039,110,11678,0.05448,0.06659
32,32,2001,4th Quintile,Urban regions,No,0.93961,1501,11678,0.90971,0.97139
33,33,2001,4th Quintile,Rural regions,Yes,0.06018,56,11678,0.05119,0.07001
34,34,2001,4th Quintile,Rural regions,No,0.93982,701,11678,0.89682,0.98521
35,35,2001,5th Quintile,Urban regions,Yes,0.04524,73,11678,0.03851,0.05142
36,36,2001,5th Quintile,Urban regions,No,0.95476,1591,11678,0.92526,0.97919
37,37,2001,5th Quintile,Rural regions,Yes,0.05982,31,11678,0.04694,0.07262
38,38,2001,5th Quintile,Rural regions,No,0.94018,480,11678,0.8862,0.9876
39,39,2006,1st Quintile,Urban regions,Yes,0.05027,69,12259,0.0433,0.05897
40,40,2006,1st Quintile,Urban regions,No,0.94973,1251,12259,0.91154,0.98264
41,41,2006,1st Quintile,Rural regions,Yes,0.07262,66,12259,0.06147,0.08606
42,42,2006,1st Quintile,Rural regions,No,0.92738,695,12259,0.88293,0.97745
43,43,2006,2nd Quintile,Urban regions,Yes,0.04531,64,12259,0.0386,0.05508
44,44,2006,2nd Quintile,Urban regions,No,0.95469,1263,12259,0.91866,0.98643
45,45,2006,2nd Quintile,Rural regions,Yes,0.07507,75,12259,0.06186,0.08854
46,46,2006,2nd Quintile,Rural regions,No,0.92493,832,12259,0.88133,0.97276
47,47,2006,3rd Quintile,Urban regions,Yes,0.05588,85,12259,0.04771,0.06361
48,48,2006,3rd Quintile,Urban regions,No,0.94412,1416,12259,0.90894,0.97664
49,49,2006,3rd Quintile,Rural regions,Yes,0.0701,61,12259,0.05632,0.08412
50,50,2006,3rd Quintile,Rural regions,No,0.9299,846,12259,0.88562,0.97864
51,51,2006,4th Quintile,Urban regions,Yes,0.04475,89,12259,0.03866,0.05148
52,52,2006,4th Quintile,Urban regions,No,0.95525,1591,12259,0.92038,0.98897
53,53,2006,4th Quintile,Rural regions,Yes,0.05197,44,12259,0.03908,0.06861
54,54,2006,4th Quintile,Rural regions,No,0.94803,757,12259,0.89253,1.00033
55,55,2006,5th Quintile,Urban regions,Yes,0.03157,84,12259,0.0258,0.0378
56,56,2006,5th Quintile,Urban regions,No,0.96843,2230,12259,0.93908,1.0093
57,57,2006,5th Quintile,Rural regions,Yes,0.04483,35,12259,0.03309,0.06001
58,58,2006,5th Quintile,Rural regions,No,0.95517,706,12259,0.89023,1.03503
59,59,2011,1st Quintile,Urban regions,Yes,0.03762,68,12063,0.02968,0.04582
60,60,2011,1st Quintile,Urban regions,No,0.96238,1312,12063,0.92712,1.01157
61,61,2011,1st Quintile,Rural regions,Yes,0.05335,55,12063,0.04087,0.06869
62,62,2011,1st Quintile,Rural regions,No,0.94665,803,12063,0.88653,1.00025
63,63,2011,2nd Quintile,Urban regions,Yes,0.03435,56,12063,0.02599,0.0424
64,64,2011,2nd Quintile,Urban regions,No,0.96565,1290,12063,0.90703,1.00644
65,65,2011,2nd Quintile,Rural regions,Yes,0.04985,50,12063,0.03731,0.06685
66,66,2011,2nd Quintile,Rural regions,No,0.95015,867,12063,0.88902,1.0026
67,67,2011,3rd Quintile,Urban regions,Yes,0.04264,58,12063,0.03246,0.05244
68,68,2011,3rd Quintile,Urban regions,No,0.95736,1378,12063,0.91888,1.0025
69,69,2011,3rd Quintile,Rural regions,Yes,0.04496,44,12063,0.03324,0.05632
70,70,2011,3rd Quintile,Rural regions,No,0.95504,899,12063,0.90015,1.00886
71,71,2011,4th Quintile,Urban regions,Yes,0.04023,59,12063,0.03122,0.05216
72,72,2011,4th Quintile,Urban regions,No,0.95977,1564,12063,0.92188,0.99156
73,73,2011,4th Quintile,Rural regions,Yes,0.04189,34,12063,0.02865,0.05635
74,74,2011,4th Quintile,Rural regions,No,0.95811,757,12063,0.89296,1.02079
75,75,2011,5th Quintile,Urban regions,Yes,0.02114,47,12063,0.01655,0.02672
76,76,2011,5th Quintile,Urban regions,No,0.97886,2024,12063,0.93766,1.01434
77,77,2011,5th Quintile,Rural regions,No,1.0,698,12063,0.93484,1.07092
78,78,2016,1st Quintile,Urban regions,Yes,0.02812,68,14227,0.02139,0.03718
79,79,2016,1st Quintile,Urban regions,No,0.97188,1884,14227,0.91741,1.02104
80,80,2016,1st Quintile,Rural regions,Yes,0.0473,53,14227,0.03328,0.06133
81,81,2016,1st Quintile,Rural regions,No,0.9527,1060,14227,0.90591,1.02518
82,82,2016,2nd Quintile,Urban regions,Yes,0.03399,69,14227,0.02613,0.04236
83,83,2016,2nd Quintile,Urban regions,No,0.96601,1840,14227,0.9181,1.01561
84,84,2016,2nd Quintile,Rural regions,Yes,0.04029,48,14227,0.03112,0.04979
85,85,2016,2nd Quintile,Rural regions,No,0.95971,1145,14227,0.90904,1.01315
86,86,2016,3rd Quintile,Urban regions,Yes,0.02755,52,14227,0.01997,0.03545
87,87,2016,3rd Quintile,Urban regions,No,0.97245,1656,14227,0.9206,1.01875
88,88,2016,3rd Quintile,Rural regions,Yes,0.02397,40,14227,0.01531,0.03512
89,89,2016,3rd Quintile,Rural regions,No,0.97603,1003,14227,0.90275,1.03489
90,90,2016,4th Quintile,Urban regions,Yes,0.02775,46,14227,0.0198,0.03568
91,91,2016,4th Quintile,Urban regions,No,0.97225,1724,14227,0.92279,1.01781
92,92,2016,4th Quintile,Rural regions,No,1.0,862,14227,0.93634,1.06723
93,93,2016,5th Quintile,Urban regions,No,1.0,1994,14227,0.94825,1.05179
94,94,2016,5th Quintile,Rural regions,No,1.0,683,14227,0.91349,1.0735
95,95,2021,1st Quintile,Urban regions,No,1.0,1323,10811,0.93408,1.06508
96,96,2021,1st Quintile,Rural regions,No,1.0,682,10811,0.9143,1.08674
97,97,2021,2nd Quintile,Urban regions,No,1.0,1314,10811,0.92513,1.05199
98,98,2021,2nd Quintile,Rural regions,Yes,0.03452,34,10811,0.02193,0.05184
99,99,2021,2nd Quintile,Rural regions,No,0.96548,824,10811,0.88108,1.03427
