,Unnamed: 0,year,hhtyp,rentown,pet_bird,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Single-person household,Owner,No,1.0,287,6585,0.94263,1.05756
1,1,1996,Single-person household,Tenant,Yes,0.05259,61,6585,0.04592,0.06016
2,2,1996,Single-person household,Tenant,No,0.94741,1079,6585,0.91475,0.97866
3,3,1996,Couple without children,Owner,Yes,0.07882,55,6585,0.06756,0.09394
4,4,1996,Couple without children,Owner,No,0.92118,636,6585,0.87788,0.96348
5,5,1996,Couple without children,Tenant,Yes,0.08028,101,6585,0.06728,0.09224
6,6,1996,Couple without children,Tenant,No,0.91972,1049,6585,0.88218,0.95718
7,7,1996,Single parent,Owner,No,1.0,94,6585,0.89191,1.12923
8,8,1996,Single parent,Tenant,Yes,0.20321,48,6585,0.15726,0.25109
9,9,1996,Single parent,Tenant,No,0.79679,237,6585,0.72444,0.85638
10,10,1996,Couple with children,Owner,Yes,0.12753,164,6585,0.11308,0.13983
11,11,1996,Couple with children,Owner,No,0.87247,1009,6585,0.83159,0.91128
12,12,1996,Couple with children,Tenant,Yes,0.15738,225,6585,0.14258,0.17448
13,13,1996,Couple with children,Tenant,No,0.84262,1288,6585,0.80234,0.88736
14,14,1996,Multi-generational household,Owner,No,1.0,60,6585,0.79588,1.19905
15,15,1996,Multi-generational household,Tenant,No,1.0,50,6585,0.7977,1.27124
16,16,1996,Other Combinations,Owner,No,1.0,59,6585,0.82371,1.13932
17,17,1996,Other Combinations,Tenant,No,1.0,83,6585,0.85997,1.18172
18,18,2001,Single-person household,Owner,Yes,0.04054,34,11647,0.03593,0.04592
19,19,2001,Single-person household,Owner,No,0.95946,739,11647,0.92643,0.99298
20,20,2001,Single-person household,Tenant,Yes,0.04829,100,11647,0.04378,0.05255
21,21,2001,Single-person household,Tenant,No,0.95171,2053,11647,0.93281,0.97254
22,22,2001,Couple without children,Owner,Yes,0.05437,93,11647,0.04841,0.05988
23,23,2001,Couple without children,Owner,No,0.94563,1688,11647,0.9212,0.9675
24,24,2001,Couple without children,Tenant,Yes,0.07381,143,11647,0.06682,0.08186
25,25,2001,Couple without children,Tenant,No,0.92619,1665,11647,0.90209,0.95165
26,26,2001,Single parent,Owner,No,1.0,182,11647,0.90881,1.07523
27,27,2001,Single parent,Tenant,Yes,0.08057,44,11647,0.06656,0.09475
28,28,2001,Single parent,Tenant,No,0.91943,470,11647,0.87161,0.9735
29,29,2001,Couple with children,Owner,Yes,0.09773,236,11647,0.09071,0.1056
30,30,2001,Couple with children,Owner,No,0.90227,2103,11647,0.87927,0.92383
31,31,2001,Couple with children,Tenant,Yes,0.11433,218,11647,0.10424,0.12353
32,32,2001,Couple with children,Tenant,No,0.88567,1618,11647,0.86026,0.9149
33,33,2001,Multi-generational household,Owner,No,1.0,103,11647,0.89955,1.14079
34,34,2001,Multi-generational household,Tenant,No,1.0,42,11647,0.80466,1.22195
35,35,2001,Other Combinations,Owner,No,1.0,60,11647,0.87186,1.11711
36,36,2001,Other Combinations,Tenant,No,1.0,56,11647,0.85326,1.14732
37,37,2006,Single-person household,Owner,No,1.0,928,12180,0.97387,1.03968
38,38,2006,Single-person household,Tenant,Yes,0.03109,71,12180,0.02676,0.03531
39,39,2006,Single-person household,Tenant,No,0.96891,2260,12180,0.94672,0.99162
40,40,2006,Couple without children,Owner,Yes,0.04683,104,12180,0.03916,0.054
41,41,2006,Couple without children,Owner,No,0.95317,2204,12180,0.92419,0.9844
42,42,2006,Couple without children,Tenant,Yes,0.05261,97,12180,0.04444,0.05951
43,43,2006,Couple without children,Tenant,No,0.94739,1753,12180,0.92167,0.98282
44,44,2006,Single parent,Owner,No,1.0,213,12180,0.91326,1.10417
45,45,2006,Single parent,Tenant,Yes,0.0715,41,12180,0.05816,0.09145
46,46,2006,Single parent,Tenant,No,0.9285,506,12180,0.87914,0.97709
47,47,2006,Couple with children,Owner,Yes,0.0878,191,12180,0.07591,0.09966
48,48,2006,Couple with children,Owner,No,0.9122,2184,12180,0.87154,0.94581
49,49,2006,Couple with children,Tenant,Yes,0.06894,112,12180,0.05969,0.07933
50,50,2006,Couple with children,Tenant,No,0.93106,1349,12180,0.88809,0.97371
51,51,2006,Multi-generational household,Owner,No,1.0,66,12180,0.77666,1.25972
52,52,2006,Other Combinations,Owner,No,1.0,59,12180,0.79942,1.22676
53,53,2006,Other Combinations,Tenant,No,1.0,42,12180,0.69829,1.26098
54,54,2011,Single-person household,Owner,No,1.0,1047,11987,0.9645,1.0394
55,55,2011,Single-person household,Tenant,Yes,0.02593,66,11987,0.02206,0.02998
56,56,2011,Single-person household,Tenant,No,0.97407,2369,11987,0.94603,0.99471
57,57,2011,Couple without children,Owner,Yes,0.03206,78,11987,0.02682,0.03752
58,58,2011,Couple without children,Owner,No,0.96794,2436,11987,0.9406,0.99697
59,59,2011,Couple without children,Tenant,Yes,0.04931,83,11987,0.0404,0.05962
60,60,2011,Couple without children,Tenant,No,0.95069,1774,11987,0.91328,0.99343
61,61,2011,Single parent,Owner,No,1.0,216,11987,0.90312,1.12428
62,62,2011,Single parent,Tenant,No,1.0,532,11987,0.91564,1.09766
63,63,2011,Couple with children,Owner,Yes,0.05838,109,11987,0.04671,0.07252
64,64,2011,Couple with children,Owner,No,0.94162,1921,11987,0.89921,0.98768
65,65,2011,Couple with children,Tenant,Yes,0.04921,80,11987,0.03893,0.06489
66,66,2011,Couple with children,Tenant,No,0.95079,1130,11987,0.89269,1.01263
67,67,2011,Multi-generational household,Owner,No,1.0,55,11987,0.72725,1.27304
68,68,2011,Other Combinations,Owner,No,1.0,41,11987,0.72223,1.37162
69,69,2011,Other Combinations,Tenant,No,1.0,50,11987,0.79941,1.22794
70,70,2016,Single-person household,Owner,No,1.0,917,14255,0.95533,1.04775
71,71,2016,Single-person household,Tenant,Yes,0.02457,49,14255,0.01983,0.02909
72,72,2016,Single-person household,Tenant,No,0.97543,2406,14255,0.94937,1.00449
73,73,2016,Couple without children,Owner,Yes,0.02172,60,14255,0.01679,0.02675
74,74,2016,Couple without children,Owner,No,0.97828,2162,14255,0.94472,1.01864
75,75,2016,Couple without children,Tenant,Yes,0.03204,47,14255,0.02506,0.04096
76,76,2016,Couple without children,Tenant,No,0.96796,1828,14255,0.92483,1.01384
77,77,2016,Single parent,Owner,No,1.0,367,14255,0.89904,1.10234
78,78,2016,Single parent,Tenant,Yes,0.04086,45,14255,0.02967,0.05443
79,79,2016,Single parent,Tenant,No,0.95914,1097,14255,0.89971,1.03802
80,80,2016,Couple with children,Owner,Yes,0.04033,118,14255,0.03166,0.05011
81,81,2016,Couple with children,Owner,No,0.95967,2544,14255,0.90645,1.00126
82,82,2016,Couple with children,Tenant,Yes,0.03527,81,14255,0.0274,0.04451
83,83,2016,Couple with children,Tenant,No,0.96473,2247,14255,0.91163,1.01572
84,84,2016,Multi-generational household,Owner,No,1.0,52,14255,0.69264,1.36535
85,85,2016,Multi-generational household,Tenant,No,1.0,52,14255,0.6625,1.40604
86,86,2016,Other Combinations,Owner,No,1.0,47,14255,0.76218,1.28158
87,87,2016,Other Combinations,Tenant,No,1.0,136,14255,0.85284,1.15121
88,88,2021,Single-person household,Owner,No,1.0,850,10853,0.94683,1.04999
89,89,2021,Single-person household,Tenant,No,1.0,2300,10853,0.95516,1.04398
90,90,2021,Couple without children,Owner,Yes,0.02804,51,10853,0.01907,0.03967
91,91,2021,Couple without children,Owner,No,0.97196,1866,10853,0.92085,1.01921
92,92,2021,Couple without children,Tenant,No,1.0,1456,10853,0.94128,1.06513
93,93,2021,Single parent,Owner,No,1.0,246,10853,0.82569,1.16829
94,94,2021,Single parent,Tenant,No,1.0,625,10853,0.9018,1.12371
95,95,2021,Couple with children,Owner,Yes,0.03007,72,10853,0.0224,0.04014
96,96,2021,Couple with children,Owner,No,0.96993,1800,10853,0.9112,1.02278
97,97,2021,Couple with children,Tenant,Yes,0.02565,38,10853,0.01759,0.03459
98,98,2021,Couple with children,Tenant,No,0.97435,1227,10853,0.90094,1.0394
99,99,2021,Multi-generational household,Owner,No,1.0,39,10853,0.6897,1.47247
100,100,2021,Multi-generational household,Tenant,No,1.0,34,10853,0.50267,1.62694
101,101,2021,Other Combinations,Owner,No,1.0,104,10853,0.77267,1.25423
102,102,2021,Other Combinations,Tenant,No,1.0,145,10853,0.78962,1.21595
