"year","age_gr","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2008","17-34","3.75","1.5","2844","1","1","5","10","16","3.61","3.89","0","19","2","3"
"2008","35-65","13.28","10.5","8004","1","5","20","29","40","13.05","13.51","0","51","12","12"
"2008","66 +","22.3","17.5","197","3","7","38","46","58","20","24.6","0","59","12","21"
"2009","17-34","3.73","1.5","2597","1","1","5","10","16","3.59","3.87","0","18","2","3"
"2009","35-65","13.56","10.5","7463","1","5","20","29","40","13.32","13.8","0","48","12","13"
"2009","66 +","21.48","16.5","224","2","5","37","47","59","19.37","23.59","0","64","12","19"
"2010","17-34","3.9","2.5","3733","1","1","5","10","16","3.77","4.03","0","19","3","3"
"2010","35-65","13.75","10.5","10005","1","4","20","30","40","13.55","13.95","0","49","10","11"
"2010","66 +","19.46","13.5","207","2","6","31","42","60","17.3","21.62","0","61","10","19"
"2011","17-34","3.71","2.5","4158","0","1","5","9","15","3.59","3.83","0","20","2","3"
"2011","35-65","13.66","11.5","12440","1","4","21","30","41","13.48","13.84","0","48","11","11"
"2011","66 +","21.21","18.5","223","2","7","33","48","56","19.09","23.33","0","62","12","19"
"2012","17-34","3.72","1.5","3961","1","1","5","9","16","3.6","3.84","0","19","2","2"
"2012","35-65","13.8","11.5","12361","1","4","21","30","41","13.62","13.98","0","51","11","11"
"2012","66 +","17.59","12.5","282","2","5","28","42","51","15.9","19.28","0","63","11","14"
"2013","17-34","3.65","1.5","4969","0","1","5","9","15","3.55","3.75","0","19","2","2"
"2013","35-65","13.54","10.5","13656","1","4","21","29","41","13.37","13.71","0","50","9","10"
"2013","66 +","18.26","11.5","294","2","6","30","43","53","16.51","20.01","0","64","10","15"
"2014","17-34","3.55","1.5","4208","0","1","5","9","15","3.44","3.66","0","19","2","2"
"2014","35-65","13.78","11.5","12133","1","4","21","30","42","13.6","13.96","0","50","10","10"
"2014","66 +","18.55","13.5","327","2","5","31","41","54","16.87","20.23","0","61","11","16"
"2015","17-34","3.47","1.5","4262","0","1","5","8","15","3.37","3.57","0","19","2","2"
"2015","35-65","13.52","10.5","11853","1","4","21","30","43","13.33","13.71","0","50","9","10"
"2015","66 +","18.07","12.5","328","2","5","31","42","52","16.47","19.67","0","58","11","15"
"2016","17-34","3.41","1.5","3844","0","1","5","8","16","3.31","3.51","0","18","2","2"
"2016","35-65","13.53","10.5","11196","1","4","21","30","43","13.33","13.73","0","51","9","10"
"2016","66 +","17.19","12.5","332","2","5","26","41","55","15.67","18.71","0","62","11","15"
"2017","17-34","3.41","1.5","4462","0","1","5","8","15","3.32","3.5","0","19","2","2"
"2017","35-65","13.62","10.5","12614","1","4","21","30","43","13.43","13.81","0","50","9","10"
"2017","66 +","17.56","12.5","401","1","5","27","41","54","16.12","19","0","60","11","15"
"2018","17-34","3.36","1.5","4491","0","1","4","8","15","3.27","3.45","0","18","2","2"
"2018","35-65","13.48","10.5","12157","1","4","21","30","43","13.29","13.67","0","51","9","10"
"2018","66 +","17.18","11.5","427","2","5","29","41","55","15.81","18.55","0","61","10","14"
"2019","17-34","3.4","1.5","4291","0","1","5","8","15","3.31","3.49","0","19","2","2"
"2019","35-65","13.64","10.5","13012","1","4","21","30","43","13.45","13.83","0","50","10","11"
"2019","66 +","18.8","14.5","644","2","5","29","44","58","17.55","20.05","0","68","17","21"
"2020","17-34","3.48","1.5","5149","1","1","5","8","16","3.4","3.56","0","18","1","2"
"2020","35-65","13.75","10.5","12577","1","4","21","30","43","13.56","13.94","0","50","9","9"
"2020","66 +","17.29","12.5","555","2","4","29","39","57","16.04","18.54","0","65","14","18"
