year,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1993,5th Quintile,1795,11.97692,11.50003,12.45381,3.00000,9.00000,19.00000,0.00000,43.00000,9.00000,8.00000,10.00000
1994,1st Quintile,888,6.48346,5.97289,6.99403,1.00000,3.00000,10.00000,0.00000,23.50000,3.00000,2.00000,4.00000
1994,2nd Quintile,1412,8.11798,7.67222,8.56374,2.00000,4.00000,13.00000,0.00000,29.50000,4.00000,4.00000,5.00000
1994,3rd Quintile,1718,9.72653,9.27010,10.18296,2.00000,5.00000,15.00000,0.00000,34.50000,5.00000,5.00000,6.02500
1994,4th Quintile,1743,10.84067,10.36949,11.31185,3.00000,7.00000,17.00000,0.00000,38.00000,7.00000,6.00000,8.00000
1994,5th Quintile,1778,12.10094,11.61973,12.58215,3.00000,9.00000,19.00000,0.00000,43.00000,9.00000,8.00000,10.00000
1995,1st Quintile,964,5.16592,4.73749,5.59434,1.00000,2.00000,6.00000,0.00000,13.50000,2.00000,2.00000,3.00000
1995,2nd Quintile,1481,8.07856,7.64091,8.51620,2.00000,4.00000,12.00000,0.00000,27.00000,4.00000,4.00000,5.00000
1995,3rd Quintile,1720,9.16408,8.71868,9.60949,2.00000,5.00000,14.00000,0.00000,32.00000,5.00000,5.00000,5.02500
1995,4th Quintile,1850,10.65550,10.19357,11.11743,3.00000,7.00000,16.00000,0.00000,35.50000,7.00000,6.00000,7.00000
1995,5th Quintile,1800,12.31926,11.83282,12.80571,4.00000,9.00000,19.00000,0.00000,41.50000,9.00000,8.00000,10.00000
1996,1st Quintile,985,5.51348,5.07045,5.95650,1.00000,2.00000,7.00000,0.00000,16.00000,2.00000,2.00000,3.00000
1996,2nd Quintile,1451,7.69952,7.27625,8.12278,2.00000,4.94017,11.00000,0.00000,24.50000,5.00000,4.00000,5.00000
1996,3rd Quintile,1626,9.47001,9.02070,9.91931,2.00000,6.00000,14.63122,0.00000,33.57804,6.00000,5.00000,6.00000
1996,4th Quintile,1834,10.41339,9.97343,10.85334,3.00000,7.00000,16.00000,0.00000,35.50000,7.00000,6.00000,7.00000
1996,5th Quintile,1733,12.57716,12.07467,13.07965,4.00000,9.00000,20.00000,0.00000,44.00000,9.00000,8.00000,10.00000
1997,1st Quintile,854,5.85163,5.33318,6.37009,1.00000,2.00000,7.00000,0.00000,16.00000,2.00000,2.00000,3.00000
1997,2nd Quintile,1412,7.69622,7.28842,8.10401,2.00000,5.00000,11.00000,0.00000,24.50000,5.00000,5.00000,5.00000
1997,3rd Quintile,1516,8.91189,8.46237,9.36142,2.00000,6.00000,14.00000,0.00000,32.00000,6.00000,5.00000,6.00000
1997,4th Quintile,1831,10.91397,10.46773,11.36021,3.00000,7.00000,17.00000,0.00000,38.00000,7.00000,7.00000,8.00000
1997,5th Quintile,1752,12.68283,12.18128,13.18437,4.00000,9.00000,20.00000,0.00000,44.00000,9.00000,8.00000,10.00000
1998,1st Quintile,866,5.40969,4.93784,5.88155,1.00000,3.00000,7.00000,0.00000,16.00000,3.00000,2.00000,3.00000
1998,2nd Quintile,1331,8.07019,7.62553,8.51486,2.00000,5.00000,11.00000,0.00000,24.50000,5.00000,4.00000,6.00000
1998,3rd Quintile,1494,9.42359,8.95621,9.89098,2.00000,6.00000,14.00000,0.00000,32.00000,6.00000,6.00000,7.00000
1998,4th Quintile,1754,10.70125,10.25477,11.14773,3.00000,8.00000,17.00000,0.00000,38.00000,8.00000,7.00000,8.00000
1998,5th Quintile,1632,12.77283,12.24776,13.29791,4.00000,9.00000,20.00000,0.00000,44.00000,9.00000,8.00000,10.00000
1999,1st Quintile,1039,5.46360,5.02736,5.89985,1.00000,2.00000,6.00000,0.00000,13.50000,2.00000,2.00000,3.00000
1999,2nd Quintile,1524,7.42275,7.02684,7.81865,2.00000,4.00000,10.00000,0.00000,22.00000,4.00000,4.00000,5.00000
