year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,10.74838,10.51707,10.97969,3.00000,8.00000,16.00000,0.00000,35.50000,7046.00000
1985,10.48347,10.24459,10.72236,3.00000,7.00000,15.00000,0.00000,33.00000,6231.00000
1986,,,,,,,,,
1987,,,,,,,,,
1988,10.64389,10.38977,10.89800,2.00000,8.00000,16.00000,0.00000,37.00000,5776.00000
1989,,,,,,,,,
1990,11.10594,10.89264,11.31923,2.00000,8.00000,17.00000,0.00000,39.50000,8890.00000
1991,10.43427,10.21780,10.65074,2.00000,7.00000,17.00000,0.00000,39.50000,8611.00000
1992,10.11417,9.89408,10.33427,2.00000,6.00000,16.00000,0.00000,37.00000,8084.00000
1993,9.85788,9.64170,10.07407,2.00000,6.00000,15.00000,0.00000,34.50000,7844.00000
1994,10.10793,9.88704,10.32882,2.00000,6.00000,16.00000,0.00000,37.00000,7540.00000
1995,9.82316,9.60557,10.04076,2.00000,6.00000,15.00000,0.00000,34.50000,7816.00000
1996,9.82893,9.61228,10.04559,2.00000,6.00000,15.00000,0.00000,34.50000,7629.00000
1997,9.97920,9.75833,10.20008,2.00000,6.00000,16.00000,0.00000,37.00000,7366.00000
1998,10.10135,9.88904,10.31367,2.00000,7.00000,15.00000,0.00000,34.50000,8093.00000
1999,9.87944,9.66646,10.09242,2.00000,7.00000,15.00000,0.00000,34.50000,8040.00000
2000,9.93752,9.77300,10.10204,2.00000,7.00000,15.00000,0.00000,34.50000,13690.00000
2001,9.99888,9.82625,10.17151,2.00000,7.00000,15.00000,0.00000,34.50000,12551.00000
2002,10.17955,10.01144,10.34767,2.00000,7.00000,15.00000,0.00000,34.50000,13337.00000
2003,10.41049,10.23610,10.58489,3.00000,7.00000,15.00000,0.00000,33.00000,12604.00000
2004,10.58459,10.40699,10.76220,3.00000,7.00000,15.00000,0.00000,33.00000,12200.00000
2005,10.49373,10.31369,10.67377,3.00000,7.00000,15.00000,0.00000,33.00000,11558.00000
2006,10.63194,10.45329,10.81060,3.00000,7.00000,16.00000,0.00000,35.50000,12171.00000
2007,10.67029,10.48651,10.85408,2.00000,7.00000,16.00000,0.00000,37.00000,11591.00000
2008,10.72255,10.53134,10.91376,2.00000,7.00000,17.00000,0.00000,39.50000,11045.00000
2009,10.88884,10.68755,11.09012,2.00000,8.00000,17.00000,0.00000,39.50000,10284.00000
2010,11.10322,10.92975,11.27670,2.00000,8.00000,18.00000,0.00000,42.00000,13945.00000
2011,10.98783,10.82911,11.14654,2.00000,8.00000,17.00000,0.00000,39.50000,16821.00000
2012,11.01565,10.85637,11.17493,2.00000,7.00000,17.00000,0.00000,39.50000,16604.00000
2013,10.85696,10.70646,11.00747,2.00000,7.00000,17.00000,0.00000,39.50000,18919.00000
2014,10.99955,10.83630,11.16279,2.00000,7.00000,17.00000,0.00000,39.50000,16668.00000
2015,10.82050,10.65600,10.98500,2.00000,7.00000,17.00000,0.00000,39.50000,16443.00000
2016,10.85705,10.68664,11.02746,2.00000,7.00000,17.00000,0.00000,39.50000,15372.00000
2017,10.91484,10.75374,11.07595,2.00000,7.00000,17.00000,0.00000,39.50000,17477.00000
2018,10.85606,10.69248,11.01964,2.00000,7.00000,17.00000,0.00000,39.50000,17075.00000
2019,11.01683,10.85517,11.17850,2.00000,7.00000,18.00000,0.00000,42.00000,17917.00000
2020,11.05404,10.89449,11.21359,2.00000,7.00000,17.00000,0.00000,39.50000,18252.00000
2021,10.67028,10.47578,10.86478,2.00000,7.00000,17.00000,0.00000,39.50000,11892.00000
2022,10.59378,10.43856,10.74900,2.00000,6.00000,16.00000,0.00000,37.00000,18900.00000
