"year","bildungsniveau","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","3.76","1.5","179","1","1","4","10","22","2.96","4.56","0","25","2","3"
"1995","(Fach-)Abitur","2","6.03","2.5","167","1","2","7","15","30","4.93","7.13","0","32","3","4"
"1995","(Fach-)Abitur","3","6.92","4.5","117","1","2","9","16","37","5.44","8.4","0","45","3","5"
"1995","(Fach-)Abitur","4","8.08","3.5","102","1","2","10","22","33","6.37","9.79","0","40","3","7"
"1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","7.86","6.5","53","2","3","12","14","23","6.2","9.52","1","23","5","9"
"1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","8.03","4.5","127","1","1","14","22","27","6.53","9.53","0","33","4","10"
"1995","(noch) kein Abschluss","2","8.99","5.5","88","1","2","13","24","31","7.02","10.96","0","31","5","12"
"1995","(noch) kein Abschluss","3","10.45","4.5","39","1","3","19","26","28","7.37","13.53","0","30","5","17"
"1995","(noch) kein Abschluss","4","","","","","","","","","","","","","",""
"1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1995","AkademikerIn","1 Einkommensschwächstes Quintil","5.72","2.5","217","1","1","6","15","35","4.58","6.86","0","51","3","4"
"1995","AkademikerIn","2","7.74","3.5","333","1","2","11","21","37","6.8","8.68","0","42","4","5"
"1995","AkademikerIn","3","10.03","4.5","304","1","2","15","25","38","8.93","11.13","0","45","4","6"
"1995","AkademikerIn","4","10.37","6.5","265","1","3","16","26","37","9.17","11.57","0","39","5","6"
"1995","AkademikerIn","5 Einkommensstärkstes Quintil","12.65","9.5","221","1","3","22","29","38","11.27","14.03","0","42","5","9"
"1995","Hauptschule","1 Einkommensschwächstes Quintil","9.13","4.5","1024","1","2","15","24","39","8.57","9.69","0","43","4","5"
"1995","Hauptschule","2","12.22","8.5","1001","1","3","19","29","43","11.59","12.85","0","50","6","8"
"1995","Hauptschule","3","12.34","8.5","613","1","4","19","28","42","11.52","13.16","0","46","7","10"
"1995","Hauptschule","4","13.16","9.5","391","1","4","21","30","41","12.12","14.2","0","44","7","10"
"1995","Hauptschule","5 Einkommensstärkstes Quintil","15.12","13","117","3","5","22","33","40","13.16","17.08","0","40","8","16"
"1995","Realschule","1 Einkommensschwächstes Quintil","6.3","2.5","681","1","1","8","17","37","5.79","6.81","0","43","3","3"
"1995","Realschule","2","7.08","3.5","665","1","2","9","19","32","6.54","7.62","0","41","3","4"
"1995","Realschule","3","9.99","5.5","415","1","3","15","26","34","9.13","10.85","0","38","5","5"
"1995","Realschule","4","10.53","6.5","320","1","3","16","25","37","9.57","11.49","0","38","5","7"
"1995","Realschule","5 Einkommensstärkstes Quintil","12.96","8.5","139","2","4","18","30","45","11.27","14.65","0","45","6","12"
"1996","(Fach-)Abitur","1 Einkommensschwächstes Quintil","3.91","1.5","161","1","1","4","9","27","3.12","4.7","0","27","2","3"
