year,bula_h,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Berlin,1st Quintile,134,7.2803014353648665,6.62117490723096,7.939427963498773,2.0,4.0,11.0,0.0,24.5,4.0,3.0,5.0
1984,Berlin,2nd Quintile,81,9.476891979819806,8.645064040723126,10.308719918916486,3.0,6.0,15.0,0.0,28.0,6.0,2.0,7.0
1984,Berlin,3rd Quintile,,,,,,,,,,,,
1984,Berlin,4th Quintile,,,,,,,,,,,,
1984,Berlin,5th Quintile,,,,,,,,,,,,
1985,Schleswig-Holstein,1st Quintile,93,9.771099335562988,8.878717359737152,10.663481311388825,3.0,7.0,15.0,0.0,33.0,7.0,3.0,9.0
1985,Schleswig-Holstein,2nd Quintile,56,10.950549452365077,9.857202710540966,12.04389619418919,4.049073392395355,7.604224188614934,17.98260944800139,0.0,32.0,8.0,3.0,10.0
1985,Schleswig-Holstein,3rd Quintile,30,11.676028263491746,10.201151114576463,13.15090541240703,5.121089754566871,9.993677137062377,16.068095977839732,0.0,31.0,10.0,7.0,13.0
1985,Schleswig-Holstein,4th Quintile,,,,,,,,,,,,
1985,Schleswig-Holstein,5th Quintile,,,,,,,,,,,,
1985,Hamburg,1st Quintile,70,6.4103122950802405,5.503732426672064,7.316892163488417,1.0,3.0,11.0,0.0,26.0,3.0,0.0,5.0
1985,Hamburg,2nd Quintile,47,10.222064608525598,8.940519146988198,11.503610070062997,3.0,7.0,15.789220669115887,1.0,34.973051672789715,7.0,4.0,10.0
1985,Hamburg,3rd Quintile,,,,,,,,,,,,
1985,Hamburg,4th Quintile,,,,,,,,,,,,
1985,Hamburg,5th Quintile,,,,,,,,,,,,
1985,Lower Saxony,1st Quintile,271,8.48769011524892,8.006519738564371,8.96886049193347,2.0,6.0,12.0,0.0,27.0,6.0,5.0,8.0
1985,Lower Saxony,2nd Quintile,173,11.743074702646068,11.034972916787405,12.45117648850473,4.0,9.0,15.0,0.0,31.5,9.0,7.0,10.0
1985,Lower Saxony,3rd Quintile,83,12.235465729531235,11.278345555591962,13.192585903470508,5.0,10.0,16.55700995193141,0.0,33.89252487982853,10.0,7.0,13.0
1985,Lower Saxony,4th Quintile,,,,,,,,,,,,
1985,Lower Saxony,5th Quintile,,,,,,,,,,,,
1985,Bremen,1st Quintile,,,,,,,,,,,,
1985,Bremen,2nd Quintile,,,,,,,,,,,,
1985,Bremen,3rd Quintile,,,,,,,,,,,,
1985,Bremen,4th Quintile,,,,,,,,,,,,
1985,North Rhine-Westphalia,1st Quintile,842,9.573352153221657,9.271367888443468,9.875336417999847,2.0,6.0,15.0,0.0,34.5,6.0,5.0,6.0
1985,North Rhine-Westphalia,2nd Quintile,477,11.170595626251144,10.755594458015079,11.58559679448721,4.0,8.0,16.0,0.0,34.0,8.0,6.0,9.0
1985,North Rhine-Westphalia,3rd Quintile,216,11.413875468268895,10.823107061492191,12.004643875045598,4.906120585728055,10.0,15.0,0.0,30.14081912140792,10.0,8.0,12.0
1985,North Rhine-Westphalia,4th Quintile,67,16.828264598273478,15.61162555042905,18.044903646117906,9.250010108373313,15.0,25.0,0.0,43.0,15.0,11.974999999999994,17.0
1985,North Rhine-Westphalia,5th Quintile,,,,,,,,,,,,
1985,Hesse,1st Quintile,321,8.637195036841208,8.16510955104327,9.109280522639144,2.0,5.0,13.0,0.0,29.5,5.0,3.0,6.0
1985,Hesse,2nd Quintile,184,12.186141934393875,11.452249232836724,12.920034635951026,4.0,9.0,16.0,0.0,34.0,9.0,6.0,11.0
1985,Hesse,3rd Quintile,102,12.577993156581226,11.61773791317622,13.53824839998623,4.0,9.920099761278683,20.0,0.0,39.0,10.0,8.0,12.024999999999999
1985,Hesse,4th Quintile,,,,,,,,,,,,
1985,Hesse,5th Quintile,,,,,,,,,,,,
1985,"Rhineland-Palatinate, Saarland",1st Quintile,196,10.805975718245636,10.092500052819615,11.519451383671656,3.0,8.0,14.0,0.0,30.5,8.0,7.0,9.0
1985,"Rhineland-Palatinate, Saarland",2nd Quintile,131,10.032960882155429,9.30477090167596,10.761150862634898,3.2413155632796684,7.0,14.0,0.0,30.1380266550805,7.0,5.0,8.0
1985,"Rhineland-Palatinate, Saarland",3rd Quintile,50,10.372363154220047,9.179100069476323,11.56562623896377,3.245566515517881,7.4154800691276925,15.874642340622186,1.0,34.818256078278644,7.0,4.0,9.0
1985,"Rhineland-Palatinate, Saarland",4th Quintile,,,,,,,,,,,,
1985,"Rhineland-Palatinate, Saarland",5th Quintile,,,,,,,,,,,,
1985,Baden-Wuerttemberg,1st Quintile,682,9.220180686997601,8.900893470619438,9.539467903375764,2.0,6.0,14.0,0.0,32.0,6.0,4.0,7.0
1985,Baden-Wuerttemberg,2nd Quintile,347,11.217556167886567,10.698922782064336,11.736189553708797,3.0,8.0,15.0,0.0,33.0,8.0,6.974999999999994,9.0
1985,Baden-Wuerttemberg,3rd Quintile,156,11.120041761543966,10.47632106524792,11.763762457840013,4.0,9.0,17.0,0.0,35.0,9.0,6.0,11.024999999999999
1985,Baden-Wuerttemberg,4th Quintile,49,14.487887921069484,12.95515291226551,16.02062292987346,5.749334427326808,9.841354783499384,23.52105863933084,0.0,44.0,10.0,-1.0,13.0
1985,Baden-Wuerttemberg,5th Quintile,,,,,,,,,,,,
1985,Bavaria,1st Quintile,547,8.980060128535307,8.610131547034152,9.349988710036461,2.0,6.0,13.0,0.0,29.5,6.0,5.974999999999994,7.0
1985,Bavaria,2nd Quintile,327,11.331709976211991,10.76740459989733,11.896015352526653,4.0,7.0,15.0,0.0,31.5,7.0,4.0,7.0249999999999995
1985,Bavaria,3rd Quintile,153,13.671755029881947,12.824436824546687,14.519073235217206,4.982681393510928,11.576347644852842,22.0,0.0,46.0,12.0,9.0,16.0
1985,Bavaria,4th Quintile,47,15.440857620403444,14.123714455487645,16.75800078531924,7.0,14.93629642868191,21.54697683103928,1.0,36.0,14.0,10.0,16.049999999999997
1985,Bavaria,5th Quintile,,,,,,,,,,,,
1985,Berlin,1st Quintile,106,7.351195649269037,6.664673608227501,8.037717690310574,2.0,5.0,10.939815419367127,0.0,24.34953854841782,5.0,3.9749999999999943,7.0
1985,Berlin,2nd Quintile,60,9.474130922907335,8.420614804503074,10.527647041311596,3.0,6.0,16.0,0.0,29.0,6.0,2.0,8.0
1985,Berlin,3rd Quintile,40,10.295145440744811,9.026780936584231,11.563509944905391,2.0,6.0,18.477853116298043,0.0,27.0,6.0,-3.0,8.0
1985,Berlin,4th Quintile,,,,,,,,,,,,
1985,Berlin,5th Quintile,,,,,,,,,,,,
1986,Schleswig-Holstein,1st Quintile,,,,,,,,,,,,
1986,Schleswig-Holstein,2nd Quintile,,,,,,,,,,,,
1986,Schleswig-Holstein,3rd Quintile,,,,,,,,,,,,
1986,Schleswig-Holstein,4th Quintile,,,,,,,,,,,,
1986,Schleswig-Holstein,5th Quintile,,,,,,,,,,,,
1986,Hamburg,1st Quintile,,,,,,,,,,,,
1986,Hamburg,2nd Quintile,,,,,,,,,,,,
1986,Hamburg,3rd Quintile,,,,,,,,,,,,
1986,Hamburg,4th Quintile,,,,,,,,,,,,
1986,Hamburg,5th Quintile,,,,,,,,,,,,
1986,Lower Saxony,1st Quintile,51,2.1190064054767452,1.4942027524429013,2.743810058510589,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0
1986,Lower Saxony,2nd Quintile,,,,,,,,,,,,
1986,Lower Saxony,3rd Quintile,,,,,,,,,,,,
1986,Lower Saxony,4th Quintile,,,,,,,,,,,,
1986,Lower Saxony,5th Quintile,,,,,,,,,,,,
1986,Bremen,1st Quintile,,,,,,,,,,,,
1986,Bremen,2nd Quintile,,,,,,,,,,,,
1986,Bremen,3rd Quintile,,,,,,,,,,,,
1986,Bremen,4th Quintile,,,,,,,,,,,,
1986,North Rhine-Westphalia,1st Quintile,91,2.439641940295684,2.043853324210303,2.835430556381065,0.0,1.0,2.087671435002643,0.0,5.219178587506608,1.0,1.0,1.0
1986,North Rhine-Westphalia,2nd Quintile,59,4.162891621714863,3.517842458330376,4.807940785099349,1.0,1.0,6.0,0.0,13.5,1.0,-2.0250000000000057,1.0
1986,North Rhine-Westphalia,3rd Quintile,42,3.15698774260608,2.5788274104209226,3.735148074791238,1.0,1.0,5.0,0.0,11.0,1.0,-1.0,1.0
1986,North Rhine-Westphalia,4th Quintile,,,,,,,,,,,,
1986,North Rhine-Westphalia,5th Quintile,,,,,,,,,,,,
1986,Hesse,1st Quintile,43,3.249916063059881,2.4531426133651086,4.046689512754654,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
1986,Hesse,2nd Quintile,35,3.622032090606151,2.5297991076872863,4.714265073525016,1.0,1.0,3.0314896377122573,0.0,6.078724094280643,1.0,1.0,1.0
1986,Hesse,3rd Quintile,,,,,,,,,,,,
1986,Hesse,4th Quintile,,,,,,,,,,,,
1986,Hesse,5th Quintile,,,,,,,,,,,,
1986,"Rhineland-Palatinate, Saarland",1st Quintile,31,2.994316585069501,2.0592878093843128,3.929345360754689,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1986,"Rhineland-Palatinate, Saarland",2nd Quintile,,,,,,,,,,,,
1986,"Rhineland-Palatinate, Saarland",3rd Quintile,,,,,,,,,,,,
1986,"Rhineland-Palatinate, Saarland",4th Quintile,,,,,,,,,,,,
1986,"Rhineland-Palatinate, Saarland",5th Quintile,,,,,,,,,,,,
1986,Baden-Wuerttemberg,1st Quintile,87,2.864643815705096,2.290671877958437,3.4386157534517547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1986,Baden-Wuerttemberg,2nd Quintile,54,1.6229073265309168,1.3263367216427078,1.919477931419126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1986,Baden-Wuerttemberg,3rd Quintile,30,5.219353203957854,3.4886828487559876,6.950023559159721,0.0,1.0,5.4885541339589325,0.0,13.721385334897331,1.0,0.0,1.0
1986,Baden-Wuerttemberg,4th Quintile,,,,,,,,,,,,
1986,Baden-Wuerttemberg,5th Quintile,,,,,,,,,,,,
1986,Bavaria,1st Quintile,57,3.515377700650538,2.618721279594386,4.412034121706689,0.0,1.0,1.0,0.0,2.5,1.0,1.0,1.0
1986,Bavaria,2nd Quintile,51,3.892004743008791,3.0688842573767525,4.715125228640829,1.0,1.0,3.0,0.0,6.0,1.0,1.0,1.0
1986,Bavaria,3rd Quintile,,,,,,,,,,,,
1986,Bavaria,4th Quintile,,,,,,,,,,,,
1986,Bavaria,5th Quintile,,,,,,,,,,,,
1986,Berlin,1st Quintile,,,,,,,,,,,,
1986,Berlin,2nd Quintile,,,,,,,,,,,,
1986,Berlin,3rd Quintile,,,,,,,,,,,,
1986,Berlin,4th Quintile,,,,,,,,,,,,
1986,Berlin,5th Quintile,,,,,,,,,,,,
1987,Schleswig-Holstein,1st Quintile,,,,,,,,,,,,
1987,Schleswig-Holstein,2nd Quintile,,,,,,,,,,,,
1987,Schleswig-Holstein,3rd Quintile,,,,,,,,,,,,
1987,Schleswig-Holstein,4th Quintile,,,,,,,,,,,,
1987,Schleswig-Holstein,5th Quintile,,,,,,,,,,,,
1987,Hamburg,1st Quintile,,,,,,,,,,,,
