"year","age_gr","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1984","17-34","(Fach-)Abitur","3.3","2.5","262","2.91","3.69"
"1984","17-34","(noch) kein Abschluss","4.76","3.5","175","4.18","5.34"
"1984","17-34","AkademikerIn","3.84","2.5","197","3.31","4.37"
"1984","17-34","Hauptschule","5.4","3.5","1568","5.17","5.63"
"1984","17-34","Realschule","4.46","2.5","687","4.16","4.76"
"1984","35-65","(Fach-)Abitur","14.85","11.5","190","13.49","16.21"
"1984","35-65","(noch) kein Abschluss","9.96","10.5","474","9.41","10.51"
"1984","35-65","AkademikerIn","14.37","13.5","413","13.48","15.26"
"1984","35-65","Hauptschule","14.78","12.5","2517","14.4","15.16"
"1984","35-65","Realschule","14.79","12.5","467","13.87","15.71"
"1984","66 +","(Fach-)Abitur","","","","",""
"1984","66 +","(noch) kein Abschluss","","","","",""
"1984","66 +","AkademikerIn","","","","",""
"1984","66 +","Hauptschule","","","","",""
"1984","66 +","Realschule","","","","",""
"1985","17-34","(Fach-)Abitur","3.41","1.5","246","2.97","3.85"
"1985","17-34","(noch) kein Abschluss","5.33","3.5","119","4.61","6.05"
"1985","17-34","AkademikerIn","3.19","1.5","179","2.73","3.65"
"1985","17-34","Hauptschule","5.27","3.5","1354","5.03","5.51"
"1985","17-34","Realschule","4.49","2.5","660","4.19","4.79"
"1985","35-65","(Fach-)Abitur","16.78","13.5","148","15.14","18.42"
"1985","35-65","(noch) kein Abschluss","11","11.5","384","10.4","11.6"
"1985","35-65","AkademikerIn","14.32","13.5","380","13.43","15.21"
"1985","35-65","Hauptschule","14.62","12.5","2215","14.22","15.02"
"1985","35-65","Realschule","14.76","12.5","437","13.82","15.7"
"1985","66 +","(Fach-)Abitur","","","","",""
"1985","66 +","(noch) kein Abschluss","","","","",""
"1985","66 +","AkademikerIn","","","","",""
"1985","66 +","Hauptschule","","","","",""
"1985","66 +","Realschule","","","","",""
"1986","17-34","(Fach-)Abitur","1.4","0.5","77","0.84","1.96"
"1986","17-34","(noch) kein Abschluss","","","","",""
"1986","17-34","AkademikerIn","1.63","0.5","65","1.12","2.14"
"1986","17-34","Hauptschule","2","0.5","317","1.69","2.31"
"1986","17-34","Realschule","2.38","0.5","182","1.89","2.87"
"1986","35-65","(Fach-)Abitur","","","","",""
"1986","35-65","(noch) kein Abschluss","","","","",""
"1986","35-65","AkademikerIn","6.85","2.5","32","4.12","9.58"
"1986","35-65","Hauptschule","6.87","0.5","143","5.34","8.4"
"1986","35-65","Realschule","8.13","0.5","30","4.61","11.65"
"1986","66 +","(Fach-)Abitur","","","","",""
"1986","66 +","(noch) kein Abschluss","","","","",""
"1986","66 +","AkademikerIn","","","","",""
"1986","66 +","Hauptschule","","","","",""
"1986","66 +","Realschule","","","","",""
"1987","17-34","(Fach-)Abitur","1.44","0.5","105","0.95","1.93"
"1987","17-34","(noch) kein Abschluss","","","","",""
"1987","17-34","AkademikerIn","1.56","0.5","72","1.09","2.03"
"1987","17-34","Hauptschule","1.57","0.5","429","1.33","1.81"
"1987","17-34","Realschule","1.91","0.5","238","1.54","2.28"
"1987","35-65","(Fach-)Abitur","","","","",""
"1987","35-65","(noch) kein Abschluss","","","","",""
"1987","35-65","AkademikerIn","7.04","0.5","43","4.5","9.58"
"1987","35-65","Hauptschule","4.56","0.5","196","3.45","5.67"
"1987","35-65","Realschule","7.15","0.5","40","4.26","10.04"
"1987","66 +","(Fach-)Abitur","","","","",""
"1987","66 +","(noch) kein Abschluss","","","","",""
"1987","66 +","AkademikerIn","","","","",""
"1987","66 +","Hauptschule","","","","",""
"1987","66 +","Realschule","","","","",""
"1988","17-34","(Fach-)Abitur","3.49","1.5","265","3.07","3.91"
"1988","17-34","(noch) kein Abschluss","5.04","2.5","99","4.17","5.91"
"1988","17-34","AkademikerIn","3.13","1.5","164","2.69","3.57"
"1988","17-34","Hauptschule","5.11","2.5","1245","4.86","5.36"
"1988","17-34","Realschule","4.8","2.5","658","4.48","5.12"
"1988","35-65","(Fach-)Abitur","14.96","12.5","128","13.21","16.71"
"1988","35-65","(noch) kein Abschluss","12.21","13.5","301","11.44","12.98"
"1988","35-65","AkademikerIn","14.4","13.5","365","13.48","15.32"
"1988","35-65","Hauptschule","15.02","13.5","1990","14.58","15.46"
"1988","35-65","Realschule","15.22","14.5","425","14.31","16.13"
"1988","66 +","(Fach-)Abitur","","","","",""
"1988","66 +","(noch) kein Abschluss","","","","",""
"1988","66 +","AkademikerIn","","","","",""
"1988","66 +","Hauptschule","","","","",""
"1988","66 +","Realschule","","","","",""
"1989","17-34","(Fach-)Abitur","","","","",""
"1989","17-34","(noch) kein Abschluss","","","","",""
"1989","17-34","AkademikerIn","","","","",""
"1989","17-34","Hauptschule","","","","",""
"1989","17-34","Realschule","","","","",""
"1989","35-65","(Fach-)Abitur","","","","",""
"1989","35-65","(noch) kein Abschluss","","","","",""
"1989","35-65","AkademikerIn","","","","",""
"1989","35-65","Hauptschule","","","","",""
"1989","35-65","Realschule","","","","",""
"1989","66 +","(Fach-)Abitur","","","","",""
"1989","66 +","(noch) kein Abschluss","","","","",""
"1989","66 +","AkademikerIn","","","","",""
"1989","66 +","Hauptschule","","","","",""
"1989","66 +","Realschule","","","","",""
"1990","17-34","(Fach-)Abitur","3.41","1.5","305","3.02","3.8"
"1990","17-34","(noch) kein Abschluss","4.19","1.5","88","3.25","5.13"
"1990","17-34","AkademikerIn","4","2.5","420","3.58","4.42"
"1990","17-34","Hauptschule","4.96","2.5","1291","4.72","5.2"
"1990","17-34","Realschule","4.97","2.5","1541","4.74","5.2"
"1990","35-65","(Fach-)Abitur","12.86","11.5","163","11.41","14.31"
"1990","35-65","(noch) kein Abschluss","13.37","14.5","280","12.51","14.23"
"1990","35-65","AkademikerIn","14.6","12.5","946","13.93","15.27"
"1990","35-65","Hauptschule","15.8","14.5","2818","15.4","16.2"
"1990","35-65","Realschule","14.89","14.5","868","14.25","15.53"
"1990","66 +","(Fach-)Abitur","","","","",""
"1990","66 +","(noch) kein Abschluss","","","","",""
"1990","66 +","AkademikerIn","","","","",""
"1990","66 +","Hauptschule","","","","",""
"1990","66 +","Realschule","","","","",""
"1991","17-34","(Fach-)Abitur","3.25","1.5","344","2.9","3.6"
"1991","17-34","(noch) kein Abschluss","3.16","1.5","111","2.39","3.93"
"1991","17-34","AkademikerIn","3.59","1.5","387","3.16","4.02"
"1991","17-34","Hauptschule","4.72","2.5","1297","4.49","4.95"
"1991","17-34","Realschule","4.66","2.5","1410","4.42","4.9"
"1991","35-65","(Fach-)Abitur","11.21","9.5","176","9.83","12.59"
"1991","35-65","(noch) kein Abschluss","12.1","12.5","292","11.18","13.02"
"1991","35-65","AkademikerIn","13.43","11.5","919","12.72","14.14"
"1991","35-65","Hauptschule","15.23","13.5","2619","14.82","15.64"
"1991","35-65","Realschule","13.81","12.5","870","13.14","14.48"
"1991","66 +","(Fach-)Abitur","","","","",""
"1991","66 +","(noch) kein Abschluss","","","","",""
"1991","66 +","AkademikerIn","","","","",""
"1991","66 +","Hauptschule","","","","",""
"1991","66 +","Realschule","","","","",""
"1992","17-34","(Fach-)Abitur","3.58","2.5","340","3.21","3.95"
"1992","17-34","(noch) kein Abschluss","2.97","1.5","94","2.29","3.65"
"1992","17-34","AkademikerIn","3.24","1.5","350","2.85","3.63"
"1992","17-34","Hauptschule","4.74","2.5","1206","4.51","4.97"
"1992","17-34","Realschule","4.21","2.5","1300","3.98","4.44"
"1992","35-65","(Fach-)Abitur","11.46","9.5","182","10.03","12.89"
"1992","35-65","(noch) kein Abschluss","12.58","12.5","268","11.57","13.59"
"1992","35-65","AkademikerIn","12.68","10.5","896","11.98","13.38"
"1992","35-65","Hauptschule","14.51","12.5","2409","14.08","14.94"
"1992","35-65","Realschule","13.85","13.5","861","13.16","14.54"
"1992","66 +","(Fach-)Abitur","","","","",""
"1992","66 +","(noch) kein Abschluss","","","","",""
"1992","66 +","AkademikerIn","","","","",""
"1992","66 +","Hauptschule","","","","",""
"1992","66 +","Realschule","","","","",""
"1993","17-34","(Fach-)Abitur","3.77","1.5","341","3.36","4.18"
"1993","17-34","(noch) kein Abschluss","3.04","1.5","85","2.36","3.72"
"1993","17-34","AkademikerIn","3.04","1.5","336","2.68","3.4"
"1993","17-34","Hauptschule","4.62","2.5","1160","4.38","4.86"
"1993","17-34","Realschule","4.25","2.5","1279","4.04","4.46"
"1993","35-65","(Fach-)Abitur","11.23","8.5","184","9.81","12.65"
"1993","35-65","(noch) kein Abschluss","13.46","13.5","261","12.37","14.55"
"1993","35-65","AkademikerIn","12.26","9.5","889","11.58","12.94"
"1993","35-65","Hauptschule","14.29","12.5","2237","13.86","14.72"
"1993","35-65","Realschule","13.14","11.5","877","12.47","13.81"
"1993","66 +","(Fach-)Abitur","","","","",""
"1993","66 +","(noch) kein Abschluss","","","","",""
"1993","66 +","AkademikerIn","","","","",""
"1993","66 +","Hauptschule","","","","",""
"1993","66 +","Realschule","","","","",""
"1994","17-34","(Fach-)Abitur","3.78","2.5","364","3.44","4.12"
"1994","17-34","(noch) kein Abschluss","3.43","1.5","80","2.64","4.22"
"1994","17-34","AkademikerIn","3.18","2.5","350","2.86","3.5"
"1994","17-34","Hauptschule","4.86","3.5","1025","4.61","5.11"
"1994","17-34","Realschule","4.64","2.5","1213","4.42","4.86"
"1994","35-65","(Fach-)Abitur","10.96","7.5","168","9.49","12.43"
"1994","35-65","(noch) kein Abschluss","12.61","12.5","231","11.44","13.78"
"1994","35-65","AkademikerIn","12.52","9.5","897","11.85","13.19"
"1994","35-65","Hauptschule","14.41","12.5","2085","13.96","14.86"
"1994","35-65","Realschule","13.25","11.5","905","12.59","13.91"
"1994","66 +","(Fach-)Abitur","","","","",""
"1994","66 +","(noch) kein Abschluss","","","","",""
"1994","66 +","AkademikerIn","","","","",""
"1994","66 +","Hauptschule","","","","",""
"1994","66 +","Realschule","","","","",""
"1995","17-34","(Fach-)Abitur","3.73","2.5","381","3.4","4.06"
"1995","17-34","(noch) kein Abschluss","3.45","1.5","76","2.58","4.32"
"1995","17-34","AkademikerIn","3.43","2.5","356","3.09","3.77"
"1995","17-34","Hauptschule","4.66","2.5","1058","4.42","4.9"
"1995","17-34","Realschule","4.59","2.5","1240","4.37","4.81"
