year,quintil_oecd,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1992,4th Quintile,East,251,9.50580,7.93433,11.07728,1.00000,2.00000,17.00000,0.00000,41.00000,2.00000,2.00000,2.00000
1992,5th Quintile,West,1699,12.19726,11.69029,12.70424,3.00000,9.00000,20.00000,0.00000,45.50000,9.00000,8.00000,10.00000
1992,5th Quintile,East,105,6.38441,4.43570,8.33311,1.00000,2.00000,5.28087,0.00000,11.70218,2.00000,1.00000,2.00000
1993,1st Quintile,West,502,6.33984,5.67132,7.00836,1.00000,3.00000,9.00000,0.00000,21.00000,3.00000,3.00000,4.00000
1993,1st Quintile,East,448,5.31063,4.66942,5.95185,1.00000,2.00000,7.00000,0.00000,16.00000,2.00000,2.00000,3.00000
1993,2nd Quintile,West,831,8.15477,7.59601,8.71352,2.00000,5.00000,13.00000,0.00000,29.50000,5.00000,4.00000,6.00000
1993,2nd Quintile,East,719,6.46072,5.84710,7.07434,1.00000,2.00000,8.00000,0.00000,18.50000,2.00000,2.00000,3.00000
1993,3rd Quintile,West,1121,9.76003,9.22132,10.29875,2.00000,7.00000,15.00000,0.00000,34.50000,7.00000,6.00000,8.00000
1993,3rd Quintile,East,598,7.61336,6.82677,8.39995,1.00000,3.00000,11.00000,0.00000,26.00000,3.00000,2.00000,3.00000
1993,4th Quintile,West,1449,11.41751,10.88867,11.94635,3.00000,8.00000,19.00000,0.00000,43.00000,8.00000,7.00000,9.00000
1993,4th Quintile,East,367,9.16848,8.05981,10.27715,2.00000,3.00000,15.00000,0.00000,34.50000,3.00000,3.00000,3.00000
1993,5th Quintile,West,1676,12.07555,11.58594,12.56515,3.00000,9.00000,19.00000,0.00000,43.00000,9.00000,8.00000,10.00000
1993,5th Quintile,East,132,7.65486,5.89461,9.41512,1.00000,3.00000,7.00000,0.00000,16.00000,3.00000,2.00000,3.00000
1994,1st Quintile,West,548,7.03074,6.38714,7.67434,1.00000,4.00000,11.00000,0.00000,26.00000,4.00000,3.00000,5.00000
1994,1st Quintile,East,352,5.05947,4.29815,5.82079,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
1994,2nd Quintile,West,793,8.83724,8.22550,9.44898,2.00000,5.00000,14.00000,0.00000,32.00000,5.00000,5.00000,6.00000
1994,2nd Quintile,East,597,6.52073,5.87834,7.16311,2.00000,3.00000,8.00000,0.00000,17.00000,3.00000,3.00000,3.00000
1994,3rd Quintile,West,1085,10.19571,9.62440,10.76702,2.00000,7.00000,16.00000,0.00000,37.00000,7.00000,6.00000,8.00000
1994,3rd Quintile,East,624,8.20151,7.44733,8.95569,2.00000,4.00000,12.00000,0.00000,27.00000,4.00000,3.00000,4.00000
1994,4th Quintile,West,1332,11.12981,10.60359,11.65603,3.00000,8.00000,17.00000,0.00000,38.00000,8.00000,7.00000,9.00000
