"year","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1984","(Fach-)Abitur","8.2","3.5","457","7.39","9.01"
"1984","(noch) kein Abschluss","7.94","6.5","649","7.48","8.4"
"1984","AkademikerIn","11.25","8.5","618","10.5","12"
"1984","Hauptschule","11.65","8.5","4111","11.36","11.94"
"1984","Realschule","8.98","4.5","1162","8.47","9.49"
"1985","(Fach-)Abitur","8.16","3.5","399","7.27","9.05"
"1985","(noch) kein Abschluss","8.78","7.5","503","8.25","9.31"
"1985","AkademikerIn","10.9","7.5","563","10.15","11.65"
"1985","Hauptschule","11.39","8.5","3590","11.09","11.69"
"1985","Realschule","8.84","5.5","1101","8.33","9.35"
"1986","(Fach-)Abitur","2.3","0.5","84","1.25","3.35"
"1986","(noch) kein Abschluss","2.87","0.5","38","1.03","4.71"
"1986","AkademikerIn","3.33","0.5","97","2.24","4.42"
"1986","Hauptschule","3.74","0.5","460","3.18","4.3"
"1986","Realschule","3.22","0.5","212","2.54","3.9"
"1987","(Fach-)Abitur","1.48","0.5","120","0.77","2.19"
"1987","(noch) kein Abschluss","3.04","0.5","52","1.6","4.48"
"1987","AkademikerIn","3.73","0.5","115","2.65","4.81"
"1987","Hauptschule","2.67","0.5","625","2.27","3.07"
"1987","Realschule","2.69","0.5","278","2.13","3.25"
"1988","(Fach-)Abitur","6.92","2.5","395","6.13","7.71"
"1988","(noch) kein Abschluss","9.5","8.5","400","8.8","10.2"
"1988","AkademikerIn","11.24","8.5","536","10.44","12.04"
"1988","Hauptschule","11.69","8.5","3248","11.36","12.02"
"1988","Realschule","9.37","6.5","1087","8.86","9.88"
"1989","(Fach-)Abitur","","","","",""
"1989","(noch) kein Abschluss","","","","",""
"1989","AkademikerIn","","","","",""
"1989","Hauptschule","","","","",""
"1989","Realschule","","","","",""
"1990","(Fach-)Abitur","6.93","2.5","475","6.17","7.69"
"1990","(noch) kein Abschluss","10.07","8.5","368","9.28","10.86"
"1990","AkademikerIn","11.73","8.5","1377","11.18","12.28"
"1990","Hauptschule","12.75","9.5","4130","12.43","13.07"
"1990","Realschule","9.09","5.5","2416","8.76","9.42"
"1991","(Fach-)Abitur","6.21","2.5","527","5.52","6.9"
"1991","(noch) kein Abschluss","8.42","4.5","403","7.62","9.22"
"1991","AkademikerIn","10.78","6.5","1315","10.21","11.35"
"1991","Hauptschule","12.2","9.5","3932","11.87","12.53"
"1991","Realschule","8.61","4.5","2286","8.27","8.95"
"1992","(Fach-)Abitur","6.51","2.5","526","5.83","7.19"
"1992","(noch) kein Abschluss","8.91","4.5","362","8.03","9.79"
"1992","AkademikerIn","10.29","5.5","1253","9.73","10.85"
"1992","Hauptschule","11.8","8.5","3624","11.47","12.13"
"1992","Realschule","8.44","3.5","2164","8.09","8.79"
"1993","(Fach-)Abitur","6.47","2.5","528","5.8","7.14"
"1993","(noch) kein Abschluss","10.01","5.5","346","9.06","10.96"
