year,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No answer / don't know,7046,10.74838,10.51707,10.97969,3.00000,8.00000,16.00000,0,35.50000,,,
1985,Urban regions,4983,10.30515,10.04475,10.56555,3.00000,7.00000,15.00000,0,33.00000,,,
1985,Rural regions,1248,11.08407,10.50802,11.66012,3.00000,7.48185,16.00000,0,35.50000,,,
1986,Urban regions,,,,,,,,,,,,
1986,Rural regions,,,,,,,,,,,,
1987,Urban regions,,,,,,,,,,,,
1987,Rural regions,,,,,,,,,,,,
1988,Urban regions,4609,10.53677,10.25591,10.81762,2.00000,8.00000,16.00000,0,37.00000,,,
1988,Rural regions,1167,11.01320,10.42368,11.60271,3.00000,8.00000,17.00000,0,38.00000,,,
1989,Urban regions,,,,,,,,,,,,
1989,Rural regions,,,,,,,,,,,,
1990,No answer / don't know,68,10.60919,8.62785,12.59053,3.00000,10.00000,17.21705,0,32,,,
1990,Urban regions,5487,10.75681,10.49225,11.02138,2.00000,8.00000,17.00000,0,39.50000,,,
1990,Rural regions,3335,11.83340,11.46778,12.19902,3.00000,9.00000,18.00000,0,40.50000,,,
1991,No answer / don't know,62,7.73830,5.50288,9.97373,1.00000,3.00000,13.66630,0,32.66574,,,
1991,Urban regions,5527,10.26810,10.00546,10.53073,2.00000,7.00000,16.00000,0,37.00000,,,
1991,Rural regions,3022,10.82856,10.44186,11.21525,2.00000,7.00000,18.00000,0,42.00000,,,
1992,No answer / don't know,81,5.66805,3.89015,7.44596,1.00000,1.62014,5.16169,0,11.40421,,,
1992,Urban regions,5279,10.19953,9.93287,10.46619,2.00000,7.00000,16.00000,0,37.00000,,,
1992,Rural regions,2724,10.02078,9.62340,10.41817,2.00000,5.00000,16.00000,0,37.00000,,,
1993,Urban regions,5204,10.07388,9.81229,10.33546,2.00000,6.00000,16.00000,0,37.00000,,,
1993,Rural regions,2640,9.35663,8.97230,9.74097,2.00000,5.00000,14.00000,0,32.00000,,,
