"hlc0180","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"ja","2016","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"ja","2016","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"ja","2016","2","Staedtischer Raum","97","0.020640671823062","0.0161525064955362","0.0251288371505879"
"ja","2016","2","Laendlicher Raum","16","","",""
"ja","2016","3","Staedtischer Raum","86","0.0124283612960193","0.00906336980667214","0.0157933527853665"
"ja","2016","3","Laendlicher Raum","68","0.0147562671962449","0.010146324718788","0.0193662096737018"
"ja","2016","4","Staedtischer Raum","208","","",""
"ja","2016","4","Laendlicher Raum","77","0.0141748405078918","0.0101742361726311","0.0181754448431525"
"ja","2016","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"ja","2016","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"nein","2016","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"nein","2016","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"nein","2016","2","Staedtischer Raum","3758","0.979359328176938","0.974871162849412","0.983847493504464"
"nein","2016","2","Laendlicher Raum","2299","","",""
"nein","2016","3","Staedtischer Raum","4078","0.987571638703981","0.984206647214633","0.990936630193328"
"nein","2016","3","Laendlicher Raum","2560","","",""
"nein","2016","4","Staedtischer Raum","5693","0.977122777364844","0.973308067595499","0.980937487134189"
"nein","2016","4","Laendlicher Raum","3277","0.985825159492108","0.981824555156848","0.989825763827369"
"nein","2016","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"nein","2016","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"ja","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"ja","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"ja","2017","2","Staedtischer Raum","42","0.0110119211412966","0.00758432868083266","0.0144395136017606"
"ja","2017","2","Laendlicher Raum","29","","",""
"ja","2017","3","Staedtischer Raum","131","","",""
"ja","2017","3","Laendlicher Raum","61","0.0132553881839922","0.00906467663242333","0.017446099735561"
