,Unnamed: 0,year,rentown,hlc0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Owner,Yes,0.02011,184,14275,0.01727,0.02394
1,1,2016,Owner,No,0.97989,6105,14275,0.95645,1.00582
2,2,2016,Tenant,Yes,0.0198,171,14275,0.01693,0.02261
3,3,2016,Tenant,No,0.9802,7815,14275,0.95276,1.00315
4,4,2017,Owner,Yes,0.02052,204,15652,0.01755,0.02406
5,5,2017,Owner,No,0.97948,6848,15652,0.95474,1.00135
6,6,2017,Tenant,Yes,0.01942,209,15652,0.01631,0.02212
7,7,2017,Tenant,No,0.98058,8391,15652,0.95873,1.00429
8,8,2018,Owner,Yes,0.0202,184,15435,0.01717,0.02397
9,9,2018,Owner,No,0.9798,6563,15435,0.95408,1.00446
10,10,2018,Tenant,Yes,0.02074,222,15435,0.01811,0.0237
11,11,2018,Tenant,No,0.97926,8466,15435,0.95776,1.00227
12,12,2019,Owner,Yes,0.01872,232,16118,0.01599,0.02239
13,13,2019,Owner,No,0.98128,7633,16118,0.95498,1.0064
14,14,2019,Tenant,Yes,0.02439,251,16118,0.02146,0.02814
15,15,2019,Tenant,No,0.97561,8002,16118,0.95117,1.00168
16,16,2020,Owner,Yes,0.02174,218,16275,0.01787,0.02581
17,17,2020,Owner,No,0.97826,6726,16275,0.95102,1.01126
18,18,2020,Tenant,Yes,0.02707,262,16275,0.0232,0.03118
19,19,2020,Tenant,No,0.97293,9069,16275,0.94807,1.0001
20,20,2021,Owner,Yes,0.0216,174,11067,0.0179,0.0266
21,21,2021,Owner,No,0.9784,4898,11067,0.94902,1.00547
22,22,2021,Tenant,Yes,0.02931,198,11067,0.02461,0.03439
23,23,2021,Tenant,No,0.97069,5797,11067,0.94197,1.00262
