year,quintil_oecd_hh,sampreg,hlc0180,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,1st Quintile,West,No,1.00000,2225,14186,0,0.94402,0,1.06298
2016,1st Quintile,East,No,1.00000,803,14186,0,0.92567,0,1.07402
2016,2nd Quintile,West,Yes,0.01307,38,14186,0,0.00864,0,0.01826
2016,2nd Quintile,West,No,0.98693,2246,14186,0,0.94154,0,1.03469
2016,2nd Quintile,East,No,1.00000,791,14186,0,0.93228,0,1.07600
2016,3rd Quintile,West,Yes,0.01842,62,14186,0,0.01373,0,0.02351
2016,3rd Quintile,West,No,0.98158,2012,14186,0,0.93504,0,1.02974
2016,3rd Quintile,East,No,1.00000,663,14186,0,0.93106,0,1.07593
2016,4th Quintile,West,Yes,0.01744,73,14186,0,0.01297,0,0.02223
2016,4th Quintile,West,No,0.98256,2138,14186,0,0.94914,0,1.03330
2016,4th Quintile,East,No,1.00000,430,14186,0,0.88947,0,1.10790
2016,5th Quintile,West,Yes,0.03997,96,14186,0,0.03169,0,0.04954
2016,5th Quintile,West,No,0.96003,2291,14186,0,0.91948,0,1.00836
2016,5th Quintile,East,No,1.00000,318,14186,0,0.88259,0,1.13613
2017,1st Quintile,West,Yes,0.01190,32,15565,0,0.00704,0,0.01685
2017,1st Quintile,West,No,0.98810,2288,15565,0,0.94845,0,1.03538
2017,1st Quintile,East,No,1.00000,845,15565,0,0.91204,0,1.06514
2017,2nd Quintile,West,Yes,0.01643,48,15565,0,0.01098,0,0.02358
2017,2nd Quintile,West,No,0.98357,2305,15565,0,0.93810,0,1.02566
2017,2nd Quintile,East,No,1.00000,872,15565,0,0.93767,0,1.07017
2017,3rd Quintile,West,Yes,0.01711,63,15565,0,0.01359,0,0.02116
2017,3rd Quintile,West,No,0.98289,2275,15565,0,0.94583,0,1.02620
2017,3rd Quintile,East,No,1.00000,722,15565,0,0.92278,0,1.08077
2017,4th Quintile,West,Yes,0.02131,80,15565,0,0.01550,0,0.02665
2017,4th Quintile,West,No,0.97869,2422,15565,0,0.92987,0,1.01678
2017,4th Quintile,East,No,1.00000,517,15565,0,0.91094,0,1.09349
2017,5th Quintile,West,Yes,0.03006,106,15565,0,0.02397,0,0.03846
2017,5th Quintile,West,No,0.96994,2617,15565,0,0.93622,0,1.00334
2017,5th Quintile,East,No,1.00000,373,15565,0,0.90177,0,1.08677
2018,1st Quintile,West,Yes,0.01550,39,15351,0,0.01050,0,0.02147
2018,1st Quintile,West,No,0.98450,2297,15351,0,0.94549,0,1.02712
2018,1st Quintile,East,No,1.00000,912,15351,0,0.90843,0,1.08470
2018,2nd Quintile,West,Yes,0.01198,48,15351,0,0.00786,0,0.01656
2018,2nd Quintile,West,No,0.98802,2364,15351,0,0.94827,0,1.02651
2018,2nd Quintile,East,No,1.00000,949,15351,0,0.94357,0,1.06000
2018,3rd Quintile,West,Yes,0.01986,61,15351,0,0.01416,0,0.02564
2018,3rd Quintile,West,No,0.98014,2162,15351,0,0.94151,0,1.02866
2018,3rd Quintile,East,No,1.00000,672,15351,0,0.92324,0,1.07904
2018,4th Quintile,West,Yes,0.02894,79,15351,0,0.02350,0,0.03478
2018,4th Quintile,West,No,0.97106,2305,15351,0,0.92717,0,1.00302
2018,4th Quintile,East,No,1.00000,467,15351,0,0.90551,0,1.09207
2018,5th Quintile,West,Yes,0.02595,100,15351,0,0.02151,0,0.03069
2018,5th Quintile,West,No,0.97405,2549,15351,0,0.93380,0,1.01231
2018,5th Quintile,East,No,1.00000,347,15351,0,0.89145,0,1.10059
2019,1st Quintile,West,Yes,0.01630,56,15961,0,0.01149,0,0.02141
2019,1st Quintile,West,No,0.98370,2047,15961,0,0.93579,0,1.02967
2019,1st Quintile,East,No,1.00000,792,15961,0,0.92623,0,1.08088
2019,2nd Quintile,West,Yes,0.01988,52,15961,0,0.01509,0,0.02537
2019,2nd Quintile,West,No,0.98012,2096,15961,0,0.92801,0,1.02038
2019,2nd Quintile,East,No,1.00000,807,15961,0,0.91985,0,1.08107
2019,3rd Quintile,West,Yes,0.02549,71,15961,0,0.01840,0,0.03331
2019,3rd Quintile,West,No,0.97451,2110,15961,0,0.92887,0,1.01975
2019,3rd Quintile,East,No,1.00000,708,15961,0,0.92088,0,1.09433
2019,4th Quintile,West,Yes,0.02462,82,15961,0,0.01887,0,0.03057
2019,4th Quintile,West,No,0.97538,2330,15961,0,0.92784,0,1.01769
2019,4th Quintile,East,No,1.00000,522,15961,0,0.90429,0,1.11510
2019,5th Quintile,West,Yes,0.02513,124,15961,0,0.01847,0,0.03173
2019,5th Quintile,West,No,0.97487,3499,15961,0,0.92824,0,1.01243
2019,5th Quintile,East,No,1.00000,665,15961,0,0.89167,0,1.12925
2020,1st Quintile,West,Yes,0.02436,56,16156,0,0.01564,0,0.03298
2020,1st Quintile,West,No,0.97564,2576,16156,0,0.91938,0,1.02084
2020,1st Quintile,East,No,1.00000,799,16156,0,0.91451,0,1.09019
2020,2nd Quintile,West,Yes,0.01525,50,16156,0,0.01185,0,0.01842
2020,2nd Quintile,West,No,0.98475,2392,16156,0,0.93600,0,1.03684
2020,2nd Quintile,East,No,1.00000,836,16156,0,0.91044,0,1.07800
2020,3rd Quintile,West,Yes,0.02352,68,16156,0,0.01692,0,0.03157
2020,3rd Quintile,West,No,0.97648,2190,16156,0,0.93261,0,1.02479
2020,3rd Quintile,East,No,1.00000,661,16156,0,0.92258,0,1.08482
2020,4th Quintile,West,Yes,0.02585,82,16156,0,0.02026,0,0.03290
2020,4th Quintile,West,No,0.97415,2242,16156,0,0.91823,0,1.02101
2020,4th Quintile,East,No,1.00000,492,16156,0,0.87924,0,1.11062
2020,5th Quintile,West,Yes,0.03601,133,16156,0,0.02880,0,0.04420
2020,5th Quintile,West,No,0.96399,3018,16156,0,0.91644,0,1.00701
2020,5th Quintile,East,No,1.00000,561,16156,0,0.87351,0,1.14079
2021,1st Quintile,West,Yes,0.02922,42,10978,0,0.01663,0,0.04357
2021,1st Quintile,West,No,0.97078,1486,10978,0,0.90375,0,1.03430
2021,1st Quintile,East,No,1.00000,524,10978,0,0.90802,0,1.10499
2021,2nd Quintile,West,Yes,0.01666,44,10978,0,0.01179,0,0.02226
2021,2nd Quintile,West,No,0.98334,1561,10978,0,0.92744,0,1.02646
2021,2nd Quintile,East,No,1.00000,585,10978,0,0.88755,0,1.12534
2021,3rd Quintile,West,Yes,0.02575,52,10978,0,0.01778,0,0.03581
2021,3rd Quintile,West,No,0.97425,1506,10978,0,0.92332,0,1.03844
2021,3rd Quintile,East,No,1.00000,444,10978,0,0.89605,0,1.11908
2021,4th Quintile,West,Yes,0.02343,69,10978,0,0.01843,0,0.02796
2021,4th Quintile,West,No,0.97657,1637,10978,0,0.92125,0,1.03506
2021,4th Quintile,East,No,1.00000,367,10978,0,0.89824,0,1.14614
2021,5th Quintile,West,Yes,0.02753,91,10978,0,0.02091,0,0.03584
2021,5th Quintile,West,No,0.97247,2175,10978,0,0.91570,0,1.02000
2021,5th Quintile,East,No,1.00000,395,10978,0,0.86809,0,1.20094
