"hlc0180","year","quintil","n","percent","lower_confidence","upper_confidence"
"ja","2016","1","","","",""
"ja","2016","2","31","0.0102626812330668","0.00730154438731607","0.0132238180788175"
"ja","2016","3","167","0.015322348964809","0.0127248150649529","0.0179198828646652"
"ja","2016","4","252","0.0151780633541967","0.0127880028863927","0.0175681238220006"
"ja","2016","5","602","0.0346484714658723","0.0315783674712166","0.0377185754605279"
"nein","2016","1","","","",""
"nein","2016","2","4419","0.989737318766933","0.986776181921182","0.992698455612684"
"nein","2016","3","8423","0.984677651035191","0.982080117135335","0.987275184935047"
"nein","2016","4","9800","0.984821936645803","0.982431876177999","0.987211997113607"
"nein","2016","5","13030","0.965351528534128","0.962281424539472","0.968421632528783"
"ja","2017","1","","","",""
"ja","2017","2","55","0.0160602065304993","0.0122356254866828","0.0198847875743159"
"ja","2017","3","151","0.0130227142054215","0.0105688784031904","0.0154765500076525"
"ja","2017","4","269","0.0192292785684141","0.0166478589226233","0.0218106982142048"
"ja","2017","5","687","0.031645405348257","0.0289584513593035","0.0343323593372104"
"nein","2017","1","","","",""
"nein","2017","2","4095","0.983939793469501","0.980115212425684","0.987764374513317"
"nein","2017","3","8049","0.986977285794579","0.984523449992348","0.98943112159681"
"nein","2017","4","10603","0.980770721431586","0.978189301785795","0.983352141077377"
"nein","2017","5","15618","0.968354594651743","0.96566764066279","0.971041548640697"
"ja","2018","1","","","",""
"ja","2018","2","34","0.016687540997845","0.0125169659524002","0.0208581160432899"
"ja","2018","3","106","0.00846034389106033","0.00636417297707173","0.0105565148050489"
"ja","2018","4","244","0.0175482041637298","0.0150528574812164","0.0200435508462433"
"ja","2018","5","694","0.0318144127094097","0.0291533743929035","0.034475451025916"
"nein","2018","1","","","",""
"nein","2018","2","3590","0.983312459002155","0.97914188395671","0.9874830340476"
"nein","2018","3","7228","0.99153965610894","0.989443485194951","0.993635827022928"
"nein","2018","4","10392","0.98245179583627","0.979956449153757","0.984947142518784"
"nein","2018","5","16016","0.96818558729059","0.965524548974084","0.970846625607096"
"ja","2019","1","","","",""
"ja","2019","2","52","0.0124555835286928","0.00842390465134789","0.0164872624060378"
"ja","2019","3","127","0.0133461103478255","0.0104614692201124","0.0162307514755386"
"ja","2019","4","276","0.0196635041259605","0.0168822408344954","0.0224447674174256"
"ja","2019","5","898","0.0352366210090892","0.0327373706449915","0.0377358713731869"
"nein","2019","1","","","",""
"nein","2019","2","2855","0.987544416471307","0.983512737593962","0.991576095348652"
"nein","2019","3","5952","0.986653889652174","0.983769248524461","0.989538530779888"
"nein","2019","4","9297","0.980336495874039","0.977555232582574","0.983117759165505"
"nein","2019","5","20009","0.964763378990911","0.962264128626813","0.967262629355009"
"ja","2020","1","","","",""
"ja","2020","2","36","0.0111812419968851","0.0073403629560471","0.0150221210377231"
"ja","2020","3","111","0.0190087559713846","0.0155422021826094","0.0224753097601597"
"ja","2020","4","254","0.0240695878974866","0.0209579870001947","0.0271811887947785"
"ja","2020","5","892","0.0359386451307949","0.0333943987712915","0.0384828914902983"
"nein","2020","1","","","",""
"nein","2020","2","2843","0.988818758003115","0.984977878962277","0.992659637043953"
"nein","2020","3","5850","0.980991244028615","0.97752469023984","0.984457797817391"
"nein","2020","4","9066","0.975930412102513","0.972818811205221","0.979042012999805"
"nein","2020","5","19669","0.964061354869205","0.961517108509702","0.966605601228709"
