year,rentown,sampreg,hlc0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,West,Yes,0.008141485221287721,153,14301,0.008113856906165475,0.008169113536409967
2016,Owner,West,No,0.38836667305700134,4982,14301,0.3882168273633499,0.3885165187506528
2016,Owner,East,Yes,0.0011514000013191346,31,14301,0.0011409734505116193,0.0011618265521266499
2016,Owner,East,No,0.06455597409391459,1123,14301,0.06448042054992166,0.06463152763790751
2016,Tenant,West,Yes,0.0086550126700833,139,14301,0.008626533719639352,0.008683491620527247
2016,Tenant,West,No,0.4150412563519322,5933,14301,0.41488976565226127,0.4151927470516031
2016,Tenant,East,Yes,0.001991086855504754,32,14301,0.001977381508652744,0.0020047922023567638
2016,Tenant,East,No,0.11209711174895692,1882,14301,0.11200011489146455,0.1121941086064493
2017,Owner,West,Yes,0.008107738995764181,166,17481,0.00808027610503839,0.008135201886489972
2017,Owner,West,No,0.3922408942612518,5574,17481,0.39209137185048315,0.39239041667202046
2017,Owner,East,Yes,0.0014404881588507563,38,17481,0.0014288735138286797,0.001452102803872833
2017,Owner,East,No,0.0634598543043365,1274,17481,0.06338519621815109,0.06353451239052191
2017,Tenant,West,Yes,0.008359229027942743,164,17481,0.008331346996183674,0.008387111059701812
2017,Tenant,West,No,0.41408788750400694,6336,17481,0.41393704399734194,0.41423873101067193
2017,Tenant,East,Yes,0.002027523156421493,45,17481,0.0020137476900234574,0.002041298622819529
2017,Tenant,East,No,0.11027638459142566,2055,17481,0.11018045934205589,0.11037230984079544
2018,Owner,West,Yes,0.007814925943398228,143,17878,0.007787983354728377,0.007841868532068079
2018,Owner,West,No,0.394829879582394,5351,17878,0.394680316541388,0.3949794426234
2018,Owner,East,Yes,0.00163534866163915,41,17878,0.0016229854779916926,0.0016477118452866073
2018,Owner,East,No,0.06353439924179645,1212,17878,0.06345976623803466,0.06360903224555824
2018,Tenant,West,Yes,0.009408745099383081,184,17878,0.009379206245610809,0.009438283953155354
2018,Tenant,West,No,0.4109950513420104,6331,17878,0.41084450912385295,0.4111455935601679
2018,Tenant,East,Yes,0.0016278255130368921,38,17878,0.0016154907530779503,0.001640160272995834
2018,Tenant,East,No,0.11015382461634171,2135,17878,0.1100580307279589,0.11024961850472452
2019,Owner,West,Yes,0.0076475129946816075,189,18364,0.007620867257619717,0.007674158731743498
2019,Owner,West,No,0.39400627248469744,6114,18364,0.3938568141023821,0.3941557308670128
2019,Owner,East,Yes,0.0011222945242439697,42,18364,0.0011120534803649204,0.001132535568123019
2019,Owner,East,No,0.06612775778899888,1505,18364,0.0660517478687203,0.06620376770927745
2019,Tenant,West,Yes,0.010871006750519755,196,18364,0.01083928946631757,0.01090272403472194
2019,Tenant,West,No,0.41055944913349196,5969,18364,0.41040898164364237,0.41070991662334155
2019,Tenant,East,Yes,0.0019834894427779724,49,18364,0.0019698806859253285,0.0019970981996306164
2019,Tenant,East,No,0.1076822168805885,1991,18364,0.10758740420268967,0.10777702955848734
2020,Owner,West,Yes,0.008296216410327894,179,19329,0.008268292478400881,0.008324140342254906
2020,Owner,West,No,0.3927028662510266,5407,19329,0.39255252498586457,0.3928532075161887
2020,Owner,East,Yes,0.0018882291757701536,39,19329,0.001874864374974075,0.0019015939765662322
2020,Owner,East,No,0.06558932459049316,1319,19329,0.06551311124526456,0.06566553793572176
2020,Tenant,West,Yes,0.01258752807115282,211,19329,0.012553206664446773,0.012621849477858868
2020,Tenant,West,No,0.407759012168435,7037,19329,0.4076077269265432,0.40791029741032686
2020,Tenant,East,Yes,0.0018021814798969867,51,19329,0.0017891241878240718,0.0018152387719699015
2020,Tenant,East,No,0.10937464185289734,2032,19329,0.10927855778100239,0.1094707259247923
2021,Owner,West,Yes,0.009160231101244178,146,12563,0.009131036779453679,0.009189425423034676
2021,Owner,West,No,0.40425687229324403,3975,12563,0.40410648827425255,0.4044072563122355
2021,Owner,East,No,0.06669552341501715,923,12563,0.06661906884013889,0.06677197798989541
2021,Tenant,West,Yes,0.01113163493330248,152,12563,0.011099484103971598,0.011163785762633362
2021,Tenant,West,No,0.4026782454729363,4402,12563,0.4025279566404686,0.402828534305404
2021,Tenant,East,Yes,0.00410615539137254,46,12563,0.004086559380349832,0.004125751402395247
2021,Tenant,East,No,0.10197133739288326,1395,12563,0.10187860582184705,0.10206406896391948
