,Unnamed: 0,year,bula_h,quintil_oecd_hh,hlc0180,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Schleswig-Holstein,1st Quintile,No,1.0,127,13853,0.8176,1.20154
1,1,2016,Schleswig-Holstein,2nd Quintile,No,1.0,106,13853,0.79007,1.20342
2,2,2016,Schleswig-Holstein,3rd Quintile,No,1.0,99,13853,0.80554,1.20592
3,3,2016,Schleswig-Holstein,4th Quintile,No,1.0,85,13853,0.82997,1.21689
4,4,2016,Schleswig-Holstein,5th Quintile,No,1.0,77,13853,0.78023,1.24956
5,5,2016,Hamburg,1st Quintile,No,1.0,49,13853,0.763,1.27351
6,6,2016,Hamburg,2nd Quintile,No,1.0,49,13853,0.77559,1.20644
7,7,2016,Hamburg,3rd Quintile,No,1.0,44,13853,0.74189,1.31815
8,8,2016,Hamburg,4th Quintile,No,1.0,56,13853,0.73956,1.26635
9,9,2016,Hamburg,5th Quintile,No,1.0,58,13853,0.71232,1.26247
10,10,2016,Lower Saxony,1st Quintile,No,1.0,302,13853,0.8733,1.15635
11,11,2016,Lower Saxony,2nd Quintile,No,1.0,256,13853,0.87364,1.15071
12,12,2016,Lower Saxony,3rd Quintile,No,1.0,229,13853,0.86,1.12701
13,13,2016,Lower Saxony,4th Quintile,No,1.0,271,13853,0.89011,1.12353
14,14,2016,Lower Saxony,5th Quintile,No,1.0,251,13853,0.88992,1.11294
15,15,2016,Bremen,1st Quintile,No,1.0,38,13853,0.58981,1.52276
16,16,2016,North Rhine-Westphalia,1st Quintile,No,1.0,666,13853,0.89946,1.10418
17,17,2016,North Rhine-Westphalia,2nd Quintile,No,1.0,587,13853,0.91384,1.09754
18,18,2016,North Rhine-Westphalia,3rd Quintile,No,1.0,505,13853,0.92696,1.10047
19,19,2016,North Rhine-Westphalia,4th Quintile,No,1.0,529,13853,0.91712,1.09337
20,20,2016,North Rhine-Westphalia,5th Quintile,No,1.0,550,13853,0.91095,1.09928
21,21,2016,Hesse,1st Quintile,No,1.0,194,13853,0.85464,1.14912
22,22,2016,Hesse,2nd Quintile,No,1.0,188,13853,0.84467,1.14059
23,23,2016,Hesse,3rd Quintile,No,1.0,162,13853,0.87647,1.1514
24,24,2016,Hesse,4th Quintile,No,1.0,163,13853,0.83374,1.15656
25,25,2016,Hesse,5th Quintile,No,1.0,239,13853,0.87806,1.14361
26,26,2016,"Rhineland-Palatinate, Saarland",1st Quintile,No,1.0,192,13853,0.84922,1.16196
27,27,2016,"Rhineland-Palatinate, Saarland",2nd Quintile,No,1.0,187,13853,0.8667,1.17529
28,28,2016,"Rhineland-Palatinate, Saarland",3rd Quintile,No,1.0,154,13853,0.85284,1.15006
29,29,2016,"Rhineland-Palatinate, Saarland",4th Quintile,No,1.0,150,13853,0.86283,1.15815
30,30,2016,"Rhineland-Palatinate, Saarland",5th Quintile,No,1.0,151,13853,0.85987,1.19732
31,31,2016,Baden-Wuerttemberg,1st Quintile,No,1.0,212,13853,0.85445,1.12998
32,32,2016,Baden-Wuerttemberg,2nd Quintile,No,1.0,302,13853,0.8721,1.12855
33,33,2016,Baden-Wuerttemberg,3rd Quintile,No,1.0,312,13853,0.89165,1.10766
34,34,2016,Baden-Wuerttemberg,4th Quintile,No,1.0,357,13853,0.92181,1.11027
35,35,2016,Baden-Wuerttemberg,5th Quintile,No,1.0,385,13853,0.9102,1.12035
36,36,2016,Bavaria,1st Quintile,No,1.0,362,13853,0.8803,1.10108
37,37,2016,Bavaria,2nd Quintile,No,1.0,492,13853,0.90595,1.10053
38,38,2016,Bavaria,3rd Quintile,No,1.0,442,13853,0.89805,1.11297
39,39,2016,Bavaria,4th Quintile,No,1.0,436,13853,0.90138,1.09599
40,40,2016,Bavaria,5th Quintile,No,1.0,502,13853,0.91312,1.09845
41,41,2016,Berlin,1st Quintile,No,1.0,148,13853,0.85201,1.16119
42,42,2016,Berlin,2nd Quintile,No,1.0,111,13853,0.84748,1.16972
43,43,2016,Berlin,3rd Quintile,No,1.0,107,13853,0.80065,1.17813
44,44,2016,Berlin,4th Quintile,No,1.0,120,13853,0.81808,1.17247
45,45,2016,Berlin,5th Quintile,No,1.0,103,13853,0.84649,1.18749
46,46,2016,Brandenburg,1st Quintile,No,1.0,133,13853,0.8284,1.19594
47,47,2016,Brandenburg,2nd Quintile,No,1.0,147,13853,0.80744,1.19148
48,48,2016,Brandenburg,3rd Quintile,No,1.0,131,13853,0.83145,1.167
49,49,2016,Brandenburg,4th Quintile,No,1.0,74,13853,0.77777,1.27477
50,50,2016,Brandenburg,5th Quintile,No,1.0,68,13853,0.7863,1.30206
51,51,2016,Mecklenburg-Western Pomerania,1st Quintile,No,1.0,101,13853,0.77412,1.24179
52,52,2016,Mecklenburg-Western Pomerania,2nd Quintile,No,1.0,83,13853,0.80653,1.24171
53,53,2016,Mecklenburg-Western Pomerania,3rd Quintile,No,1.0,69,13853,0.74086,1.28996
54,54,2016,Mecklenburg-Western Pomerania,4th Quintile,No,1.0,35,13853,0.73356,1.39207
55,55,2016,Mecklenburg-Western Pomerania,5th Quintile,No,1.0,34,13853,0.7463,1.225
56,56,2016,Saxony,1st Quintile,No,1.0,205,13853,0.87041,1.16993
57,57,2016,Saxony,2nd Quintile,No,1.0,237,13853,0.87193,1.12106
58,58,2016,Saxony,3rd Quintile,No,1.0,199,13853,0.86929,1.15919
59,59,2016,Saxony,4th Quintile,No,1.0,121,13853,0.82557,1.21075
60,60,2016,Saxony,5th Quintile,No,1.0,79,13853,0.76767,1.23649
61,61,2016,Saxony-Anhalt,1st Quintile,No,1.0,160,13853,0.8563,1.21412
62,62,2016,Saxony-Anhalt,2nd Quintile,No,1.0,131,13853,0.85922,1.15199
63,63,2016,Saxony-Anhalt,3rd Quintile,No,1.0,91,13853,0.84007,1.16121
64,64,2016,Saxony-Anhalt,4th Quintile,No,1.0,72,13853,0.74963,1.24259
65,65,2016,Saxony-Anhalt,5th Quintile,No,1.0,47,13853,0.70209,1.44854
66,66,2016,Thuringa,1st Quintile,No,1.0,139,13853,0.80683,1.20626
67,67,2016,Thuringa,2nd Quintile,No,1.0,141,13853,0.85094,1.15086
68,68,2016,Thuringa,3rd Quintile,No,1.0,116,13853,0.8388,1.19354
69,69,2016,Thuringa,4th Quintile,No,1.0,83,13853,0.80159,1.27072
70,70,2016,Thuringa,5th Quintile,No,1.0,52,13853,0.64973,1.40063
71,71,2017,Schleswig-Holstein,1st Quintile,No,1.0,124,15145,0.81403,1.21364
72,72,2017,Schleswig-Holstein,2nd Quintile,No,1.0,123,15145,0.85465,1.21307
73,73,2017,Schleswig-Holstein,3rd Quintile,No,1.0,110,15145,0.79704,1.24171
74,74,2017,Schleswig-Holstein,4th Quintile,No,1.0,97,15145,0.8081,1.19804
75,75,2017,Schleswig-Holstein,5th Quintile,No,1.0,94,15145,0.79187,1.2284
76,76,2017,Hamburg,1st Quintile,No,1.0,53,15145,0.76194,1.27336
77,77,2017,Hamburg,2nd Quintile,No,1.0,51,15145,0.73956,1.28172
78,78,2017,Hamburg,3rd Quintile,No,1.0,46,15145,0.76812,1.23731
79,79,2017,Hamburg,4th Quintile,No,1.0,58,15145,0.78845,1.24304
80,80,2017,Hamburg,5th Quintile,No,1.0,76,15145,0.75404,1.24988
81,81,2017,Lower Saxony,1st Quintile,No,1.0,318,15145,0.84956,1.13761
82,82,2017,Lower Saxony,2nd Quintile,No,1.0,311,15145,0.8888,1.10962
83,83,2017,Lower Saxony,3rd Quintile,No,1.0,279,15145,0.87803,1.14512
84,84,2017,Lower Saxony,4th Quintile,No,1.0,302,15145,0.89066,1.13498
85,85,2017,Lower Saxony,5th Quintile,No,1.0,293,15145,0.88784,1.11082
86,86,2017,Bremen,1st Quintile,No,1.0,34,15145,0.68694,1.33357
87,87,2017,North Rhine-Westphalia,1st Quintile,No,1.0,693,15145,0.91211,1.07411
88,88,2017,North Rhine-Westphalia,2nd Quintile,No,1.0,585,15145,0.90815,1.08636
89,89,2017,North Rhine-Westphalia,3rd Quintile,No,1.0,599,15145,0.9392,1.0807
90,90,2017,North Rhine-Westphalia,4th Quintile,No,1.0,605,15145,0.9331,1.08216
91,91,2017,North Rhine-Westphalia,5th Quintile,No,1.0,646,15145,0.91475,1.0714
92,92,2017,Hesse,1st Quintile,No,1.0,203,15145,0.86655,1.15334
93,93,2017,Hesse,2nd Quintile,No,1.0,169,15145,0.84053,1.18128
94,94,2017,Hesse,3rd Quintile,No,1.0,203,15145,0.87139,1.12995
95,95,2017,Hesse,4th Quintile,No,1.0,190,15145,0.86768,1.17157
96,96,2017,Hesse,5th Quintile,No,1.0,259,15145,0.88343,1.13569
97,97,2017,"Rhineland-Palatinate, Saarland",1st Quintile,No,1.0,175,15145,0.84688,1.18021
98,98,2017,"Rhineland-Palatinate, Saarland",2nd Quintile,No,1.0,197,15145,0.85233,1.11658
99,99,2017,"Rhineland-Palatinate, Saarland",3rd Quintile,No,1.0,159,15145,0.83849,1.152
100,100,2017,"Rhineland-Palatinate, Saarland",4th Quintile,No,1.0,174,15145,0.85861,1.147
101,101,2017,"Rhineland-Palatinate, Saarland",5th Quintile,No,1.0,157,15145,0.86909,1.13245
102,102,2017,Baden-Wuerttemberg,1st Quintile,No,1.0,215,15145,0.8584,1.13598
103,103,2017,Baden-Wuerttemberg,2nd Quintile,No,1.0,289,15145,0.86272,1.12904
104,104,2017,Baden-Wuerttemberg,3rd Quintile,No,1.0,324,15145,0.89098,1.0988
105,105,2017,Baden-Wuerttemberg,4th Quintile,No,1.0,397,15145,0.90254,1.09822
106,106,2017,Baden-Wuerttemberg,5th Quintile,No,1.0,442,15145,0.91002,1.09063
107,107,2017,Bavaria,1st Quintile,No,1.0,379,15145,0.90309,1.09549
108,108,2017,Bavaria,2nd Quintile,No,1.0,486,15145,0.90738,1.11578
109,109,2017,Bavaria,3rd Quintile,No,1.0,473,15145,0.89671,1.10384
110,110,2017,Bavaria,4th Quintile,No,1.0,517,15145,0.92595,1.07972
111,111,2017,Bavaria,5th Quintile,No,1.0,558,15145,0.92449,1.10397
112,112,2017,Berlin,1st Quintile,No,1.0,158,15145,0.88052,1.16484
113,113,2017,Berlin,2nd Quintile,No,1.0,137,15145,0.86316,1.13976
114,114,2017,Berlin,3rd Quintile,No,1.0,114,15145,0.84397,1.19183
115,115,2017,Berlin,4th Quintile,No,1.0,106,15145,0.82441,1.19203
116,116,2017,Berlin,5th Quintile,No,1.0,115,15145,0.82395,1.16833
117,117,2017,Brandenburg,1st Quintile,No,1.0,157,15145,0.79587,1.16551
118,118,2017,Brandenburg,2nd Quintile,No,1.0,151,15145,0.83705,1.21273
119,119,2017,Brandenburg,3rd Quintile,No,1.0,136,15145,0.81491,1.14941
120,120,2017,Brandenburg,4th Quintile,No,1.0,91,15145,0.78965,1.24241
121,121,2017,Brandenburg,5th Quintile,No,1.0,67,15145,0.79196,1.2869
122,122,2017,Mecklenburg-Western Pomerania,1st Quintile,No,1.0,107,15145,0.81399,1.20702
123,123,2017,Mecklenburg-Western Pomerania,2nd Quintile,No,1.0,88,15145,0.77719,1.24441
124,124,2017,Mecklenburg-Western Pomerania,3rd Quintile,No,1.0,79,15145,0.79035,1.22177
125,125,2017,Mecklenburg-Western Pomerania,4th Quintile,No,1.0,44,15145,0.74069,1.23386
126,126,2017,Mecklenburg-Western Pomerania,5th Quintile,No,1.0,38,15145,0.83738,1.24895
127,127,2017,Saxony,1st Quintile,No,1.0,222,15145,0.88193,1.1309
128,128,2017,Saxony,2nd Quintile,No,1.0,264,15145,0.88028,1.12241
129,129,2017,Saxony,3rd Quintile,No,1.0,222,15145,0.85555,1.17672
130,130,2017,Saxony,4th Quintile,No,1.0,155,15145,0.81813,1.1999
131,131,2017,Saxony,5th Quintile,No,1.0,94,15145,0.83224,1.24362
132,132,2017,Saxony-Anhalt,1st Quintile,No,1.0,169,15145,0.81778,1.18219
133,133,2017,Saxony-Anhalt,2nd Quintile,No,1.0,135,15145,0.83316,1.16736
134,134,2017,Saxony-Anhalt,3rd Quintile,No,1.0,102,15145,0.7904,1.21181
135,135,2017,Saxony-Anhalt,4th Quintile,No,1.0,83,15145,0.8107,1.20167
136,136,2017,Saxony-Anhalt,5th Quintile,No,1.0,67,15145,0.79946,1.23704
137,137,2017,Thuringa,1st Quintile,No,1.0,126,15145,0.81887,1.24258
138,138,2017,Thuringa,2nd Quintile,No,1.0,162,15145,0.87141,1.1675
139,139,2017,Thuringa,3rd Quintile,No,1.0,130,15145,0.84463,1.16124
140,140,2017,Thuringa,4th Quintile,No,1.0,101,15145,0.79643,1.27307
141,141,2017,Thuringa,5th Quintile,No,1.0,62,15145,0.71871,1.30319
142,142,2018,Schleswig-Holstein,1st Quintile,No,1.0,125,14960,0.81046,1.20545
143,143,2018,Schleswig-Holstein,2nd Quintile,No,1.0,121,14960,0.826,1.21166
144,144,2018,Schleswig-Holstein,3rd Quintile,No,1.0,109,14960,0.82436,1.1942
145,145,2018,Schleswig-Holstein,4th Quintile,No,1.0,90,14960,0.81717,1.16604
146,146,2018,Schleswig-Holstein,5th Quintile,No,1.0,97,14960,0.77988,1.20995
147,147,2018,Hamburg,1st Quintile,No,1.0,70,14960,0.79327,1.24027
148,148,2018,Hamburg,2nd Quintile,No,1.0,56,14960,0.76365,1.29181
149,149,2018,Hamburg,3rd Quintile,No,1.0,57,14960,0.73843,1.2221
150,150,2018,Hamburg,4th Quintile,No,1.0,60,14960,0.75801,1.27166
151,151,2018,Hamburg,5th Quintile,No,1.0,71,14960,0.79189,1.29168
152,152,2018,Lower Saxony,1st Quintile,No,1.0,306,14960,0.87394,1.13648
153,153,2018,Lower Saxony,2nd Quintile,No,1.0,294,14960,0.87631,1.1223
154,154,2018,Lower Saxony,3rd Quintile,No,1.0,285,14960,0.88527,1.13992
155,155,2018,Lower Saxony,4th Quintile,No,1.0,274,14960,0.88601,1.11757
156,156,2018,Lower Saxony,5th Quintile,No,1.0,279,14960,0.8875,1.13195
157,157,2018,Bremen,1st Quintile,No,1.0,36,14960,0.61739,1.48706
158,158,2018,Bremen,5th Quintile,No,1.0,33,14960,0.63293,1.45822
159,159,2018,North Rhine-Westphalia,1st Quintile,No,1.0,696,14960,0.91402,1.08608
160,160,2018,North Rhine-Westphalia,2nd Quintile,No,1.0,667,14960,0.91714,1.07737
161,161,2018,North Rhine-Westphalia,3rd Quintile,No,1.0,548,14960,0.92356,1.07755
162,162,2018,North Rhine-Westphalia,4th Quintile,No,1.0,558,14960,0.90683,1.09045
163,163,2018,North Rhine-Westphalia,5th Quintile,No,1.0,640,14960,0.92625,1.07924
164,164,2018,Hesse,1st Quintile,No,1.0,184,14960,0.84487,1.15837
165,165,2018,Hesse,2nd Quintile,No,1.0,167,14960,0.81268,1.19484
166,166,2018,Hesse,3rd Quintile,No,1.0,177,14960,0.83782,1.16514
167,167,2018,Hesse,4th Quintile,No,1.0,200,14960,0.88994,1.15415
168,168,2018,Hesse,5th Quintile,No,1.0,241,14960,0.88851,1.14838
