year,bula_h,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,No,0.98113,494,494,0.96912,0.99314
2016,Hamburg,No,0.96710,257,257,0.94525,0.98895
2016,Lower Saxony,Yes,0.02772,38,1347,0.01895,0.03649
2016,Lower Saxony,No,0.96536,1309,1347,0.95559,0.97513
2016,Bremen,No,0.95206,102,102,0.91039,0.99372
2016,North Rhine-Westphalia,Yes,0.01616,63,2900,0.01157,0.02075
2016,North Rhine-Westphalia,No,0.97433,2837,2900,0.96857,0.98008
2016,Hesse,No,0.97356,947,947,0.96334,0.98379
2016,"Rhineland-Palatinate, Saarland",No,0.97710,834,834,0.96694,0.98726
2016,Baden-Wuerttemberg,Yes,0.02234,53,1622,0.01515,0.02954
2016,Baden-Wuerttemberg,No,0.96646,1569,1622,0.95770,0.97523
2016,Bavaria,Yes,0.01939,63,2297,0.01375,0.02503
2016,Bavaria,No,0.97631,2234,2297,0.97009,0.98253
2016,Berlin,No,0.96667,590,590,0.95217,0.98116
2016,Brandenburg,No,0.98815,553,553,0.97912,0.99718
2016,Mecklenburg-Western Pomerania,No,0.98489,322,322,0.97155,0.99824
2016,Saxony,No,0.96777,841,841,0.95583,0.97971
2016,Saxony-Anhalt,No,0.96820,501,501,0.95281,0.98358
2016,Thuringa,No,0.96806,531,531,0.95309,0.98303
2017,Schleswig-Holstein,No,0.95845,548,548,0.94173,0.97518
2017,Hamburg,No,0.96173,284,284,0.93938,0.98409
2017,Lower Saxony,Yes,0.02004,35,1538,0.01304,0.02705
2017,Lower Saxony,No,0.97147,1503,1538,0.96315,0.97979
2017,Bremen,No,0.97212,125,125,0.94314,1.00110
2017,North Rhine-Westphalia,Yes,0.01243,55,3184,0.00858,0.01628
2017,North Rhine-Westphalia,No,0.97636,3129,3184,0.97108,0.98164
2017,Hesse,No,0.97441,1025,1025,0.96474,0.98408
2017,"Rhineland-Palatinate, Saarland",No,0.96623,862,862,0.95417,0.97830
2017,Baden-Wuerttemberg,Yes,0.01757,56,1724,0.01136,0.02377
2017,Baden-Wuerttemberg,No,0.97727,1668,1724,0.97023,0.98431
2017,Bavaria,Yes,0.02571,86,2499,0.01951,0.03192
2017,Bavaria,No,0.96849,2413,2499,0.96164,0.97534
2017,Berlin,No,0.95416,630,630,0.93781,0.97050
2017,Brandenburg,No,0.97693,602,602,0.96493,0.98893
2017,Mecklenburg-Western Pomerania,No,0.97923,356,356,0.96440,0.99407
2017,Saxony,No,0.97253,957,957,0.96216,0.98289
2017,Saxony-Anhalt,No,0.97715,556,556,0.96472,0.98958
2017,Thuringa,No,0.97709,581,581,0.96491,0.98927
2018,Schleswig-Holstein,No,0.97534,542,542,0.96227,0.98841
2018,Hamburg,No,0.96588,315,315,0.94580,0.98596
2018,Lower Saxony,Yes,0.01829,40,1479,0.01145,0.02512
2018,Lower Saxony,No,0.97310,1439,1479,0.96485,0.98135
2018,Bremen,No,0.98040,133,133,0.95675,1.00405
2018,North Rhine-Westphalia,Yes,0.01962,69,3179,0.01480,0.02444
2018,North Rhine-Westphalia,No,0.96916,3110,3179,0.96315,0.97517
2018,Hesse,Yes,0.03212,35,1005,0.02122,0.04303
