year,bula_h,rentown,hlc0180,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Owner,No,1.00000,228,14060,0,0.91580,0,1.12127
2016,Schleswig-Holstein,Tenant,No,1.00000,266,14060,0,0.85971,0,1.12889
2016,Hamburg,Owner,No,1.00000,72,14060,0,0.82532,0,1.24746
2016,Hamburg,Tenant,No,1.00000,185,14060,0,0.85241,0,1.13913
2016,Lower Saxony,Owner,No,1.00000,668,14060,0,0.91921,0,1.07791
2016,Lower Saxony,Tenant,No,1.00000,641,14060,0,0.92431,0,1.09935
2016,Bremen,Owner,No,1.00000,32,14060,0,0.62561,0,1.41935
2016,Bremen,Tenant,No,1.00000,70,14060,0,0.71760,0,1.29062
2016,North Rhine-Westphalia,Owner,Yes,0.01193,32,14060,0,0.00792,0,0.01681
2016,North Rhine-Westphalia,Owner,No,0.98807,1181,14060,0,0.92709,0,1.04896
2016,North Rhine-Westphalia,Tenant,Yes,0.01977,31,14060,0,0.01126,0,0.02805
2016,North Rhine-Westphalia,Tenant,No,0.98023,1656,14060,0,0.92209,0,1.04647
2016,Hesse,Owner,No,1.00000,409,14060,0,0.88223,0,1.09192
2016,Hesse,Tenant,No,1.00000,538,14060,0,0.89682,0,1.10319
2016,"Rhineland-Palatinate, Saarland",Owner,No,1.00000,437,14060,0,0.91027,0,1.09821
2016,"Rhineland-Palatinate, Saarland",Tenant,No,1.00000,397,14060,0,0.90507,0,1.10251
2016,Baden-Wuerttemberg,Owner,Yes,0.02847,38,14060,0,0.01599,0,0.04329
2016,Baden-Wuerttemberg,Owner,No,0.97153,814,14060,0,0.90774,0,1.04436
2016,Baden-Wuerttemberg,Tenant,No,1.00000,755,14060,0,0.91833,0,1.07916
2016,Bavaria,Owner,No,1.00000,1072,14060,0,0.94201,0,1.06325
2016,Bavaria,Tenant,Yes,0.02812,39,14060,0,0.01798,0,0.04063
2016,Bavaria,Tenant,No,0.97188,1161,14060,0,0.91820,0,1.03438
2016,Berlin,Owner,No,1.00000,105,14060,0,0.82169,0,1.18920
2016,Berlin,Tenant,No,1.00000,485,14060,0,0.91324,0,1.09240
2016,Brandenburg,Owner,No,1.00000,249,14060,0,0.87864,0,1.14364
2016,Brandenburg,Tenant,No,1.00000,304,14060,0,0.87493,0,1.13590
2016,Mecklenburg-Western Pomerania,Owner,No,1.00000,102,14060,0,0.80957,0,1.19078
2016,Mecklenburg-Western Pomerania,Tenant,No,1.00000,220,14060,0,0.86045,0,1.13505
2016,Saxony,Owner,No,1.00000,296,14060,0,0.87870,0,1.12133
