year,migback,plh0034,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Very concerned,0.42324,7722,15528,0.41547,0.43102
2009,No migration background,Somewhat concerned,0.34121,6360,15528,0.33375,0.34867
2009,No migration background,Not concerned at all,0.08330,1446,15528,0.07895,0.08765
2009,Direct migration background,Very concerned,0.43992,735,1631,0.41582,0.46402
2009,Direct migration background,Somewhat concerned,0.42274,719,1631,0.39875,0.44672
2009,Direct migration background,Not concerned at all,0.09685,177,1631,0.08249,0.11121
2009,Indirect migration background,Very concerned,0.20057,261,700,0.17088,0.23025
2009,Indirect migration background,Somewhat concerned,0.25621,349,700,0.22385,0.28858
2009,Indirect migration background,Not concerned at all,0.06234,90,700,0.04441,0.08026
2010,No migration background,Very concerned,0.31012,5664,14420,0.30257,0.31767
2010,No migration background,Somewhat concerned,0.37460,7010,14420,0.36670,0.38250
2010,No migration background,Not concerned at all,0.10115,1746,14420,0.09623,0.10607
2010,Direct migration background,Very concerned,0.25652,492,1444,0.23399,0.27906
2010,Direct migration background,Somewhat concerned,0.40680,718,1444,0.38146,0.43215
2010,Direct migration background,Not concerned at all,0.11808,234,1444,0.10143,0.13473
2010,Indirect migration background,Very concerned,0.11637,190,648,0.09166,0.14108
2010,Indirect migration background,Somewhat concerned,0.19619,328,648,0.16559,0.22679
2010,Indirect migration background,Not concerned at all,0.08225,130,648,0.06108,0.10342
2011,No migration background,Very concerned,0.25152,5643,17658,0.24512,0.25792
2011,No migration background,Somewhat concerned,0.40025,9124,17658,0.39302,0.40748
2011,No migration background,Not concerned at all,0.12620,2891,17658,0.12131,0.13110
2011,Direct migration background,Very concerned,0.18843,474,1952,0.17108,0.20578
2011,Direct migration background,Somewhat concerned,0.44450,1059,1952,0.42245,0.46655
2011,Direct migration background,Not concerned at all,0.16770,419,1952,0.15112,0.18427
2011,Indirect migration background,Very concerned,0.08925,177,783,0.06927,0.10924
2011,Indirect migration background,Somewhat concerned,0.21524,426,783,0.18644,0.24405
2011,Indirect migration background,Not concerned at all,0.08941,180,783,0.06941,0.10941
2012,No migration background,Very concerned,0.31022,6970,17586,0.30339,0.31706
2012,No migration background,Somewhat concerned,0.37300,8283,17586,0.36585,0.38015
2012,No migration background,Not concerned at all,0.10351,2333,17586,0.09901,0.10801
2012,Direct migration background,Very concerned,0.24452,595,1946,0.22542,0.26362
2012,Direct migration background,Somewhat concerned,0.43241,992,1946,0.41040,0.45443
2012,Direct migration background,Not concerned at all,0.14606,359,1946,0.13036,0.16175
2012,Indirect migration background,Very concerned,0.10742,209,774,0.08559,0.12925
2012,Indirect migration background,Somewhat concerned,0.20335,399,774,0.17498,0.23173
2012,Indirect migration background,Not concerned at all,0.08671,166,774,0.06687,0.10655
2013,No migration background,Very concerned,0.25311,5242,16321,0.24644,0.25978
2013,No migration background,Somewhat concerned,0.39950,8369,16321,0.39199,0.40701
2013,No migration background,Not concerned at all,0.13089,2710,16321,0.12571,0.13606
2013,Direct migration background,Very concerned,0.12960,442,1702,0.11363,0.14556
2013,Direct migration background,Somewhat concerned,0.26516,916,1702,0.24419,0.28614
2013,Direct migration background,Not concerned at all,0.10204,344,1702,0.08766,0.11643
2013,Indirect migration background,Very concerned,0.04958,153,696,0.03344,0.06572
2013,Indirect migration background,Somewhat concerned,0.13683,398,696,0.11128,0.16238
2013,Indirect migration background,Not concerned at all,0.05490,145,696,0.03796,0.07183
2014,No migration background,Very concerned,0.19871,4546,19934,0.19317,0.20425
2014,No migration background,Somewhat concerned,0.46229,10796,19934,0.45537,0.46921
2014,No migration background,Not concerned at all,0.19106,4592,19934,0.18560,0.19652
2014,Direct migration background,Very concerned,0.15897,889,5073,0.14890,0.16903
2014,Direct migration background,Somewhat concerned,0.49130,2626,5073,0.47754,0.50506
2014,Direct migration background,Not concerned at all,0.28739,1558,5073,0.27494,0.29985
2014,Indirect migration background,Very concerned,0.07940,297,1687,0.06649,0.09231
2014,Indirect migration background,Somewhat concerned,0.24436,837,1687,0.22385,0.26487
2014,Indirect migration background,Not concerned at all,0.15804,553,1687,0.14063,0.17545
2019,No migration background,Very concerned,0.17724,4201,19905,0.17194,0.18255
2019,No migration background,Somewhat concerned,0.46411,10840,19905,0.45718,0.47104
2019,No migration background,Not concerned at all,0.20597,4864,19905,0.20035,0.21159
2019,Direct migration background,Very concerned,0.16028,657,3820,0.14864,0.17191
2019,Direct migration background,Somewhat concerned,0.45339,2031,3820,0.43760,0.46918
2019,Direct migration background,Not concerned at all,0.25631,1132,3820,0.24247,0.27016
2019,Indirect migration background,Very concerned,0.06859,242,1542,0.05597,0.08121
2019,Indirect migration background,Somewhat concerned,0.25673,780,1542,0.23492,0.27854
2019,Indirect migration background,Not concerned at all,0.17591,520,1542,0.15690,0.19492
