year,age_gr,bula_h,plh0034,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Schleswig-Holstein,Somewhat concerned,0.47591,34,34,0.30551,0.64630
2009,17-29 y.,Lower Saxony,Very concerned,0.32721,73,223,0.26549,0.38893
2009,17-29 y.,Lower Saxony,Somewhat concerned,0.48550,117,223,0.41976,0.55125
2009,17-29 y.,Lower Saxony,Not concerned at all,0.12354,33,223,0.08025,0.16683
2009,17-29 y.,North Rhine-Westphalia,Very concerned,0.32093,178,532,0.28122,0.36064
2009,17-29 y.,North Rhine-Westphalia,Somewhat concerned,0.45120,269,532,0.40887,0.49352
2009,17-29 y.,North Rhine-Westphalia,Not concerned at all,0.14425,85,532,0.11436,0.17413
2009,17-29 y.,Hesse,Very concerned,0.29305,53,156,0.22139,0.36470
2009,17-29 y.,Hesse,Somewhat concerned,0.50463,103,156,0.42592,0.58334
2009,17-29 y.,"Rhineland-Palatinate, Saarland",Very concerned,0.23186,38,154,0.16499,0.29873
2009,17-29 y.,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.40598,83,154,0.32817,0.48380
2009,17-29 y.,"Rhineland-Palatinate, Saarland",Not concerned at all,0.21111,33,154,0.14645,0.27578
2009,17-29 y.,Baden-Wuerttemberg,Very concerned,0.39517,151,395,0.34690,0.44344
2009,17-29 y.,Baden-Wuerttemberg,Somewhat concerned,0.42773,193,395,0.37888,0.47659
2009,17-29 y.,Baden-Wuerttemberg,Not concerned at all,0.09540,51,395,0.06640,0.12441
2009,17-29 y.,Bavaria,Very concerned,0.31458,145,404,0.26925,0.35992
2009,17-29 y.,Bavaria,Somewhat concerned,0.43917,200,404,0.39071,0.48762
2009,17-29 y.,Bavaria,Not concerned at all,0.14628,59,404,0.11178,0.18078
2009,17-29 y.,Berlin,Very concerned,0.27018,34,102,0.18358,0.35679
2009,17-29 y.,Berlin,Somewhat concerned,0.50921,68,102,0.41172,0.60671
2009,17-29 y.,Brandenburg,Somewhat concerned,0.46981,60,60,0.34246,0.59716
2009,17-29 y.,Saxony,Very concerned,0.22859,56,225,0.17360,0.28358
