year,rentown,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,Yes,0.02455,178,6290,0.02073,0.02838
2016,Owner,No,0.97314,6112,6290,0.96914,0.97713
2016,Tenant,Yes,0.01450,126,7986,0.01188,0.01712
2016,Tenant,No,0.98266,7860,7986,0.97980,0.98553
2017,Owner,Yes,0.03172,239,7054,0.02763,0.03581
2017,Owner,No,0.96658,6815,7054,0.96238,0.97077
2017,Tenant,Yes,0.01697,133,8603,0.01424,0.01970
2017,Tenant,No,0.97336,8470,8603,0.96996,0.97677
2018,Owner,Yes,0.03277,230,6747,0.02852,0.03702
2018,Owner,No,0.96585,6517,6747,0.96152,0.97019
2018,Tenant,Yes,0.01249,118,8686,0.01016,0.01483
2018,Tenant,No,0.97263,8568,8686,0.96920,0.97606
2019,Owner,Yes,0.03012,279,7865,0.02634,0.03390
2019,Owner,No,0.96849,7586,7865,0.96463,0.97236
2019,Tenant,Yes,0.01415,131,8252,0.01160,0.01670
2019,Tenant,No,0.96957,8121,8252,0.96586,0.97328
2020,Owner,Yes,0.03595,272,6942,0.03157,0.04033
2020,Owner,No,0.95820,6670,6942,0.95349,0.96290
2020,Tenant,Yes,0.01546,128,9329,0.01296,0.01797
2020,Tenant,No,0.96447,9201,9329,0.96072,0.96823
2021,Owner,Yes,0.03327,201,5070,0.02833,0.03821
2021,Owner,No,0.96405,4869,5070,0.95892,0.96917
2021,Tenant,Yes,0.01609,122,5990,0.01290,0.01928
2021,Tenant,No,0.96202,5868,5990,0.95718,0.96686
2022,Owner,Yes,0.03768,328,7803,0.03345,0.04191
2022,Owner,No,0.95791,7475,7803,0.95346,0.96237
2022,Tenant,Yes,0.01893,247,11335,0.01642,0.02144
2022,Tenant,No,0.95706,11088,11335,0.95333,0.96080
