year,quintil_oecd_hh,sampreg,hlc0178,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,West,No,0.96080,2250,2250,0.95277,0.96882
2016,1st Quintile,East,No,0.96422,810,810,0.95142,0.97702
2016,2nd Quintile,West,Yes,0.01162,35,2237,0.00718,0.01606
2016,2nd Quintile,West,No,0.98509,2202,2237,0.98006,0.99011
2016,2nd Quintile,East,No,0.98821,783,783,0.98065,0.99578
2016,3rd Quintile,West,Yes,0.01766,41,2069,0.01198,0.02334
2016,3rd Quintile,West,No,0.98041,2028,2069,0.97444,0.98639
2016,3rd Quintile,East,No,0.98337,664,664,0.97364,0.99311
2016,4th Quintile,West,Yes,0.02370,68,2199,0.01734,0.03006
2016,4th Quintile,West,No,0.97214,2131,2199,0.96526,0.97902
2016,4th Quintile,East,No,0.98509,448,448,0.97385,0.99632
2016,5th Quintile,West,Yes,0.03222,84,2426,0.02519,0.03924
2016,5th Quintile,West,No,0.96725,2342,2426,0.96016,0.97433
2016,5th Quintile,East,No,0.92885,312,312,0.90028,0.95742
2017,1st Quintile,West,No,0.95697,2302,2302,0.94867,0.96526
2017,1st Quintile,East,No,0.97097,873,873,0.95983,0.98212
2017,2nd Quintile,West,Yes,0.02158,46,2332,0.01568,0.02748
2017,2nd Quintile,West,No,0.97542,2286,2332,0.96913,0.98170
2017,2nd Quintile,East,No,0.98756,891,891,0.98028,0.99484
2017,3rd Quintile,West,Yes,0.03287,67,2361,0.02568,0.04006
2017,3rd Quintile,West,No,0.96586,2294,2361,0.95853,0.97319
2017,3rd Quintile,East,No,0.98170,709,709,0.97182,0.99157
2017,4th Quintile,West,Yes,0.02655,76,2514,0.02026,0.03283
2017,4th Quintile,West,No,0.97242,2438,2514,0.96602,0.97882
2017,4th Quintile,East,No,0.96167,512,512,0.94502,0.97831
2017,5th Quintile,West,Yes,0.03374,97,2712,0.02694,0.04054
2017,5th Quintile,West,No,0.96590,2615,2712,0.95906,0.97273
