,Unnamed: 0,year,quintil_oecd_hh,rentown,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,1st Quintile,Owner,Yes,0.54558,181,6528,0.50225,0.60566
1,1,1992,1st Quintile,Owner,No,0.45442,148,6528,0.40604,0.51369
2,2,1992,1st Quintile,Tenant,Yes,0.37169,425,6528,0.34987,0.39652
3,3,1992,1st Quintile,Tenant,No,0.62831,630,6528,0.59111,0.66085
4,4,1992,2nd Quintile,Owner,Yes,0.66508,292,6528,0.61517,0.71349
5,5,1992,2nd Quintile,Owner,No,0.33492,158,6528,0.3007,0.37565
6,6,1992,2nd Quintile,Tenant,Yes,0.56279,603,6528,0.52663,0.59675
7,7,1992,2nd Quintile,Tenant,No,0.43721,428,6528,0.39965,0.48137
8,8,1992,3rd Quintile,Owner,Yes,0.72298,305,6528,0.67559,0.76707
9,9,1992,3rd Quintile,Owner,No,0.27702,119,6528,0.24589,0.30514
10,10,1992,3rd Quintile,Tenant,Yes,0.67763,607,6528,0.63714,0.71666
11,11,1992,3rd Quintile,Tenant,No,0.32237,291,6528,0.28425,0.35305
12,12,1992,4th Quintile,Owner,Yes,0.74279,376,6528,0.70752,0.77738
13,13,1992,4th Quintile,Owner,No,0.25721,129,6528,0.23263,0.28485
14,14,1992,4th Quintile,Tenant,Yes,0.76335,575,6528,0.71923,0.81449
15,15,1992,4th Quintile,Tenant,No,0.23665,178,6528,0.20797,0.26291
16,16,1992,5th Quintile,Owner,Yes,0.83581,495,6528,0.79622,0.87293
17,17,1992,5th Quintile,Owner,No,0.16419,101,6528,0.14724,0.17852
18,18,1992,5th Quintile,Tenant,Yes,0.81065,391,6528,0.7488,0.85703
19,19,1992,5th Quintile,Tenant,No,0.18935,96,6528,0.16473,0.22095
20,20,1993,1st Quintile,Owner,Yes,0.4671,133,6472,0.42235,0.51898
21,21,1993,1st Quintile,Owner,No,0.5329,153,6472,0.46912,0.59153
22,22,1993,1st Quintile,Tenant,Yes,0.36951,389,6472,0.3455,0.39912
23,23,1993,1st Quintile,Tenant,No,0.63049,611,6472,0.5918,0.66743
24,24,1993,2nd Quintile,Owner,Yes,0.67654,285,6472,0.6295,0.72464
25,25,1993,2nd Quintile,Owner,No,0.32346,147,6472,0.28982,0.35511
26,26,1993,2nd Quintile,Tenant,Yes,0.6054,628,6472,0.57217,0.6447
27,27,1993,2nd Quintile,Tenant,No,0.3946,410,6472,0.35852,0.43231
28,28,1993,3rd Quintile,Owner,Yes,0.7722,368,6472,0.72107,0.81852
29,29,1993,3rd Quintile,Owner,No,0.2278,101,6472,0.20137,0.25213
30,30,1993,3rd Quintile,Tenant,Yes,0.70476,633,6472,0.66144,0.76084
31,31,1993,3rd Quintile,Tenant,No,0.29524,253,6472,0.26251,0.32995
32,32,1993,4th Quintile,Owner,Yes,0.76228,388,6472,0.71244,0.80514
33,33,1993,4th Quintile,Owner,No,0.23772,131,6472,0.2147,0.26023
34,34,1993,4th Quintile,Tenant,Yes,0.7285,558,6472,0.68721,0.76946
35,35,1993,4th Quintile,Tenant,No,0.2715,199,6472,0.2488,0.30063
36,36,1993,5th Quintile,Owner,Yes,0.82716,469,6472,0.7847,0.86663
37,37,1993,5th Quintile,Owner,No,0.17284,108,6472,0.15723,0.18724
38,38,1993,5th Quintile,Tenant,Yes,0.82318,418,6472,0.76759,0.88548
39,39,1993,5th Quintile,Tenant,No,0.17682,90,6472,0.14601,0.20041
40,40,1994,1st Quintile,Owner,Yes,0.47067,124,6409,0.4122,0.51909
41,41,1994,1st Quintile,Owner,No,0.52933,139,6409,0.46315,0.60601
42,42,1994,1st Quintile,Tenant,Yes,0.35628,373,6409,0.32581,0.38775
43,43,1994,1st Quintile,Tenant,No,0.64372,675,6409,0.60639,0.68947
44,44,1994,2nd Quintile,Owner,Yes,0.67476,272,6409,0.62529,0.73093
45,45,1994,2nd Quintile,Owner,No,0.32524,142,6409,0.29272,0.36038
46,46,1994,2nd Quintile,Tenant,Yes,0.57998,590,6409,0.54031,0.61931
47,47,1994,2nd Quintile,Tenant,No,0.42002,393,6409,0.38229,0.46013
48,48,1994,3rd Quintile,Owner,Yes,0.73298,389,6409,0.68504,0.7806
49,49,1994,3rd Quintile,Owner,No,0.26702,122,6409,0.23733,0.30307
50,50,1994,3rd Quintile,Tenant,Yes,0.68866,591,6409,0.65013,0.73685
51,51,1994,3rd Quintile,Tenant,No,0.31134,249,6409,0.28546,0.3424
52,52,1994,4th Quintile,Owner,Yes,0.76949,387,6409,0.72246,0.81743
53,53,1994,4th Quintile,Owner,No,0.23051,118,6409,0.20486,0.25642
54,54,1994,4th Quintile,Tenant,Yes,0.76295,567,6409,0.71917,0.80676
55,55,1994,4th Quintile,Tenant,No,0.23705,172,6409,0.21541,0.26303
56,56,1994,5th Quintile,Owner,Yes,0.8502,507,6409,0.81269,0.89692
