year,sampreg,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1992,West,Yes,0.5325988223516974,2950,6603,0.5324339018612747,0.5327637428421201
1992,West,No,0.27854199082758824,1652,6603,0.2783938139350893,0.2786901677200872
1992,East,Yes,0.1236200217418339,1300,6603,0.12351122390843183,0.12372881957523596
1992,East,No,0.06523916507888046,628,6603,0.06515753803541464,0.06532079212234627
1993,West,Yes,0.5349044571962353,2944,6570,0.534740343398599,0.5350685709938715
1993,West,No,0.27580774464732255,1659,6570,0.2756606942965984,0.2759547949980467
1993,East,Yes,0.12950049922353254,1325,6570,0.1293900262909909,0.1296109721560742
1993,East,No,0.05978729893290974,545,6570,0.0597092883682141,0.05986530949760538
1994,West,Yes,0.5308365912293574,2916,6496,0.5306736291681796,0.5309995532905353
1994,West,No,0.2813260094296605,1657,6496,0.28117917938751386,0.2814728394718072
1994,East,Yes,0.13292807978803925,1314,6496,0.1328172184940842,0.1330389410819943
1994,East,No,0.054909319552942655,530,6496,0.054834931397835976,0.054983707708049334
1995,West,Yes,0.5255035852773582,3012,6697,0.5253410331063958,0.5256661374483206
1995,West,No,0.2892980677769469,1787,6697,0.28915046144795303,0.28944567410594074
1995,East,Yes,0.1319144949966487,1295,6697,0.13180433701331923,0.13202465297997817
1995,East,No,0.05328385194904624,515,6697,0.05321073868654325,0.05335696521154922
1996,West,Yes,0.527140519683087,2935,6631,0.5269784430477519,0.527302596318422
1996,West,No,0.28964445180501897,1787,6631,0.2894971996507408,0.28979170395929715
1996,East,Yes,0.1281183976547754,1279,6631,0.1280098986716689,0.1282268966378819
1996,East,No,0.05509663085711859,540,6631,0.05502255999800073,0.055170701716236455
1997,West,Yes,0.5209928881002752,2881,6546,0.5208315893656178,0.5211541868349326
1997,West,No,0.2945822831146522,1793,6546,0.29443509573434434,0.29472947049496
1997,East,Yes,0.13017848817268554,1278,6546,0.13006983841399064,0.13028713793138044
1997,East,No,0.054246340612387055,532,6546,0.054173206781910815,0.054319474442863294
1998,West,Yes,0.512788955611537,3313,7417,0.5126275160125918,0.5129503952104822
1998,West,No,0.30231325057632935,2061,7417,0.30216491647485944,0.30246158467779927
1998,East,Yes,0.12451936273412219,1306,7417,0.12441272181152993,0.12462600365671445
1998,East,No,0.06037843107801148,633,7417,0.06030150039701056,0.06045536175901241
1999,West,Yes,0.5180620550070731,3199,7143,0.5179012390463313,0.5182228709678149
1999,West,No,0.29709385539240263,1937,7143,0.29694678061435786,0.2972409301704474
1999,East,Yes,0.12160737327795901,1267,7143,0.12150218508566353,0.12171256147025449
1999,East,No,0.0632367163225652,646,7143,0.06315838376938279,0.0633150488757476
2000,West,Yes,0.5204548126404233,6196,12950,0.5202948877604563,0.5206147375203902
2000,West,No,0.29235685356047164,3510,12950,0.29221124948112653,0.29250245763981675
2000,East,Yes,0.12104063651145051,1976,12950,0.12093622226741321,0.12114505075548782
2000,East,No,0.06614769728765457,1063,12950,0.06606813519220431,0.06622725938310484
2001,West,Yes,0.5313878878986542,5672,11680,0.5312286937797526,0.5315470820175558
2001,West,No,0.2808019270784469,3007,11680,0.2806585635310267,0.28094529062586715
2001,East,Yes,0.12508604554916422,1869,11680,0.1249805093273454,0.12519158177098302
2001,East,No,0.06272413947373466,950,11680,0.06264678854881105,0.06280149039865827
2002,West,Yes,0.49578983848010455,5853,12212,0.49563066252870536,0.49594901443150374
2002,West,No,0.3170664572458532,3341,12212,0.31691831217068855,0.31721460232101784
2002,East,Yes,0.11382898089041231,1787,12212,0.11372786764688322,0.1139300941339414
2002,East,No,0.07331472338362986,1020,12212,0.07323174125360837,0.07339770551365135
2003,West,Yes,0.4953076311961828,5606,11804,0.49514919280650654,0.4954660695858591
2003,West,No,0.31730666586963113,3257,11804,0.31715917607526,0.31745415566400226
2003,East,Yes,0.11402834930383271,1755,11804,0.11392762694858137,0.11412907165908405
2003,East,No,0.07335735363035319,1026,11804,0.07327473318897047,0.0734399740717359
2004,West,Yes,0.4830400912815509,5349,11543,0.48288196799385696,0.48319821456924483
2004,West,No,0.3298265344575912,3287,11543,0.3296777655325833,0.32997530338259906
2004,East,Yes,0.10809166112882965,1667,11543,0.10799341125022725,0.10818991100743204
2004,East,No,0.07904171313202844,1071,11543,0.07895633945889297,0.07912708680516392
2005,West,Yes,0.49791332169624525,5389,11199,0.4977553018480046,0.4980713415444859
2005,West,No,0.31384288165627827,2989,11199,0.31369622109387396,0.3139895422186826
2005,East,Yes,0.11124566580060276,1634,11199,0.11114629064224238,0.11134504095896314
2005,East,No,0.07699813084687364,1037,11199,0.07691387757024302,0.07708238412350425
2006,West,Yes,0.4710286326124071,5697,12265,0.47087247301644175,0.4711847922083725
2006,West,No,0.3418577264046214,3541,12265,0.3417093340472807,0.34200611876196213
2006,East,Yes,0.10562962046536119,1731,12265,0.10553346355424459,0.10572577737647779
2006,East,No,0.08148402051761033,1155,12265,0.08139843337580693,0.08156960765941373
2007,West,Yes,0.4804529645494335,5425,11453,0.4802964245844467,0.48060950451442025
2007,West,No,0.33104153023973104,3167,11453,0.33089408587559266,0.3311889746038694
2007,East,Yes,0.11446515674016644,1708,11453,0.11436540353961679,0.1145649099407161
2007,East,No,0.074040348470669,1029,11453,0.07395830998853026,0.07412238695280773
2008,West,Yes,0.48800424290325684,5127,10822,0.48784776434275967,0.488160721463754
2008,West,No,0.3250304793310488,2907,10822,0.32488385231806494,0.32517710634403263
2008,East,Yes,0.11006770692565435,1600,10822,0.10996973124149403,0.11016568260981466
2008,East,No,0.0768975708400399,1019,10822,0.0768141660257692,0.0769809756543106
2009,West,Yes,0.492062340566278,4797,10177,0.49190648181440655,0.4922181993181495
2009,West,No,0.3202511595696819,2729,10177,0.3201057022714896,0.32039661686787424
2009,East,Yes,0.10854872392140616,1533,10177,0.10845174505797683,0.10864570278483549
2009,East,No,0.07913777594263394,993,10177,0.079053616050048,0.07922193583521987
2010,West,Yes,0.478992953833743,5990,13799,0.4788378235724154,0.47914808409507065
2010,West,No,0.3367728249045512,4566,13799,0.33662606418257357,0.3369195856265288
2010,East,Yes,0.1083673249529142,1783,13799,0.10827079717084931,0.1084638527349791
2010,East,No,0.07586689630879156,1356,13799,0.07578467136489349,0.07594912125268964
2011,West,Yes,0.5036366895411208,7548,16603,0.5034793438495723,0.5037940352326694
2011,West,No,0.3118531323131893,5135,16603,0.3117073476079797,0.3119989170183989
2011,East,Yes,0.11140081473846142,2130,16603,0.11130180145153867,0.11149982802538416
2011,East,No,0.07310936340722848,1589,16603,0.07302744205965163,0.07319128475480534
2012,West,Yes,0.5069318165521666,7505,16303,0.506775221206086,0.5070884118982472
2012,West,No,0.30920867203108376,4962,16303,0.30906391160336505,0.3093534324588025
2012,East,Yes,0.1121005609282162,2145,16303,0.11200174285763351,0.1121993789987989
2012,East,No,0.07175895048853358,1546,16303,0.07167811184626594,0.07183978913080122
2013,West,Yes,0.5065109351527562,8181,17870,0.5063548480974844,0.5066670222080281
2013,West,No,0.3112655066262157,5882,17870,0.31112095428743397,0.31141005896499746
2013,East,Yes,0.11252188313132912,2157,17870,0.11242322542145251,0.11262054084120572
2013,East,No,0.0697016750896988,1478,17870,0.06962217521672945,0.06978117496266814
2014,West,Yes,0.5066427542499204,7346,15828,0.5064875422828771,0.5067979662169638
2014,West,No,0.3110694340013371,5009,15828,0.3109257164113848,0.31121315159128937
2014,East,Yes,0.11503437999821817,2069,15828,0.1149353263314085,0.11513343366502783
2014,East,No,0.06725343175052419,1299,15828,0.06717567598805493,0.06733118751299344
2015,West,Yes,0.4971108703041662,7346,15764,0.4969564407910271,0.4972652998173053
2015,West,No,0.32037308580476126,5009,15764,0.32022896361734554,0.320517207992177
2015,East,Yes,0.11199592468706315,1994,15764,0.11189852083383794,0.11209332854028836
2015,East,No,0.07052011920400945,1261,15764,0.07044104331850562,0.07059919508951329
2016,West,Yes,0.508125623808894,6817,16419,0.5079710746226993,0.5082801729950888
2016,West,No,0.31113949580331984,4313,16419,0.3109963768045149,0.31128261480212477
2016,East,Yes,0.11231071425032248,1907,16419,0.11221310406020407,0.11240832444044088
2016,East,No,0.06842416613746378,1145,16419,0.06834611703040744,0.06850221524452013
2017,West,Yes,0.5246504273657409,7731,18279,0.5244967295518402,0.5248041251796415
2017,West,No,0.2975317224386364,4408,18279,0.2973910185443271,0.2976724263329457
2017,East,Yes,0.11520620740293766,2231,18279,0.11510794551717146,0.11530446928870386
