year,quintil_oecd_hh,regtyp,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1992,1st Quintile,Urban regions,Yes,0.36308,271,6469,0,0.33369,0,0.39417
1992,1st Quintile,Urban regions,No,0.63692,441,6469,0,0.58795,0,0.68798
1992,1st Quintile,Rural regions,Yes,0.46706,321,6469,0,0.44240,0,0.49827
1992,1st Quintile,Rural regions,No,0.53294,329,6469,0,0.49274,0,0.58133
1992,2nd Quintile,Urban regions,Yes,0.56138,472,6469,0,0.52256,0,0.60140
1992,2nd Quintile,Urban regions,No,0.43862,392,6469,0,0.41110,0,0.47492
1992,2nd Quintile,Rural regions,Yes,0.65448,407,6469,0,0.60175,0,0.70416
1992,2nd Quintile,Rural regions,No,0.34552,191,6469,0,0.30951,0,0.38804
1992,3rd Quintile,Urban regions,Yes,0.70254,617,6469,0,0.65664,0,0.74239
1992,3rd Quintile,Urban regions,No,0.29746,288,6469,0,0.26567,0,0.32480
1992,3rd Quintile,Rural regions,Yes,0.66813,290,6469,0,0.61467,0,0.72723
1992,3rd Quintile,Rural regions,No,0.33187,121,6469,0,0.29230,0,0.37716
1992,4th Quintile,Urban regions,Yes,0.75651,698,6469,0,0.72178,0,0.79038
1992,4th Quintile,Urban regions,No,0.24349,239,6469,0,0.22218,0,0.26565
1992,4th Quintile,Rural regions,Yes,0.74653,249,6469,0,0.68960,0,0.80939
1992,4th Quintile,Rural regions,No,0.25347,67,6469,0,0.21737,0,0.28347
1992,5th Quintile,Urban regions,Yes,0.82962,736,6469,0,0.79417,0,0.86882
1992,5th Quintile,Urban regions,No,0.17038,162,6469,0,0.15464,0,0.18612
1992,5th Quintile,Rural regions,Yes,0.80391,145,6469,0,0.72259,0,0.88492
1992,5th Quintile,Rural regions,No,0.19609,33,6469,0,0.16620,0,0.23688
1993,1st Quintile,Urban regions,Yes,0.34515,244,6472,0,0.31629,0,0.37754
1993,1st Quintile,Urban regions,No,0.65485,461,6472,0,0.61123,0,0.70610
1993,1st Quintile,Rural regions,Yes,0.46288,278,6472,0,0.42328,0,0.49835
1993,1st Quintile,Rural regions,No,0.53712,303,6472,0,0.48641,0,0.57572
1993,2nd Quintile,Urban regions,Yes,0.61997,518,6472,0,0.57928,0,0.66548
1993,2nd Quintile,Urban regions,No,0.38003,353,6472,0,0.34626,0,0.41458
1993,2nd Quintile,Rural regions,Yes,0.63931,395,6472,0,0.59727,0,0.68358
1993,2nd Quintile,Rural regions,No,0.36069,204,6472,0,0.32770,0,0.39514
1993,3rd Quintile,Urban regions,Yes,0.71678,642,6472,0,0.67553,0,0.75421
1993,3rd Quintile,Urban regions,No,0.28322,261,6472,0,0.25372,0,0.30791
1993,3rd Quintile,Rural regions,Yes,0.76321,359,6472,0,0.70028,0,0.81630
1993,3rd Quintile,Rural regions,No,0.23679,93,6472,0,0.20213,0,0.27097
1993,4th Quintile,Urban regions,Yes,0.74187,677,6472,0,0.71037,0,0.77752
1993,4th Quintile,Urban regions,No,0.25813,248,6472,0,0.23767,0,0.27888
1993,4th Quintile,Rural regions,Yes,0.74719,269,6472,0,0.69688,0,0.79658
1993,4th Quintile,Rural regions,No,0.25281,82,6472,0,0.21207,0,0.29043
1993,5th Quintile,Urban regions,Yes,0.82400,729,6472,0,0.78622,0,0.85780
1993,5th Quintile,Urban regions,No,0.17600,165,6472,0,0.15900,0,0.19324
1993,5th Quintile,Rural regions,Yes,0.83225,158,6472,0,0.75630,0,0.92497
1993,5th Quintile,Rural regions,No,0.16775,33,6472,0,0.13967,0,0.19330
1994,1st Quintile,Urban regions,Yes,0.32951,256,6412,0,0.29674,0,0.35454
1994,1st Quintile,Urban regions,No,0.67049,549,6412,0,0.62138,0,0.72442
1994,1st Quintile,Rural regions,Yes,0.47196,241,6412,0,0.43407,0,0.51070
1994,1st Quintile,Rural regions,No,0.52804,265,6412,0,0.47967,0,0.57379
1994,2nd Quintile,Urban regions,Yes,0.58702,484,6412,0,0.54544,0,0.62686
1994,2nd Quintile,Urban regions,No,0.41298,349,6412,0,0.37909,0,0.44953
1994,2nd Quintile,Rural regions,Yes,0.64667,378,6412,0,0.59839,0,0.69128
1994,2nd Quintile,Rural regions,No,0.35333,186,6412,0,0.31089,0,0.39680
1994,3rd Quintile,Urban regions,Yes,0.69374,598,6412,0,0.65628,0,0.73673
1994,3rd Quintile,Urban regions,No,0.30626,267,6412,0,0.27882,0,0.33721
1994,3rd Quintile,Rural regions,Yes,0.73755,383,6412,0,0.67825,0,0.78822
1994,3rd Quintile,Rural regions,No,0.26245,104,6412,0,0.22318,0,0.30408
1994,4th Quintile,Urban regions,Yes,0.75458,670,6412,0,0.72065,0,0.78692
1994,4th Quintile,Urban regions,No,0.24542,220,6412,0,0.22517,0,0.27017
1994,4th Quintile,Rural regions,Yes,0.78961,285,6412,0,0.72579,0,0.85831
1994,4th Quintile,Rural regions,No,0.21039,71,6412,0,0.17913,0,0.25000
1994,5th Quintile,Urban regions,Yes,0.86168,734,6412,0,0.82487,0,0.90486
1994,5th Quintile,Urban regions,No,0.13832,130,6412,0,0.12140,0,0.15624
1994,5th Quintile,Rural regions,Yes,0.83063,200,6412,0,0.74985,0,0.91247
1994,5th Quintile,Rural regions,No,0.16937,42,6412,0,0.13740,0,0.20439
1995,1st Quintile,Urban regions,Yes,0.32195,279,6605,0,0.29111,0,0.35289
1995,1st Quintile,Urban regions,No,0.67805,586,6605,0,0.63052,0,0.72424
1995,1st Quintile,Rural regions,Yes,0.45553,229,6605,0,0.41173,0,0.49752
1995,1st Quintile,Rural regions,No,0.54447,287,6605,0,0.49633,0,0.59754
1995,2nd Quintile,Urban regions,Yes,0.58816,534,6605,0,0.54940,0,0.63160
1995,2nd Quintile,Urban regions,No,0.41184,380,6605,0,0.38214,0,0.44986
1995,2nd Quintile,Rural regions,Yes,0.66493,362,6605,0,0.61260,0,0.71724
1995,2nd Quintile,Rural regions,No,0.33507,178,6605,0,0.29967,0,0.37023
1995,3rd Quintile,Urban regions,Yes,0.66341,597,6605,0,0.62247,0,0.70308
1995,3rd Quintile,Urban regions,No,0.33659,281,6605,0,0.30686,0,0.36634
1995,3rd Quintile,Rural regions,Yes,0.74698,388,6605,0,0.68499,0,0.80387
