,Unnamed: 0,year,bula_h,quintil_oecd_hh,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Lower Saxony,1st Quintile,No,1.0,37,5572,0.85648,1.16184
1,1,1992,Lower Saxony,2nd Quintile,Yes,0.63976,51,5572,0.5295,0.76122
2,2,1992,Lower Saxony,2nd Quintile,No,0.36024,34,5572,0.27572,0.44306
3,3,1992,Lower Saxony,3rd Quintile,Yes,0.66437,72,5572,0.57414,0.76145
4,4,1992,Lower Saxony,3rd Quintile,No,0.33563,31,5572,0.28343,0.40237
5,5,1992,Lower Saxony,4th Quintile,Yes,1.0,102,5572,0.91415,1.10595
6,6,1992,Lower Saxony,5th Quintile,Yes,1.0,89,5572,0.90807,1.10061
7,7,1992,North Rhine-Westphalia,1st Quintile,Yes,0.30536,48,5572,0.25765,0.38277
8,8,1992,North Rhine-Westphalia,1st Quintile,No,0.69464,106,5572,0.58303,0.78552
9,9,1992,North Rhine-Westphalia,2nd Quintile,Yes,0.54108,134,5572,0.4819,0.59531
10,10,1992,North Rhine-Westphalia,2nd Quintile,No,0.45892,135,5572,0.38583,0.51908
11,11,1992,North Rhine-Westphalia,3rd Quintile,Yes,0.67013,183,5572,0.608,0.73418
12,12,1992,North Rhine-Westphalia,3rd Quintile,No,0.32987,95,5572,0.28045,0.38547
13,13,1992,North Rhine-Westphalia,4th Quintile,Yes,0.70818,188,5572,0.65128,0.76779
14,14,1992,North Rhine-Westphalia,4th Quintile,No,0.29182,71,5572,0.252,0.33315
15,15,1992,North Rhine-Westphalia,5th Quintile,Yes,0.83688,220,5572,0.78062,0.89479
16,16,1992,North Rhine-Westphalia,5th Quintile,No,0.16312,52,5572,0.13451,0.19002
17,17,1992,Hesse,1st Quintile,No,1.0,46,5572,0.75666,1.26305
18,18,1992,Hesse,2nd Quintile,Yes,0.66747,43,5572,0.55489,0.78709
19,19,1992,Hesse,2nd Quintile,No,0.33253,31,5572,0.24134,0.45286
20,20,1992,Hesse,3rd Quintile,Yes,0.66197,66,5572,0.52738,0.80004
21,21,1992,Hesse,3rd Quintile,No,0.33803,36,5572,0.20811,0.4493
22,22,1992,Hesse,4th Quintile,Yes,1.0,78,5572,0.86489,1.18377
23,23,1992,Hesse,5th Quintile,Yes,1.0,95,5572,0.89358,1.11592
24,24,1992,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.54605,35,5572,0.46293,0.6374
25,25,1992,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.45395,32,5572,0.33797,0.5819
26,26,1992,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,1.0,58,5572,0.86873,1.13974
27,27,1992,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,1.0,52,5572,0.85572,1.14023
28,28,1992,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,1.0,48,5572,0.84709,1.13787
29,29,1992,Baden-Wuerttemberg,1st Quintile,No,1.0,61,5572,0.80351,1.1916
30,30,1992,Baden-Wuerttemberg,2nd Quintile,Yes,0.50883,84,5572,0.4287,0.6025
31,31,1992,Baden-Wuerttemberg,2nd Quintile,No,0.49117,71,5572,0.37497,0.60342
32,32,1992,Baden-Wuerttemberg,3rd Quintile,Yes,0.68129,107,5572,0.58373,0.77142
33,33,1992,Baden-Wuerttemberg,3rd Quintile,No,0.31871,68,5572,0.24591,0.41356
34,34,1992,Baden-Wuerttemberg,4th Quintile,Yes,0.81316,170,5572,0.73481,0.92091
35,35,1992,Baden-Wuerttemberg,4th Quintile,No,0.18684,50,5572,0.13832,0.23147
36,36,1992,Baden-Wuerttemberg,5th Quintile,Yes,0.83637,148,5572,0.75222,0.92249
37,37,1992,Baden-Wuerttemberg,5th Quintile,No,0.16363,36,5572,0.12377,0.20924
38,38,1992,Bavaria,1st Quintile,No,1.0,64,5572,0.81538,1.17473
39,39,1992,Bavaria,2nd Quintile,Yes,0.59868,68,5572,0.51966,0.67191
40,40,1992,Bavaria,2nd Quintile,No,0.40132,61,5572,0.32627,0.4696
41,41,1992,Bavaria,3rd Quintile,Yes,0.68943,108,5572,0.61225,0.76938
42,42,1992,Bavaria,3rd Quintile,No,0.31057,61,5572,0.25041,0.37424
43,43,1992,Bavaria,4th Quintile,Yes,0.7016,161,5572,0.63845,0.76958
44,44,1992,Bavaria,4th Quintile,No,0.2984,68,5572,0.25323,0.33941
45,45,1992,Bavaria,5th Quintile,Yes,0.80369,153,5572,0.73384,0.86624
46,46,1992,Bavaria,5th Quintile,No,0.19631,37,5572,0.16786,0.22556
