"hlc0119_h","year","quintil","n","percent","lower_confidence","upper_confidence"
"Ja","1995","1","3188","0.463331549676707","0.4516608970997","0.475002202253713"
"Ja","1995","2","3534","0.71501067875112","0.702349466584514","0.727671890917726"
"Ja","1995","3","2365","0.78485326905754","0.770077218219255","0.799629319895825"
"Ja","1995","4","1475","0.8245101034934","0.806834096414419","0.842186110572381"
"Ja","1995","5","723","0.856219728868118","0.832520494836738","0.879918962899499"
"Nein","1995","1","3825","0.536668450323293","0.524997797746287","0.5483391029003"
"Nein","1995","2","1349","0.28498932124888","0.272328109082274","0.297650533415486"
"Nein","1995","3","606","0.21514673094246","0.200370680104175","0.229922781780745"
"Nein","1995","4","304","0.175489896506599","0.157813889427619","0.19316590358558"
"Nein","1995","5","119","0.143780271131882","0.120081037100501","0.167479505163262"
"Ja","1996","1","2683","0.440984089419672","0.428724754896301","0.453243423943043"
"Ja","1996","2","3425","0.691081365818811","0.678105818950953","0.704056912686669"
"Ja","1996","3","2402","0.766169597519316","0.751322396533368","0.781016798505265"
"Ja","1996","4","1597","0.834669525084254","0.817899792048919","0.851439258119588"
"Ja","1996","5","825","0.870909505773087","0.849565419409359","0.892253592136815"
"Nein","1996","1","3618","0.559015910580328","0.546756576056957","0.571275245103699"
"Nein","1996","2","1446","0.308918634181189","0.295943087313331","0.321894181049047"
"Nein","1996","3","720","0.233830402480683","0.218983201494735","0.248677603466632"
"Nein","1996","4","288","0.165330474915746","0.148560741880412","0.182100207951081"
"Nein","1996","5","123","0.129090494226913","0.107746407863185","0.150434580590641"
"Ja","1997","1","2489","0.425740910327985","0.413153956913481","0.438327863742489"
"Ja","1997","2","3197","0.66615734987169","0.652780119528292","0.679534580215088"
"Ja","1997","3","2606","0.774432694628149","0.76013577205634","0.788729617199958"
"Ja","1997","4","1578","0.818527416351911","0.801279131491125","0.835775701212697"
"Ja","1997","5","828","0.872866679167549","0.851772191124637","0.893961167210461"
"Nein","1997","1","3439","0.574259089672015","0.561672136257511","0.586846043086519"
"Nein","1997","2","1577","0.33384265012831","0.320465419784912","0.347219880471708"
"Nein","1997","3","677","0.225567305371851","0.211270382800042","0.23986422794366"
"Nein","1997","4","340","0.181472583648089","0.164224298787303","0.198720868508875"
"Nein","1997","5","130","0.127133320832451","0.106038832789539","0.148227808875363"
"Ja","1998","1","2463","0.391988547886912","0.379945878444395","0.404031217329429"
"Ja","1998","2","3399","0.650327775138473","0.637250436601904","0.663405113675043"
"Ja","1998","3","2733","0.774536004196109","0.760818417013732","0.788253591378485"
"Ja","1998","4","1964","0.832661758618175","0.817604981993908","0.847718535242442"
"Ja","1998","5","999","0.876124528839439","0.857000858668574","0.895248199010303"
"Nein","1998","1","3850","0.608011452113088","0.595968782670571","0.620054121555605"
"Nein","1998","2","1709","0.349672224861527","0.336594886324957","0.362749563398096"
"Nein","1998","3","832","0.225463995803891","0.211746408621515","0.239181582986268"
"Nein","1998","4","397","0.167338241381825","0.152281464757558","0.182395018006092"
"Nein","1998","5","141","0.123875471160561","0.104751800989697","0.142999141331426"
"Ja","1999","1","1917","0.367578501489897","0.354432089928749","0.380724913051045"
"Ja","1999","2","3426","0.650430821767202","0.637527513554021","0.663334129980383"
"Ja","1999","3","2740","0.749887362828496","0.735767845457142","0.764006880199849"
"Ja","1999","4","1976","0.821553286261347","0.806257134222774","0.83684943829992"
"Ja","1999","5","1132","0.860547581144708","0.84179559751879","0.879299564770626"
"Nein","1999","1","3250","0.632421498510103","0.619275086948955","0.645567910071251"
"Nein","1999","2","1820","0.349569178232798","0.336665870019617","0.362472486445979"
"Nein","1999","3","874","0.250112637171504","0.235993119800151","0.264232154542858"
"Nein","1999","4","431","0.178446713738653","0.16315056170008","0.193742865777226"
"Nein","1999","5","179","0.139452418855292","0.120700435229374","0.15820440248121"
"Ja","2000","1","3164","0.363216699957618","0.353009579690188","0.373423820225048"
"Ja","2000","2","5503","0.634196612849557","0.62402046893022","0.644372756768894"
"Ja","2000","3","4974","0.746610380093543","0.736139926329708","0.757080833857377"
"Ja","2000","4","3816","0.805892362763918","0.794560925566325","0.817223799961512"
"Ja","2000","5","2454","0.855547217521917","0.842674485591794","0.868419949452041"
"Nein","2000","1","5364","0.636783300042382","0.626576179774952","0.646990420309812"
"Nein","2000","2","3103","0.365803387150443","0.355627243231106","0.37597953106978"
"Nein","2000","3","1655","0.253389619906457","0.242919166142623","0.263860073670292"
"Nein","2000","4","864","0.194107637236082","0.182776200038488","0.205439074433675"
"Nein","2000","5","411","0.144452782478083","0.131580050547959","0.157325514408206"
"Ja","2001","1","2512","0.347868524042277","0.336850048486203","0.358886999598352"
