year,quintil_oecd_hh,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1992,1st Quintile,Yes,0.41310,606,6528,0,0.39138,0,0.43390
1992,1st Quintile,No,0.58690,778,6528,0,0.55917,0,0.61588
1992,2nd Quintile,Yes,0.59598,895,6528,0,0.56866,0,0.62859
1992,2nd Quintile,No,0.40402,586,6528,0,0.37614,0,0.43429
1992,3rd Quintile,Yes,0.69306,912,6528,0,0.65766,0,0.72433
1992,3rd Quintile,No,0.30694,410,6528,0,0.28387,0,0.32666
1992,4th Quintile,Yes,0.75446,951,6528,0,0.72934,0,0.78611
1992,4th Quintile,No,0.24554,307,6528,0,0.22621,0,0.26457
1992,5th Quintile,Yes,0.82522,886,6528,0,0.80048,0,0.85386
1992,5th Quintile,No,0.17478,197,6528,0,0.15918,0,0.18939
1993,1st Quintile,Yes,0.39429,522,6472,0,0.37129,0,0.41349
1993,1st Quintile,No,0.60571,764,6472,0,0.57419,0,0.63959
1993,2nd Quintile,Yes,0.62699,913,6472,0,0.59701,0,0.65703
1993,2nd Quintile,No,0.37301,557,6472,0,0.34839,0,0.39569
1993,3rd Quintile,Yes,0.73115,1001,6472,0,0.70382,0,0.76843
1993,3rd Quintile,No,0.26885,354,6472,0,0.24507,0,0.29109
1993,4th Quintile,Yes,0.74324,946,6472,0,0.71393,0,0.77224
1993,4th Quintile,No,0.25676,330,6472,0,0.23921,0,0.27506
1993,5th Quintile,Yes,0.82538,887,6472,0,0.79267,0,0.85680
1993,5th Quintile,No,0.17462,198,6472,0,0.16035,0,0.19176
1994,1st Quintile,Yes,0.38244,497,6412,0,0.35754,0,0.40689
1994,1st Quintile,No,0.61756,814,6412,0,0.58562,0,0.65073
1994,2nd Quintile,Yes,0.60937,862,6412,0,0.57694,0,0.63896
1994,2nd Quintile,No,0.39063,535,6412,0,0.36521,0,0.41565
1994,3rd Quintile,Yes,0.70748,981,6412,0,0.67775,0,0.73738
1994,3rd Quintile,No,0.29252,371,6412,0,0.26687,0,0.31584
1994,4th Quintile,Yes,0.76388,955,6412,0,0.73196,0,0.79826
1994,4th Quintile,No,0.23612,291,6412,0,0.21422,0,0.25450
1994,5th Quintile,Yes,0.85563,934,6412,0,0.81614,0,0.88600
1994,5th Quintile,No,0.14437,172,6412,0,0.12934,0,0.16096
1995,1st Quintile,Yes,0.37002,508,6605,0,0.34587,0,0.39712
1995,1st Quintile,No,0.62998,873,6605,0,0.59761,0,0.67157
1995,2nd Quintile,Yes,0.61628,896,6605,0,0.58240,0,0.65622
1995,2nd Quintile,No,0.38372,558,6605,0,0.35569,0,0.40881
1995,3rd Quintile,Yes,0.69027,985,6605,0,0.66092,0,0.71728
1995,3rd Quintile,No,0.30973,397,6605,0,0.28793,0,0.33262
1995,4th Quintile,Yes,0.76315,970,6605,0,0.73293,0,0.79691
1995,4th Quintile,No,0.23685,296,6605,0,0.21996,0,0.25687
1995,5th Quintile,Yes,0.85204,947,6605,0,0.81510,0,0.89449
1995,5th Quintile,No,0.14796,175,6605,0,0.12948,0,0.16423
1996,1st Quintile,Yes,0.35853,470,6537,0,0.33477,0,0.38831
1996,1st Quintile,No,0.64147,886,6537,0,0.60703,0,0.67770
