,Unnamed: 0,year,bula_h,rentown,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Schleswig-Holstein,Owner,Yes,1.0,44,6373,0.89668,1.08387
1,1,1992,Schleswig-Holstein,Tenant,Yes,0.52619,41,6373,0.45206,0.59991
2,2,1992,Schleswig-Holstein,Tenant,No,0.47381,37,6373,0.38152,0.55795
3,3,1992,Hamburg,Tenant,Yes,1.0,54,6373,0.84989,1.13418
4,4,1992,Lower Saxony,Owner,Yes,0.71755,159,6373,0.66869,0.77434
5,5,1992,Lower Saxony,Owner,No,0.28245,55,6373,0.259,0.31747
6,6,1992,Lower Saxony,Tenant,Yes,0.62882,174,6373,0.57486,0.69532
7,7,1992,Lower Saxony,Tenant,No,0.37118,93,6373,0.32153,0.42131
8,8,1992,North Rhine-Westphalia,Owner,Yes,0.73749,299,6373,0.69882,0.78626
9,9,1992,North Rhine-Westphalia,Owner,No,0.26251,112,6373,0.23511,0.29527
10,10,1992,North Rhine-Westphalia,Tenant,Yes,0.59756,474,6373,0.56059,0.64083
11,11,1992,North Rhine-Westphalia,Tenant,No,0.40244,348,6373,0.3681,0.43359
12,12,1992,Hesse,Owner,Yes,0.79164,122,6373,0.71989,0.85494
13,13,1992,Hesse,Owner,No,0.20836,40,6373,0.1684,0.24659
14,14,1992,Hesse,Tenant,Yes,0.60773,180,6373,0.52954,0.68648
15,15,1992,Hesse,Tenant,No,0.39227,117,6373,0.32425,0.45618
16,16,1992,"Rhineland-Palatinate, Saarland",Owner,Yes,0.67067,112,6373,0.63238,0.72223
17,17,1992,"Rhineland-Palatinate, Saarland",Owner,No,0.32933,48,6373,0.2757,0.38094
18,18,1992,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.55459,95,6373,0.49118,0.63769
19,19,1992,"Rhineland-Palatinate, Saarland",Tenant,No,0.44541,73,6373,0.3759,0.51754
20,20,1992,Baden-Wuerttemberg,Owner,Yes,0.74759,246,6373,0.69497,0.7944
21,21,1992,Baden-Wuerttemberg,Owner,No,0.25241,93,6373,0.2133,0.29135
22,22,1992,Baden-Wuerttemberg,Tenant,Yes,0.61089,288,6373,0.54921,0.67414
23,23,1992,Baden-Wuerttemberg,Tenant,No,0.38911,193,6373,0.33901,0.44766
24,24,1992,Bavaria,Owner,Yes,0.76414,258,6373,0.71772,0.80763
25,25,1992,Bavaria,Owner,No,0.23586,89,6373,0.21577,0.25888
26,26,1992,Bavaria,Tenant,Yes,0.56964,260,6373,0.52514,0.61476
27,27,1992,Bavaria,Tenant,No,0.43036,202,6373,0.38493,0.4835
28,28,1992,Berlin,Tenant,Yes,0.62548,183,6373,0.55816,0.68447
29,29,1992,Berlin,Tenant,No,0.37452,125,6373,0.32077,0.42266
30,30,1992,Brandenburg,Owner,Yes,0.71613,76,6373,0.63646,0.80248
31,31,1992,Brandenburg,Owner,No,0.28387,32,6373,0.23528,0.34403
32,32,1992,Brandenburg,Tenant,Yes,0.75525,162,6373,0.69324,0.82297
33,33,1992,Brandenburg,Tenant,No,0.24475,49,6373,0.20149,0.29309
34,34,1992,Mecklenburg-Western Pomerania,Owner,Yes,1.0,36,6373,0.8878,1.12474
35,35,1992,Mecklenburg-Western Pomerania,Tenant,Yes,0.61229,92,6373,0.55464,0.68226
36,36,1992,Mecklenburg-Western Pomerania,Tenant,No,0.38771,50,6373,0.33789,0.43762
37,37,1992,Saxony,Owner,Yes,0.71817,99,6373,0.63842,0.80513
38,38,1992,Saxony,Owner,No,0.28183,41,6373,0.24224,0.3264
39,39,1992,Saxony,Tenant,Yes,0.69238,312,6373,0.65057,0.73296
40,40,1992,Saxony,Tenant,No,0.30762,120,6373,0.28606,0.33456
41,41,1992,Saxony-Anhalt,Owner,Yes,0.67313,75,6373,0.59878,0.7591
42,42,1992,Saxony-Anhalt,Owner,No,0.32687,40,6373,0.2919,0.36889
43,43,1992,Saxony-Anhalt,Tenant,Yes,0.62684,161,6373,0.57561,0.69742
44,44,1992,Saxony-Anhalt,Tenant,No,0.37316,86,6373,0.32574,0.42062
45,45,1992,Thuringa,Owner,Yes,0.59911,86,6373,0.53338,0.66271
46,46,1992,Thuringa,Owner,No,0.40089,49,6373,0.34054,0.46493
47,47,1992,Thuringa,Tenant,Yes,0.51917,103,6373,0.46959,0.56891
48,48,1992,Thuringa,Tenant,No,0.48083,90,6373,0.42876,0.5381
49,49,1993,Schleswig-Holstein,Owner,Yes,1.0,51,6331,0.8828,1.11712
50,50,1993,Schleswig-Holstein,Tenant,Yes,0.55551,46,6331,0.49042,0.62604
51,51,1993,Schleswig-Holstein,Tenant,No,0.44449,43,6331,0.36555,0.53088
52,52,1993,Hamburg,Tenant,Yes,1.0,54,6331,0.83694,1.12592
53,53,1993,Lower Saxony,Owner,Yes,0.69873,151,6331,0.65035,0.74582
