"hlc0119_h","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","1998","2","Staedtischer Raum","2055","","",""
"Ja","1998","2","Laendlicher Raum","1344","","",""
"Ja","1998","3","Staedtischer Raum","1698","","",""
"Ja","1998","3","Laendlicher Raum","1035","","",""
"Ja","1998","4","Staedtischer Raum","1410","","",""
"Ja","1998","4","Laendlicher Raum","554","0.846169440733383","0.818129989410703","0.874208892056062"
"Ja","1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","1998","2","Staedtischer Raum","1165","","",""
"Nein","1998","2","Laendlicher Raum","544","0.308357141464258","0.287525904939387","0.32918837798913"
"Nein","1998","3","Staedtischer Raum","650","0.254569066001179","0.236949079761376","0.272189052240983"
"Nein","1998","3","Laendlicher Raum","182","","",""
"Nein","1998","4","Staedtischer Raum","315","0.171473319247005","0.15368622247605","0.18926041601796"
"Nein","1998","4","Laendlicher Raum","82","0.153830559266617","0.125791107943938","0.181870010589297"
"Nein","1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","1999","2","Staedtischer Raum","1922","","",""
"Ja","1999","2","Laendlicher Raum","1504","","",""
"Ja","1999","3","Staedtischer Raum","1738","","",""
"Ja","1999","3","Laendlicher Raum","1002","","",""
"Ja","1999","4","Staedtischer Raum","1400","","",""
"Ja","1999","4","Laendlicher Raum","576","0.8327318616623","0.804721732837677","0.860741990486923"
"Ja","1999","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","1999","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","1999","2","Staedtischer Raum","1281","","",""
"Nein","1999","2","Laendlicher Raum","539","0.279919701619486","0.26045171203148","0.299387691207491"
"Nein","1999","3","Staedtischer Raum","659","0.278761921059652","0.260811686732347","0.296712155386957"
"Nein","1999","3","Laendlicher Raum","215","","",""
"Nein","1999","4","Staedtischer Raum","325","0.181925765360706","0.163720500402552","0.20013103031886"
"Nein","1999","4","Laendlicher Raum","106","","",""
"Nein","1999","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","1999","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2000","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2000","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2000","2","Staedtischer Raum","3125","0.598455408944511","0.58517111369641","0.611739704192613"
"Ja","2000","2","Laendlicher Raum","2378","","",""
"Ja","2000","3","Staedtischer Raum","3201","0.723491596245599","0.710292309153062","0.736690883338136"
"Ja","2000","3","Laendlicher Raum","1773","","",""
"Ja","2000","4","Staedtischer Raum","2696","","",""
"Ja","2000","4","Laendlicher Raum","1120","","",""
"Ja","2000","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2000","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2000","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2000","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2000","2","Staedtischer Raum","2106","","",""
"Nein","2000","2","Laendlicher Raum","997","0.303504620575417","0.287993149910428","0.319016091240406"
"Nein","2000","3","Staedtischer Raum","1210","","",""
"Nein","2000","3","Laendlicher Raum","445","0.200626540356123","0.18396034858877","0.217292732123476"
"Nein","2000","4","Staedtischer Raum","679","0.204379045597911","0.190774548505436","0.217983542690387"
"Nein","2000","4","Laendlicher Raum","185","","",""
"Nein","2000","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2000","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2001","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2001","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2001","2","Staedtischer Raum","2886","","",""
"Ja","2001","2","Laendlicher Raum","1980","","",""
"Ja","2001","3","Staedtischer Raum","3004","0.734919599633276","0.721420821372615","0.748418377893936"
"Ja","2001","3","Laendlicher Raum","1727","","",""
"Ja","2001","4","Staedtischer Raum","2676","","",""
"Ja","2001","4","Laendlicher Raum","1125","","",""
"Ja","2001","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2001","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2001","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2001","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2001","2","Staedtischer Raum","1750","","",""
"Nein","2001","2","Laendlicher Raum","932","0.316977274801962","0.300077378253947","0.333877171349977"
"Nein","2001","3","Staedtischer Raum","1103","","",""
"Nein","2001","3","Laendlicher Raum","374","0.188929486461933","0.172191074850212","0.205667898073653"
"Nein","2001","4","Staedtischer Raum","582","0.177230738513928","0.164118371285425","0.190343105742431"
"Nein","2001","4","Laendlicher Raum","170","","",""
"Nein","2001","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2001","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2002","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2002","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2002","2","Staedtischer Raum","2043","","",""
"Ja","2002","2","Laendlicher Raum","1528","","",""
"Ja","2002","3","Staedtischer Raum","2592","","",""
"Ja","2002","3","Laendlicher Raum","1592","","",""
"Ja","2002","4","Staedtischer Raum","3027","0.784979887159697","0.77214996835217","0.797809805967225"
"Ja","2002","4","Laendlicher Raum","1501","","",""
"Ja","2002","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2002","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2002","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2002","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2002","2","Staedtischer Raum","1982","","",""
"Nein","2002","2","Laendlicher Raum","904","0.363629779482547","0.344511405571547","0.382748153393547"
"Nein","2002","3","Staedtischer Raum","1209","","",""
"Nein","2002","3","Laendlicher Raum","486","0.245375448277244","0.226873973931035","0.263876922623453"
"Nein","2002","4","Staedtischer Raum","912","0.215020112840303","0.202190194032775","0.22785003164783"
"Nein","2002","4","Laendlicher Raum","316","0.226881173249926","0.207623980311486","0.246138366188366"
"Nein","2002","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2002","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2003","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2003","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2003","2","Staedtischer Raum","1941","","",""
"Ja","2003","2","Laendlicher Raum","1460","","",""
"Ja","2003","3","Staedtischer Raum","2634","","",""
"Ja","2003","3","Laendlicher Raum","1593","","",""
"Ja","2003","4","Staedtischer Raum","3061","0.765902833001273","0.752811797371373","0.778993868631172"
"Ja","2003","4","Laendlicher Raum","1409","","",""
"Ja","2003","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2003","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2003","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2003","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2003","2","Staedtischer Raum","1805","","",""
"Nein","2003","2","Laendlicher Raum","830","0.368987742682739","0.349224635890927","0.38875084947455"
"Nein","2003","3","Staedtischer Raum","1291","","",""
"Nein","2003","3","Laendlicher Raum","552","0.273380322851241","0.254519021842245","0.292241623860236"
"Nein","2003","4","Staedtischer Raum","958","0.234097166998727","0.221006131368828","0.247188202628627"
"Nein","2003","4","Laendlicher Raum","339","0.204703137465372","0.185788228257836","0.223618046672909"
"Nein","2003","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2003","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2004","2","Staedtischer Raum","1880","","",""
"Ja","2004","2","Laendlicher Raum","1297","","",""
"Ja","2004","3","Staedtischer Raum","2422","","",""
"Ja","2004","3","Laendlicher Raum","1541","","",""
"Ja","2004","4","Staedtischer Raum","2955","","",""
"Ja","2004","4","Laendlicher Raum","1302","","",""
"Ja","2004","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2004","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2004","2","Staedtischer Raum","1800","","",""
"Nein","2004","2","Laendlicher Raum","859","0.414682730408207","0.393886847834425","0.435478612981989"
"Nein","2004","3","Staedtischer Raum","1306","","",""
"Nein","2004","3","Laendlicher Raum","548","0.252338576204921","0.233712422525312","0.27096472988453"
"Nein","2004","4","Staedtischer Raum","950","0.24433225478901","0.230855248967489","0.257809260610531"
"Nein","2004","4","Laendlicher Raum","386","0.221437040041103","0.201629348108402","0.241244731973804"
"Nein","2004","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2004","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2005","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2005","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2005","2","Staedtischer Raum","1766","","",""
"Ja","2005","2","Laendlicher Raum","1245","","",""
"Ja","2005","3","Staedtischer Raum","2391","","",""
"Ja","2005","3","Laendlicher Raum","1443","","",""
"Ja","2005","4","Staedtischer Raum","2938","","",""
"Ja","2005","4","Laendlicher Raum","1338","","",""
"Ja","2005","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2005","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2005","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2005","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2005","2","Staedtischer Raum","1608","","",""
"Nein","2005","2","Laendlicher Raum","773","0.397216673474053","0.375867460948309","0.418565885999798"
"Nein","2005","3","Staedtischer Raum","1174","","",""
"Nein","2005","3","Laendlicher Raum","492","0.238162271159761","0.219183183738734","0.257141358580789"
"Nein","2005","4","Staedtischer Raum","800","0.216663765832862","0.203457023823391","0.229870507842333"
"Nein","2005","4","Laendlicher Raum","325","0.227016951264342","0.206883598875176","0.247150303653508"
"Nein","2005","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2005","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2006","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2006","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2006","2","Staedtischer Raum","1725","","",""
"Ja","2006","2","Laendlicher Raum","1340","","",""
"Ja","2006","3","Staedtischer Raum","2436","","",""
"Ja","2006","3","Laendlicher Raum","1553","","",""
"Ja","2006","4","Staedtischer Raum","3141","0.730856164910743","0.71741415372842","0.744298176093067"
"Ja","2006","4","Laendlicher Raum","1422","","",""
"Ja","2006","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2006","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2006","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2006","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2006","2","Staedtischer Raum","1871","","",""
"Nein","2006","2","Laendlicher Raum","912","0.429719121015202","0.40927348417722","0.450164757853184"
"Nein","2006","3","Staedtischer Raum","1245","","",""
"Nein","2006","3","Laendlicher Raum","597","0.299840692688715","0.280473236577608","0.319208148799821"
"Nein","2006","4","Staedtischer Raum","1041","","",""
"Nein","2006","4","Laendlicher Raum","390","0.222131789629921","0.202992431726352","0.241271147533491"
"Nein","2006","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2006","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2007","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2007","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2007","2","Staedtischer Raum","1582","","",""
"Ja","2007","2","Laendlicher Raum","1285","","",""
"Ja","2007","3","Staedtischer Raum","2282","","",""
"Ja","2007","3","Laendlicher Raum","1513","","",""
"Ja","2007","4","Staedtischer Raum","3093","0.763932873023679","0.750684581243713","0.777181164803644"
"Ja","2007","4","Laendlicher Raum","1399","","",""
"Ja","2007","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2007","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2007","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2007","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2007","2","Staedtischer Raum","1615","","",""
"Nein","2007","2","Laendlicher Raum","871","0.400284855185612","0.379603413947945","0.420966296423278"
"Nein","2007","3","Staedtischer Raum","1184","","",""
"Nein","2007","3","Laendlicher Raum","572","0.270947961619639","0.251870645786473","0.290025277452806"
"Nein","2007","4","Staedtischer Raum","854","0.236067126976321","0.222818835196356","0.249315418756287"
"Nein","2007","4","Laendlicher Raum","330","0.200568638522071","0.181694258353358","0.219443018690783"
"Nein","2007","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2007","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2008","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2008","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2008","2","Staedtischer Raum","1238","","",""
"Ja","2008","2","Laendlicher Raum","1102","","",""
"Ja","2008","3","Staedtischer Raum","2243","","",""
"Ja","2008","3","Laendlicher Raum","1425","","",""
"Ja","2008","4","Staedtischer Raum","2754","","",""
"Ja","2008","4","Laendlicher Raum","1449","","",""
"Ja","2008","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2008","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2008","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2008","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2008","2","Staedtischer Raum","1536","","",""
"Nein","2008","2","Laendlicher Raum","740","0.414250590486886","0.391755342980703","0.436745837993068"
"Nein","2008","3","Staedtischer Raum","1145","","",""
"Nein","2008","3","Laendlicher Raum","520","0.284459766188796","0.264409703176844","0.304509829200748"
"Nein","2008","4","Staedtischer Raum","876","0.248049815320394","0.234000383286774","0.262099247354014"
"Nein","2008","4","Laendlicher Raum","385","0.211350599812556","0.192665640504906","0.230035559120205"
"Nein","2008","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2008","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2009","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2009","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2009","2","Staedtischer Raum","1175","","",""
"Ja","2009","2","Laendlicher Raum","974","0.563406718765917","0.539885831913569","0.586927605618266"
"Ja","2009","3","Staedtischer Raum","1779","","",""
"Ja","2009","3","Laendlicher Raum","1339","","",""
"Ja","2009","4","Staedtischer Raum","2760","","",""
"Ja","2009","4","Laendlicher Raum","1380","","",""
"Ja","2009","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2009","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2009","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2009","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2009","2","Staedtischer Raum","1359","","",""
"Nein","2009","2","Laendlicher Raum","734","0.436593281234083","0.413072394381734","0.460114168086431"
"Nein","2009","3","Staedtischer Raum","1126","","",""
"Nein","2009","3","Laendlicher Raum","576","0.291652093618307","0.271294822605885","0.312009364630728"
"Nein","2009","4","Staedtischer Raum","795","0.23729257466318","0.223307997165504","0.251277152160856"
"Nein","2009","4","Laendlicher Raum","353","0.233034427614834","0.213130133154932","0.252938722074736"
"Nein","2009","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2009","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2010","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2010","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2010","2","Staedtischer Raum","1915","","",""
"Ja","2010","2","Laendlicher Raum","1547","","",""
"Ja","2010","3","Staedtischer Raum","2670","","",""
"Ja","2010","3","Laendlicher Raum","1850","","",""
"Ja","2010","4","Staedtischer Raum","3617","0.749345426894272","0.737185890220401","0.761504963568142"
"Ja","2010","4","Laendlicher Raum","1843","","",""
"Ja","2010","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2010","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2010","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2010","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2010","2","Staedtischer Raum","3100","0.588438976136499","0.574818871081465","0.602059081191533"
"Nein","2010","2","Laendlicher Raum","1726","","",""
"Nein","2010","3","Staedtischer Raum","1792","","",""
"Nein","2010","3","Laendlicher Raum","864","0.322124498978319","0.304544047793754","0.339704950162884"
"Nein","2010","4","Staedtischer Raum","1263","","",""
"Nein","2010","4","Laendlicher Raum","519","0.254034117407013","0.236478599320188","0.271589635493837"
"Nein","2010","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2010","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2011","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2011","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2011","2","Staedtischer Raum","2218","","",""
"Ja","2011","2","Laendlicher Raum","1714","","",""
"Ja","2011","3","Staedtischer Raum","3181","0.635439040387096","0.622350918185216","0.648527162588976"
"Ja","2011","3","Laendlicher Raum","2344","","",""
"Ja","2011","4","Staedtischer Raum","4585","0.764016612507698","0.753356707061993","0.774676517953403"
"Ja","2011","4","Laendlicher Raum","2374","","",""
"Ja","2011","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2011","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2011","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2011","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2011","2","Staedtischer Raum","3297","0.544223319945714","0.531078944465065","0.557367695426363"
"Nein","2011","2","Laendlicher Raum","1918","","",""
"Nein","2011","3","Staedtischer Raum","2014","","",""
"Nein","2011","3","Laendlicher Raum","1103","","",""
"Nein","2011","4","Staedtischer Raum","1510","","",""
"Nein","2011","4","Laendlicher Raum","721","0.210039304634483","0.195688680426044","0.224389928842922"
"Nein","2011","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2011","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2012","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2012","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2012","2","Staedtischer Raum","1936","","",""
"Ja","2012","2","Laendlicher Raum","1632","","",""
"Ja","2012","3","Staedtischer Raum","3122","0.624557690778418","0.611413905245102","0.637701476311733"
"Ja","2012","3","Laendlicher Raum","2335","","",""
"Ja","2012","4","Staedtischer Raum","4474","0.750868415247654","0.739989677106814","0.761747153388494"
"Ja","2012","4","Laendlicher Raum","2472","","",""
"Ja","2012","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2012","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2012","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2012","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2012","2","Staedtischer Raum","3068","0.582004885230302","0.568338981450635","0.59567078900997"
"Nein","2012","2","Laendlicher Raum","1866","","",""
"Nein","2012","3","Staedtischer Raum","2092","","",""
"Nein","2012","3","Laendlicher Raum","1226","","",""
"Nein","2012","4","Staedtischer Raum","1598","","",""
"Nein","2012","4","Laendlicher Raum","694","0.19623185383587","0.182398012684486","0.210065694987255"
"Nein","2012","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","2012","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","2013","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","2013","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","2013","2","Staedtischer Raum","2236","","",""
"Ja","2013","2","Laendlicher Raum","1490","","",""
"Ja","2013","3","Staedtischer Raum","3358","0.63040222664386","0.617898660731771","0.64290579255595"
"Ja","2013","3","Laendlicher Raum","2350","","",""
"Ja","2013","4","Staedtischer Raum","4889","0.728253557869307","0.717701033093465","0.738806082645149"
"Ja","2013","4","Laendlicher Raum","2837","","",""
"Ja","2013","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","2013","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","2013","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","2013","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","2013","2","Staedtischer Raum","3810","0.5932102554683","0.580827897856127","0.605592613080473"
"Nein","2013","2","Laendlicher Raum","1978","","",""
"Nein","2013","3","Staedtischer Raum","2367","","",""
"Nein","2013","3","Laendlicher Raum","1149","","",""
"Nein","2013","4","Staedtischer Raum","1938","","",""
"Nein","2013","4","Laendlicher Raum","801","0.206463115176637","0.193310214496739","0.219616015856535"
